strategy,pair,n,mean_R,ci_low,nw_t,A,B,hold,rand,edge,verdict
rsi,USD_SGD,685,-0.0188401703383101,-0.11831449740440661,-0.3712187350465968,-0.03462888721647275,0.0016530407609155612,-0.022790922105387336,-0.010910128794944822,-0.007930041543365277,none
cci,CAD_JPY,1216,-0.05630613930996657,-0.1357422682010953,-1.389292688202223,-0.01343781798480401,-0.11406155936225713,-0.014345431115340854,-0.04723222952946867,-0.0090739097804979,none
stoch,GBP_CAD,1748,-0.02929643761023951,-0.10831303499399707,-0.7266956515122321,-0.02397132005679289,0.00025465233890194857,-0.09659773892729939,-0.018736713321958542,-0.010559724288280968,none
stoch,NZD_JPY,1939,-0.09514771528730717,-0.1712403070946934,-2.4508236286021696,-0.027045626059011302,-0.19558843488194957,-0.005525452566856073,-0.08280195231471889,-0.012345762972588284,none
stoch,CAD_JPY,1956,-0.07641137607900973,-0.1495499933733055,-2.0477047920147062,-0.03784758771710481,-0.1257201989718275,-0.04818524856113714,-0.059604857967466306,-0.016806518111543427,none
bb,GBP_CAD,212,-0.04283248709014439,-0.18812901844731844,-0.5777954498466964,-0.10261541600060752,0.005689538978783831,0.005744329369959927,-0.026001043925233662,-0.016831443164910725,none
ema,NZD_JPY,328,-0.10128501425945931,-0.216568727429593,-1.7220006407632786,0.08341900427296892,-0.2630644348810514,-0.028860509040516697,-0.07757017696741657,-0.02371483729204274,none
bb,CAD_JPY,220,-0.05736769235247976,-0.15142524059652285,-1.1954455448819492,0.0945882295329113,-0.3327763053902482,0.22257158601431676,-0.03265983421075816,-0.0247078581417216,none
cci,NZD_USD,1159,-0.03941293800450974,-0.10580984882304822,-1.1634480811910082,0.04091147463300486,-0.14892591209207107,0.07415697012217029,-0.010352235496185191,-0.02906070250832455,none
sma,AUD_JPY,328,-0.088854026614266,-0.28039925904932694,-0.9092050475493003,0.12360351432050551,-0.17943207211313006,-0.414337071016276,-0.05686111386535319,-0.03199291274891281,none
rsi,GBP_CAD,718,-0.05559304469741396,-0.19803836635107558,-0.7649417077512735,0.013255048744284827,-0.1497395748778231,5.693752033094716e-05,-0.021193575019609674,-0.03439946967780429,none
cci,CHF_JPY,1242,-0.14310604440189817,-0.2255271443269709,-3.4031073024104987,-0.0008860179230432594,-0.252118067644103,-0.17160254307873296,-0.10842045048665638,-0.034685593915241786,none
