tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,threshold,trigger,direction,total_n
80,0.17734403110211325,0.1093019025468735,-0.03688769788975879,0.3915757600939853,35,0.23610611807472387,0.15371902772758209,-0.06518317627133702,0.5373954124207847,GBP_CHF,14,30,adx_cross,short,115
113,0.11317324211006083,0.09056893584625675,-0.0643418721486024,0.29068835636872403,49,0.31731447120401357,0.1271636168691064,0.06807378214056503,0.5665551602674621,EUR_SEK,14,20,adx_cross,long,162
