indicator,horizon,regime,n,mean_fwd,baseline,edge,t
ichi_chikou_above,5,all,985382,0.1771,0.2373,-0.0602,-7.61
ichi_chikou_above,5,bull,793133,0.1154,0.1185,-0.0031,-0.35
ichi_chikou_above,5,nonbull,192249,0.4316,0.6343,-0.2027,-11.47
ichi_perfect_bull,5,all,435619,0.1948,0.2373,-0.0426,-4.11
ichi_perfect_bull,5,bull,379842,0.2151,0.1185,0.0966,8.86
ichi_perfect_bull,5,nonbull,55777,0.0561,0.6343,-0.5782,-17.89
ichi_below_cloud,5,all,664632,0.2652,0.2373,0.0278,1.24
ichi_below_cloud,5,bull,469872,-0.0121,0.1185,-0.1306,-5.66
ichi_below_cloud,5,nonbull,194760,0.934,0.6343,0.2997,5.71
ichi_in_cloud,5,all,222269,0.2632,0.2373,0.0259,1.65
ichi_in_cloud,5,bull,173911,0.1254,0.1185,0.0069,0.39
ichi_in_cloud,5,nonbull,48358,0.7589,0.6343,0.1246,3.53
ichi_above_cloud,10,all,873479,0.3798,0.4613,-0.0815,-7.4
ichi_above_cloud,10,bull,722002,0.4228,0.2417,0.1811,14.99
ichi_above_cloud,10,nonbull,151477,0.1749,1.1928,-1.0178,-37.92
ichi_cloud_breakout,10,all,44322,0.4092,0.4613,-0.0521,-0.89
ichi_cloud_breakout,10,bull,34896,0.3154,0.2417,0.0737,1.19
ichi_cloud_breakout,10,nonbull,9426,0.7564,1.1928,-0.4364,-2.84
ichi_tk_bull_cross,10,all,41612,0.3475,0.4613,-0.1138,-1.94
ichi_tk_bull_cross,10,bull,32141,0.0937,0.2417,-0.148,-2.17
ichi_tk_bull_cross,10,nonbull,9471,1.2091,1.1928,0.0163,0.14
ichi_tk_above_kijun,10,all,936031,0.3769,0.4613,-0.0844,-7.69
ichi_tk_above_kijun,10,bull,745368,0.2622,0.2417,0.0206,1.71
ichi_tk_above_kijun,10,nonbull,190663,0.825,1.1928,-0.3678,-13.96
ichi_green_cloud,10,all,957683,0.4223,0.4613,-0.039,-2.7
ichi_green_cloud,10,bull,787603,0.4222,0.2417,0.1805,10.88
ichi_green_cloud,10,nonbull,170080,0.4229,1.1928,-0.7699,-28.98
ichi_chikou_above,10,all,983199,0.3634,0.4613,-0.0979,-8.43
ichi_chikou_above,10,bull,790950,0.2853,0.2417,0.0436,3.33
ichi_chikou_above,10,nonbull,192249,0.6847,1.1928,-0.5081,-20.32
ichi_perfect_bull,10,all,434495,0.4052,0.4613,-0.0562,-3.93
ichi_perfect_bull,10,bull,378718,0.4467,0.2417,0.205,13.53
ichi_perfect_bull,10,nonbull,55777,0.1231,1.1928,-1.0697,-24.92
ichi_below_cloud,10,all,663080,0.4836,0.4613,0.0222,0.74
ichi_below_cloud,10,bull,468320,-0.0545,0.2417,-0.2961,-9.07
ichi_below_cloud,10,nonbull,194760,1.7773,1.1928,0.5845,8.96
ichi_in_cloud,10,all,221645,0.4965,0.4613,0.0352,1.53
ichi_in_cloud,10,bull,173287,0.2795,0.2417,0.0378,1.44
ichi_in_cloud,10,nonbull,48358,1.2742,1.1928,0.0814,1.69
ichi_above_cloud,20,all,868556,0.7162,0.8756,-0.1594,-10.1
