period,adx_min,adx_max,rising,di,N,regime,n,exp,lift,t,win
21,35,60,0,off,10,bull,95618,0.0536,-0.0191,-4.5,0.275
21,35,60,0,off,10,nonbull,26005,0.2684,0.0777,9.4,0.304
21,35,60,0,off,15,all,121228,0.1152,0.0085,2.1,0.328
21,35,60,0,off,15,bull,95223,0.0614,-0.0156,-3.5,0.317
21,35,60,0,off,15,nonbull,26005,0.3123,0.1059,12.2,0.368
21,35,60,0,s0,10,all,83585,0.0641,-0.0357,-7.7,0.285
21,35,60,0,s0,10,bull,74911,0.0593,-0.0134,-2.7,0.285
21,35,60,0,s0,10,nonbull,8674,0.1054,-0.0852,-6.0,0.279
21,35,60,0,s0,15,all,83250,0.0712,-0.0356,-7.4,0.324
21,35,60,0,s0,15,bull,74576,0.0659,-0.0111,-2.2,0.324
21,35,60,0,s0,15,nonbull,8674,0.1165,-0.0899,-6.1,0.325
21,35,60,0,s20,10,all,39923,0.0702,-0.0296,-4.4,0.293
21,35,60,0,s20,10,bull,35925,0.0658,-0.0069,-1.0,0.294
21,35,60,0,s20,10,nonbull,3998,0.1093,-0.0813,-3.9,0.281
21,35,60,0,s20,15,all,39685,0.0735,-0.0332,-4.8,0.327
21,35,60,0,s20,15,bull,35687,0.0686,-0.0084,-1.1,0.327
21,35,60,0,s20,15,nonbull,3998,0.117,-0.0894,-4.1,0.328
21,35,60,1,off,10,all,64563,0.096,-0.0037,-0.7,0.287
21,35,60,1,off,10,bull,51654,0.0493,-0.0235,-4.0,0.277
21,35,60,1,off,10,nonbull,12909,0.2831,0.0925,7.7,0.327
21,35,60,1,off,15,all,64260,0.107,0.0002,0.0,0.329
21,35,60,1,off,15,bull,51351,0.0546,-0.0224,-3.7,0.315
21,35,60,1,off,15,nonbull,12909,0.3153,0.1089,8.7,0.386
21,35,60,1,s0,10,all,46200,0.0561,-0.0437,-7.0,0.286
21,35,60,1,s0,10,bull,41487,0.052,-0.0207,-3.2,0.288
21,35,60,1,s0,10,nonbull,4713,0.0924,-0.0982,-5.1,0.272
21,35,60,1,s0,15,all,45936,0.0601,-0.0466,-7.2,0.322
21,35,60,1,s0,15,bull,41223,0.0553,-0.0217,-3.2,0.322
21,35,60,1,s0,15,nonbull,4713,0.1021,-0.1043,-5.2,0.32
21,35,60,1,s20,10,all,36306,0.061,-0.0388,-5.5,0.29
21,35,60,1,s20,10,bull,32702,0.0553,-0.0174,-2.3,0.292
21,35,60,1,s20,10,nonbull,3604,0.1119,-0.0788,-3.6,0.28
21,35,60,1,s20,15,all,36078,0.063,-0.0438,-6.0,0.324
21,35,60,1,s20,15,bull,32474,0.0568,-0.0202,-2.6,0.324
21,35,60,1,s20,15,nonbull,3604,0.1186,-0.0878,-3.8,0.328
21,35,999,0,off,10,all,130355,0.1693,0.0695,18.7,0.305
21,35,999,0,off,10,bull,102895,0.1369,0.0642,15.3,0.304
21,35,999,0,off,10,nonbull,27460,0.2908,0.1001,12.5,0.311
21,35,999,0,off,15,all,129915,0.1872,0.0805,20.6,0.352
21,35,999,0,off,15,bull,102455,0.1473,0.0703,16.0,0.345
21,35,999,0,off,15,nonbull,27460,0.3363,0.1299,15.3,0.376
21,35,999,0,s0,10,all,91436,0.1677,0.0679,15.1,0.319
21,35,999,0,s0,10,bull,81695,0.165,0.0922,19.3,0.321
21,35,999,0,s0,10,nonbull,9741,0.1903,-0.0003,-0.0,0.304
21,35,999,0,s0,15,all,91061,0.1785,0.0718,15.3,0.36
21,35,999,0,s0,15,bull,81320,0.1749,0.0979,19.7,0.36
21,35,999,0,s0,15,nonbull,9741,0.209,0.0026,0.2,0.355
21,35,999,0,s20,10,all,47127,0.2589,0.1591,24.9,0.356
21,35,999,0,s20,10,bull,42244,0.2601,0.1874,27.6,0.359
21,35,999,0,s20,10,nonbull,4883,0.2483,0.0576,3.0,0.326
21,35,999,0,s20,15,all,46849,0.269,0.1622,24.5,0.391
21,35,999,0,s20,15,bull,41966,0.2695,0.1924,27.4,0.393
21,35,999,0,s20,15,nonbull,4883,0.2646,0.0583,2.9,0.374
21,35,999,1,off,10,all,69936,0.1842,0.0845,16.4,0.318
21,35,999,1,off,10,bull,56288,0.1551,0.0823,14.4,0.313
21,35,999,1,off,10,nonbull,13648,0.3046,0.1139,9.8,0.336
21,35,999,1,off,15,all,69589,0.1979,0.0912,17.0,0.36
21,35,999,1,off,15,bull,55941,0.1637,0.0867,14.5,0.352
21,35,999,1,off,15,nonbull,13648,0.3384,0.132,10.8,0.394
