indicator,horizon,regime,n,mean_fwd,baseline,edge,t
hammer,20,nonbull,10044,2.0822,2.2255,-0.1433,-0.85
gap_up(>2%),20,all,93057,1.8065,1.536,0.2705,2.23
gap_up(>2%),20,bull,61456,0.2853,1.3276,-1.0423,-7.07
gap_up(>2%),20,nonbull,31601,4.7648,2.2255,2.5394,11.98
above_sma200,20,all,951900,0.819,1.536,-0.717,-21.4
above_sma200,20,bull,847018,0.8233,1.3276,-0.5043,-13.54
above_sma200,20,nonbull,104882,0.7849,2.2255,-1.4406,-32.23
golden_cross,20,all,4864,0.6288,1.536,-0.9072,-4.08
golden_cross,20,bull,3975,0.7998,1.3276,-0.5278,-2.1
golden_cross,20,nonbull,889,-0.1356,2.2255,-2.361,-5.09
sma50_reclaim(x up),20,all,61152,0.8664,1.536,-0.6696,-8.72
sma50_reclaim(x up),20,bull,47884,0.4988,1.3276,-0.8288,-9.1
sma50_reclaim(x up),20,nonbull,13268,2.1929,2.2255,-0.0325,-0.25
sma20_pullback_uptrend,20,all,122016,0.8608,1.536,-0.6753,-2.83
sma20_pullback_uptrend,20,bull,101064,0.8667,1.3276,-0.4609,-1.6
sma20_pullback_uptrend,20,nonbull,20952,0.8322,2.2255,-1.3933,-13.66
