indicator,horizon,regime,n,mean_fwd,baseline,edge,t
sma20_pullback_uptrend,1,all,123600,2.5512,0.4417,2.1095,0.83
sma20_pullback_uptrend,1,bull,102648,3.0713,0.5395,2.5318,0.83
sma20_pullback_uptrend,1,nonbull,20952,0.0034,0.114,-0.1106,-3.75
rsi_oversold(<30),3,all,73160,0.3056,0.7113,-0.4057,-8.13
rsi_oversold(<30),3,bull,46593,0.1709,0.81,-0.6391,-9.34
rsi_oversold(<30),3,nonbull,26567,0.5419,0.3812,0.1607,2.4
rsi_exit_oversold(x30up),3,all,21532,0.0098,0.7113,-0.7015,-4.56
rsi_exit_oversold(x30up),3,bull,14058,-0.1697,0.81,-0.9797,-8.41
rsi_exit_oversold(x30up),3,nonbull,7474,0.3474,0.3812,-0.0338,-0.09
rsi_bull(>50),3,all,985699,0.1049,0.7113,-0.6064,-67.12
rsi_bull(>50),3,bull,787650,0.0652,0.81,-0.7448,-74.25
rsi_bull(>50),3,nonbull,198049,0.2628,0.3812,-0.1184,-5.71
williams_oversold(<-80),3,all,362199,3.0108,0.7113,2.2995,1.15
williams_oversold(<-80),3,bull,268001,3.927,0.81,3.117,1.15
williams_oversold(<-80),3,nonbull,94198,0.4042,0.3812,0.023,0.77
stoch_oversold(<20),3,all,324279,1.2465,0.7113,0.5352,0.54
stoch_oversold(<20),3,bull,237584,1.5257,0.81,0.7157,0.53
stoch_oversold(<20),3,nonbull,86695,0.4816,0.3812,0.1005,2.24
cci_oversold(<-100),3,all,320697,0.1659,0.7113,-0.5454,-32.76
cci_oversold(<-100),3,bull,232171,0.151,0.81,-0.659,-32.53
cci_oversold(<-100),3,nonbull,88526,0.2049,0.3812,-0.1763,-6.17
cci_break(x+100up),3,all,97770,0.0721,0.7113,-0.6393,-31.14
cci_break(x+100up),3,bull,76468,0.0032,0.81,-0.8068,-35.1
cci_break(x+100up),3,nonbull,21302,0.3191,0.3812,-0.0621,-1.36
bb_lower_touch,3,all,94136,0.1069,0.7113,-0.6044,-22.6
bb_lower_touch,3,bull,66079,0.1671,0.81,-0.6428,-20.8
bb_lower_touch,3,nonbull,28057,-0.035,0.3812,-0.4162,-7.93
