period,adx_min,adx_max,rising,di,N,regime,n,exp,lift,t,win
7,20,50,0,s20,15,nonbull,47809,0.1343,-0.069,-10.7,0.339
7,20,50,1,off,10,all,672352,0.0833,-0.0123,-7.5,0.286
7,20,50,1,off,10,bull,514013,0.064,-0.0042,-2.2,0.284
7,20,50,1,off,10,nonbull,158339,0.146,-0.041,-12.1,0.296
7,20,50,1,off,15,all,670686,0.09,-0.012,-7.0,0.331
7,20,50,1,off,15,bull,512352,0.0672,-0.0043,-2.2,0.325
7,20,50,1,off,15,nonbull,158334,0.1639,-0.0394,-11.1,0.349
7,20,50,1,s0,10,all,368235,0.0726,-0.023,-10.4,0.285
7,20,50,1,s0,10,bull,287005,0.0515,-0.0166,-6.6,0.285
7,20,50,1,s0,10,nonbull,81230,0.1472,-0.0398,-8.4,0.288
7,20,50,1,s0,15,all,367512,0.0816,-0.0204,-8.8,0.331
7,20,50,1,s0,15,bull,286284,0.0569,-0.0146,-5.6,0.327
7,20,50,1,s0,15,nonbull,81228,0.1689,-0.0345,-7.0,0.347
7,20,50,1,s10,10,all,358493,0.0732,-0.0225,-10.0,0.286
7,20,50,1,s10,10,bull,279381,0.0525,-0.0156,-6.1,0.285
7,20,50,1,s10,10,nonbull,79112,0.1462,-0.0407,-8.5,0.288
7,20,50,1,s10,15,all,357791,0.0821,-0.02,-8.5,0.332
7,20,50,1,s10,15,bull,278681,0.0577,-0.0138,-5.2,0.327
7,20,50,1,s10,15,nonbull,79110,0.1682,-0.0352,-7.0,0.347
7,20,50,1,s20,10,all,212876,0.0691,-0.0265,-9.1,0.287
7,20,50,1,s20,10,bull,166756,0.0584,-0.0097,-2.9,0.289
7,20,50,1,s20,10,nonbull,46120,0.1081,-0.0789,-12.7,0.28
7,20,50,1,s20,15,all,212437,0.0775,-0.0245,-8.0,0.332
7,20,50,1,s20,15,bull,166317,0.0638,-0.0076,-2.2,0.33
7,20,50,1,s20,15,nonbull,46120,0.127,-0.0763,-11.7,0.337
7,20,999,0,off,10,all,1580575,0.0933,-0.0023,-2.2,0.286
7,20,999,0,off,10,bull,1212214,0.067,-0.0011,-0.9,0.282
7,20,999,0,off,10,nonbull,368361,0.18,-0.007,-3.1,0.3
7,20,999,0,off,15,all,1576724,0.0999,-0.0021,-1.9,0.332
7,20,999,0,off,15,bull,1208369,0.0702,-0.0013,-1.0,0.325
7,20,999,0,off,15,nonbull,368355,0.1975,-0.0059,-2.5,0.356
7,20,999,0,s0,10,all,858752,0.0875,-0.0081,-5.6,0.288
7,20,999,0,s0,10,bull,676206,0.0663,-0.0019,-1.1,0.287
7,20,999,0,s0,10,nonbull,182546,0.1662,-0.0207,-6.6,0.293
7,20,999,0,s0,15,all,856817,0.0957,-0.0064,-4.2,0.334
7,20,999,0,s0,15,bull,674274,0.0712,-0.0003,-0.2,0.329
7,20,999,0,s0,15,nonbull,182543,0.1862,-0.0172,-5.2,0.351
7,20,999,0,s10,10,all,601161,0.0875,-0.0081,-4.6,0.29
7,20,999,0,s10,10,bull,475742,0.0703,0.0022,1.1,0.29
7,20,999,0,s10,10,nonbull,125419,0.1529,-0.0341,-9.0,0.291
7,20,999,0,s10,15,all,599761,0.0951,-0.0069,-3.8,0.335
7,20,999,0,s10,15,bull,474344,0.0751,0.0037,1.8,0.332
7,20,999,0,s10,15,nonbull,125417,0.1708,-0.0326,-8.2,0.348
7,20,999,0,s20,10,all,328669,0.0861,-0.0095,-4.0,0.293
7,20,999,0,s20,10,bull,262631,0.0796,0.0115,4.4,0.296
7,20,999,0,s20,10,nonbull,66038,0.1116,-0.0753,-14.5,0.283
7,20,999,0,s20,15,all,327852,0.094,-0.0081,-3.3,0.337
7,20,999,0,s20,15,bull,261814,0.0861,0.0146,5.3,0.337
7,20,999,0,s20,15,nonbull,66038,0.1253,-0.0781,-14.3,0.337
7,20,999,1,off,10,all,812831,0.0895,-0.0062,-4.1,0.288
7,20,999,1,off,10,bull,620880,0.0698,0.0017,1.0,0.284
7,20,999,1,off,10,nonbull,191951,0.153,-0.0339,-11.0,0.298
7,20,999,1,off,15,all,810815,0.0959,-0.0062,-4.0,0.332
7,20,999,1,off,15,bull,618869,0.0734,0.0019,1.1,0.326
7,20,999,1,off,15,nonbull,191946,0.1685,-0.0349,-10.8,0.351
7,20,999,1,s0,10,all,455313,0.0793,-0.0163,-8.2,0.289
7,20,999,1,s0,10,bull,359069,0.0628,-0.0053,-2.4,0.289
