period,adx_min,adx_max,rising,di,N,regime,n_sym,n_ep,lift,t
14,30,60,0,s20,10,all,1338,20692,-0.0997,-6.4
14,30,60,0,s20,10,bull,1304,17350,-0.045,-2.8
14,30,60,0,s20,10,nonbull,927,3321,-0.2636,-9.1
14,30,60,0,s20,15,all,1337,20648,-0.104,-6.5
14,30,60,0,s20,15,bull,1303,17306,-0.0439,-2.6
14,30,60,0,s20,15,nonbull,927,3321,-0.2959,-10.0
14,30,60,1,off,10,all,1408,40655,-0.0223,-1.8
14,30,60,1,off,10,bull,1359,31064,-0.0059,-0.5
14,30,60,1,off,10,nonbull,1129,9545,-0.0726,-3.6
14,30,60,1,off,15,all,1408,40546,-0.0236,-1.8
14,30,60,1,off,15,bull,1359,30955,-0.0023,-0.2
14,30,60,1,off,15,nonbull,1129,9545,-0.0816,-3.9
14,30,60,1,s0,10,all,1347,24133,-0.0826,-5.5
14,30,60,1,s0,10,bull,1313,20225,-0.0345,-2.2
14,30,60,1,s0,10,nonbull,950,3880,-0.2336,-8.3
14,30,60,1,s0,15,all,1346,24062,-0.0871,-5.6
14,30,60,1,s0,15,bull,1312,20154,-0.0323,-2.0
14,30,60,1,s0,15,nonbull,950,3880,-0.2654,-9.1
14,30,60,1,s20,10,all,1331,20844,-0.0942,-6.0
14,30,60,1,s20,10,bull,1299,17519,-0.0427,-2.6
14,30,60,1,s20,10,nonbull,918,3305,-0.2621,-9.0
14,30,60,1,s20,15,all,1330,20788,-0.0997,-6.2
14,30,60,1,s20,15,bull,1298,17463,-0.042,-2.5
14,30,60,1,s20,15,nonbull,918,3305,-0.297,-9.9
14,30,999,0,off,10,all,1364,22037,0.0093,0.6
14,30,999,0,off,10,bull,1311,16431,0.0164,1.0
14,30,999,0,off,10,nonbull,1081,5585,-0.0149,-0.6
14,30,999,0,off,15,all,1364,21987,0.0023,0.2
14,30,999,0,off,15,bull,1311,16381,0.0142,0.9
14,30,999,0,off,15,nonbull,1081,5585,-0.0204,-0.8
14,30,999,0,s0,10,all,1351,17237,-0.0412,-2.6
14,30,999,0,s0,10,bull,1304,13624,-0.0144,-0.9
14,30,999,0,s0,10,nonbull,1007,3590,-0.1138,-4.2
14,30,999,0,s0,15,all,1350,17213,-0.0355,-2.2
14,30,999,0,s0,15,bull,1303,13600,-0.0158,-0.9
14,30,999,0,s0,15,nonbull,1007,3590,-0.0812,-2.8
14,30,999,0,s20,10,all,1340,20643,-0.0961,-6.1
14,30,999,0,s20,10,bull,1306,17311,-0.0413,-2.5
14,30,999,0,s20,10,nonbull,928,3311,-0.2614,-9.0
14,30,999,0,s20,15,all,1339,20599,-0.1009,-6.2
14,30,999,0,s20,15,bull,1305,17267,-0.0407,-2.4
14,30,999,0,s20,15,nonbull,928,3311,-0.2943,-9.9
14,30,999,1,off,10,all,1414,40876,-0.0274,-2.2
14,30,999,1,off,10,bull,1365,31241,-0.012,-0.9
14,30,999,1,off,10,nonbull,1131,9589,-0.0703,-3.5
14,30,999,1,off,15,all,1414,40767,-0.0287,-2.2
14,30,999,1,off,15,bull,1365,31132,-0.0084,-0.6
14,30,999,1,off,15,nonbull,1131,9589,-0.0791,-3.8
14,30,999,1,s0,10,all,1351,24297,-0.0856,-5.8
14,30,999,1,s0,10,bull,1319,20375,-0.0391,-2.5
14,30,999,1,s0,10,nonbull,950,3894,-0.2323,-8.3
14,30,999,1,s0,15,all,1350,24226,-0.0897,-5.9
14,30,999,1,s0,15,bull,1318,20304,-0.0367,-2.3
14,30,999,1,s0,15,nonbull,950,3894,-0.2636,-9.1
14,30,999,1,s20,10,all,1336,21007,-0.0965,-6.2
14,30,999,1,s20,10,bull,1304,17668,-0.0469,-2.9
14,30,999,1,s20,10,nonbull,919,3319,-0.2603,-8.9
14,30,999,1,s20,15,all,1335,20951,-0.1015,-6.3
14,30,999,1,s20,15,bull,1303,17612,-0.0457,-2.7
14,30,999,1,s20,15,nonbull,919,3319,-0.2948,-9.8
14,35,60,0,off,10,all,1363,15576,-0.0158,-0.9
14,35,60,0,off,10,bull,1293,11559,-0.0076,-0.4
14,35,60,0,off,10,nonbull,1045,3997,-0.0185,-0.7
14,35,60,0,off,15,all,1362,15531,-0.0169,-1.0
14,35,60,0,off,15,bull,1292,11514,-0.0055,-0.3
14,35,60,0,off,15,nonbull,1045,3997,-0.0343,-1.2
14,35,60,0,s0,10,all,1313,11059,-0.061,-3.2
14,35,60,0,s0,10,bull,1264,9044,-0.0158,-0.8
14,35,60,0,s0,10,nonbull,858,2003,-0.2264,-6.8
14,35,60,0,s0,15,all,1313,11034,-0.0523,-2.7
14,35,60,0,s0,15,bull,1264,9019,-0.0091,-0.4
14,35,60,0,s0,15,nonbull,858,2003,-0.2078,-5.8
14,35,60,0,s20,10,all,1292,14158,-0.1052,-6.1
14,35,60,0,s20,10,bull,1253,12090,-0.0528,-2.9
14,35,60,0,s20,10,nonbull,761,2057,-0.3181,-9.4
14,35,60,0,s20,15,all,1290,14117,-0.1079,-6.1
14,35,60,0,s20,15,bull,1251,12049,-0.0514,-2.8
14,35,60,0,s20,15,nonbull,761,2057,-0.353,-10.1
14,35,60,1,off,10,all,1374,24701,-0.0436,-2.9
14,35,60,1,off,10,bull,1318,18900,-0.0303,-1.9
14,35,60,1,off,10,nonbull,1066,5773,-0.0849,-3.5
14,35,60,1,off,15,all,1374,24620,-0.0466,-3.1
14,35,60,1,off,15,bull,1318,18819,-0.0304,-1.9
14,35,60,1,off,15,nonbull,1066,5773,-0.1055,-4.1
14,35,60,1,s0,10,all,1300,15322,-0.097,-5.6
14,35,60,1,s0,10,bull,1262,13076,-0.05,-2.8
14,35,60,1,s0,10,nonbull,782,2231,-0.2958,-8.9
14,35,60,1,s0,15,all,1299,15266,-0.0995,-5.6
14,35,60,1,s0,15,bull,1261,13020,-0.0469,-2.5
14,35,60,1,s0,15,nonbull,782,2231,-0.3376,-9.8
14,35,60,1,s20,10,all,1285,14315,-0.1042,-6.1
14,35,60,1,s20,10,bull,1249,12259,-0.051,-2.8
14,35,60,1,s20,10,nonbull,755,2045,-0.328,-9.7
14,35,60,1,s20,15,all,1283,14262,-0.1088,-6.1
14,35,60,1,s20,15,bull,1247,12206,-0.0504,-2.7
14,35,60,1,s20,15,nonbull,755,2045,-0.3667,-10.5
14,35,999,0,off,10,all,1347,14947,0.0019,0.1
14,35,999,0,off,10,bull,1281,11074,0.0082,0.4
14,35,999,0,off,10,nonbull,1032,3856,-0.008,-0.3
14,35,999,0,off,15,all,1347,14903,0.0006,0.0
14,35,999,0,off,15,bull,1281,11030,0.01,0.5
14,35,999,0,off,15,nonbull,1032,3856,-0.0231,-0.8
14,35,999,0,s0,10,all,1308,10639,-0.0435,-2.2
14,35,999,0,s0,10,bull,1257,8656,0.0017,0.1
14,35,999,0,s0,10,nonbull,855,1972,-0.2206,-6.5
14,35,999,0,s0,15,all,1308,10614,-0.0347,-1.7
14,35,999,0,s0,15,bull,1257,8631,0.009,0.4
14,35,999,0,s0,15,nonbull,855,1972,-0.2026,-5.6
14,35,999,0,s20,10,all,1295,14109,-0.1002,-5.8
14,35,999,0,s20,10,bull,1256,12051,-0.0483,-2.6
14,35,999,0,s20,10,nonbull,762,2047,-0.3176,-9.4
14,35,999,0,s20,15,all,1293,14068,-0.1035,-5.8
14,35,999,0,s20,15,bull,1254,12010,-0.0474,-2.5
14,35,999,0,s20,15,nonbull,762,2047,-0.3542,-10.2
14,35,999,1,off,10,all,1380,24922,-0.0467,-3.1
14,35,999,1,off,10,bull,1324,19077,-0.0363,-2.3
14,35,999,1,off,10,nonbull,1068,5817,-0.0793,-3.3
14,35,999,1,off,15,all,1380,24841,-0.0495,-3.2
14,35,999,1,off,15,bull,1324,18996,-0.0363,-2.3
14,35,999,1,off,15,nonbull,1068,5817,-0.0993,-3.9
14,35,999,1,s0,10,all,1305,15486,-0.0989,-5.7
14,35,999,1,s0,10,bull,1268,13226,-0.0545,-3.1
14,35,999,1,s0,10,nonbull,783,2245,-0.293,-8.8
14,35,999,1,s0,15,all,1304,15430,-0.1011,-5.7
14,35,999,1,s0,15,bull,1267,13170,-0.0511,-2.8
14,35,999,1,s0,15,nonbull,783,2245,-0.3345,-9.7
14,35,999,1,s20,10,all,1290,14478,-0.1053,-6.2
14,35,999,1,s20,10,bull,1254,12408,-0.0543,-3.0
14,35,999,1,s20,10,nonbull,756,2059,-0.325,-9.6
14,35,999,1,s20,15,all,1288,14425,-0.1092,-6.2
14,35,999,1,s20,15,bull,1252,12355,-0.0531,-2.9
14,35,999,1,s20,15,nonbull,756,2059,-0.3633,-10.4
14,40,60,0,off,10,all,1310,10222,-0.024,-1.3
14,40,60,0,off,10,bull,1243,7596,0.0023,0.1
14,40,60,0,off,10,nonbull,929,2614,-0.0444,-1.4
14,40,60,0,off,15,all,1309,10195,-0.0314,-1.6
14,40,60,0,off,15,bull,1242,7569,-0.0079,-0.4
14,40,60,0,off,15,nonbull,929,2614,-0.0619,-1.9
14,40,60,0,s0,10,all,1233,6846,-0.0761,-3.6
14,40,60,0,s0,10,bull,1197,5797,-0.0157,-0.7
14,40,60,0,s0,10,nonbull,593,1043,-0.3112,-7.4
14,40,60,0,s0,15,all,1232,6828,-0.0854,-3.9
14,40,60,0,s0,15,bull,1196,5779,-0.0281,-1.2
14,40,60,0,s0,15,nonbull,593,1043,-0.3145,-7.1
14,40,60,0,s20,10,all,1219,8882,-0.1056,-5.4
14,40,60,0,s20,10,bull,1186,7737,-0.0457,-2.2
14,40,60,0,s20,10,nonbull,539,1137,-0.3683,-8.7
14,40,60,0,s20,15,all,1218,8858,-0.1222,-6.0
14,40,60,0,s20,15,bull,1185,7713,-0.0615,-2.9
14,40,60,0,s20,15,nonbull,539,1137,-0.4015,-9.2
14,40,60,1,off,10,all,1317,14450,-0.0266,-1.5
14,40,60,1,off,10,bull,1258,11120,-0.0,-0.0
14,40,60,1,off,10,nonbull,940,3315,-0.1149,-3.9
14,40,60,1,off,15,all,1316,14404,-0.0359,-2.0
14,40,60,1,off,15,bull,1257,11074,-0.0112,-0.6
14,40,60,1,off,15,nonbull,940,3315,-0.1309,-4.2
14,40,60,1,s0,10,all,1217,9287,-0.0954,-4.8
14,40,60,1,s0,10,bull,1186,8108,-0.0327,-1.6
14,40,60,1,s0,10,nonbull,544,1170,-0.385,-9.2
14,40,60,1,s0,15,all,1216,9251,-0.1106,-5.4
14,40,60,1,s0,15,bull,1185,8072,-0.047,-2.2
14,40,60,1,s0,15,nonbull,544,1170,-0.4179,-9.6
14,40,60,1,s20,10,all,1212,9024,-0.0943,-4.7
14,40,60,1,s20,10,bull,1180,7897,-0.0367,-1.7
14,40,60,1,s20,10,nonbull,528,1119,-0.3828,-9.1
