sample,tp_pct,sl_pct,max_hold,hold_days,total_R_A,win_rate_A,n_A,total_R_B,win_rate_B,n_B,total_R_recent_holdout,win_rate_recent_holdout,n_recent_holdout,total_R,n_trades,win_rate,profitable_all_eras
long_mr_strong4,0.01,0.006,36,6,200.8639073575149,0.41112462006079026,16450,456.928217050881,0.4200711569132622,16302,343.1402654047013,0.43440075665450617,7401,1000.9323898130972,40153,0.419047144671631,True
long_mr_full6,0.01,0.006,36,6,468.8110058901484,0.41442748806291546,21362,640.2586503676145,0.4209570247143745,20919,419.085786865289,0.4342621259029928,9690,1528.1554431230518,51971,0.4207538819726386,True
long_mr_strong4,0.01,0.006,60,10,174.62841681957036,0.3932522796352584,16450,524.463781523858,0.4024046129309287,16302,384.16180293936947,0.4149439264964194,7401,1083.2540012827978,40153,0.4009663038876298,True
long_mr_full6,0.01,0.006,60,10,424.57611149492107,0.3964984552008239,21362,712.4958388935495,0.4025048998518094,20919,512.2751137594076,0.4151702786377709,9690,1649.3470641478784,51971,0.4023974909083912,True
long_mr_strong4,0.01,0.006,84,14,219.17260188779275,0.38869300911854104,16450,422.3723087114506,0.3930806036069194,16302,400.1821427519798,0.40264829077151737,7401,1041.7270533512233,40153,0.3930465967673648,True
long_mr_full6,0.01,0.006,84,14,491.36531009928154,0.3920513060574852,21362,616.8762064540947,0.39380467517567763,20919,542.6982863524727,0.40340557275541794,9690,1650.9398029058489,51971,0.39487406438205924,True
long_mr_strong4,0.01,0.006,120,20,194.47267223439616,0.382370820668693,16450,391.13625610264074,0.38749846644583485,16302,303.01359671479133,0.39224255667850316,7322,888.6225250518282,40074,0.3862604182262814,True
long_mr_full6,0.01,0.006,120,20,490.3936899579359,0.3866679149892332,21362,588.9874311570627,0.3890243319470338,20919,430.33793038580774,0.3936136909109882,9583,1509.7190515008065,51864,0.3889017430202067,True
long_mr_strong4,0.01,0.008,36,6,117.14555788892767,0.4674772036474164,16450,442.19045617916856,0.4777941356888725,16302,336.6310006414012,0.48979867585461423,7401,895.9670147094974,40153,0.4757801409608248,True
long_mr_full6,0.01,0.008,36,6,337.8295524839184,0.470929688231439,21362,647.6733770000067,0.47946842583297483,20919,400.2937194757623,0.48813209494324045,9690,1385.7966489596874,51971,0.47757403167150914,True
