pair,tf,period,threshold,recovery,direction,n,w,l,t,wr_decisive,ci_low,ci_high
NZD_CAD,H4,21,25,4,long,4,1,3,0,0.25,0.0,0.674352447854375
NZD_CAD,H4,21,30,1,long,124,58,62,4,0.48333333333333334,0.3939216968381839,0.5727449698284828
NZD_CAD,H4,21,30,2,long,65,25,36,4,0.4098360655737705,0.28641690917943796,0.533255221968103
NZD_CAD,H4,21,30,3,long,27,6,18,3,0.25,0.07675883860929586,0.4232411613907041
NZD_CAD,H4,21,30,4,long,15,3,11,1,0.21428571428571427,0.0,0.42922756688776104
NZD_CAD,H4,21,35,1,long,400,185,201,14,0.4792746113989637,0.42943679483571306,0.5291124279622144
NZD_CAD,H4,21,35,2,long,214,92,112,10,0.45098039215686275,0.3826972110743301,0.5192635732393954
NZD_CAD,H4,21,35,3,long,102,40,54,8,0.425531914893617,0.3255799890172483,0.5254838407699858
NZD_CAD,H4,21,35,4,long,56,18,33,5,0.35294117647058826,0.2217834047494987,0.4840989481916778
NZD_CAD,H4,21,20,1,short,0,0,0,0,,,
NZD_CAD,H4,21,20,2,short,0,0,0,0,,,
NZD_CAD,H4,21,20,3,short,0,0,0,0,,,
NZD_CAD,H4,21,20,4,short,0,0,0,0,,,
NZD_CAD,H4,21,25,1,short,17,4,12,1,0.25,0.03782377607281254,0.4621762239271875
NZD_CAD,H4,21,25,2,short,13,3,9,1,0.25,0.0050000000000000044,0.495
NZD_CAD,H4,21,25,3,short,5,2,3,0,0.4,0.0,0.8294144850840502
NZD_CAD,H4,21,25,4,short,4,1,3,0,0.25,0.0,0.674352447854375
NZD_CAD,H4,21,30,1,short,96,48,40,8,0.5454545454545454,0.441418777462051,0.6494903134470399
NZD_CAD,H4,21,30,2,short,62,27,30,5,0.47368421052631576,0.3440599483813068,0.6033084726713247
NZD_CAD,H4,21,30,3,short,33,17,16,0,0.5151515151515151,0.3446337572572199,0.6856692730458104
NZD_CAD,H4,21,30,4,short,21,8,12,1,0.4,0.1852927574579749,0.6147072425420251
NZD_CAD,H4,21,35,1,short,380,179,181,20,0.49722222222222223,0.44557248418844825,0.5488719602559962
NZD_CAD,H4,21,35,2,short,203,86,107,10,0.44559585492227977,0.3754727363239976,0.515718973520562
NZD_CAD,H4,21,35,3,short,101,50,51,0,0.49504950495049505,0.39754064003908796,0.5925583698619021
NZD_CAD,H4,21,35,4,short,61,25,35,1,0.4166666666666667,0.29191877274842437,0.541414560584909
NZD_CAD,H4,28,20,1,long,0,0,0,0,,,
NZD_CAD,H4,28,20,2,long,0,0,0,0,,,
NZD_CAD,H4,28,20,3,long,0,0,0,0,,,
NZD_CAD,H4,28,20,4,long,0,0,0,0,,,
NZD_CAD,H4,28,25,1,long,5,5,0,0,1.0,1.0,1.0
NZD_CAD,H4,28,25,2,long,4,4,0,0,1.0,1.0,1.0
NZD_CAD,H4,28,25,3,long,1,1,0,0,1.0,1.0,1.0
NZD_CAD,H4,28,25,4,long,1,0,1,0,0.0,0.0,0.0
NZD_CAD,H4,28,30,1,long,43,29,14,0,0.6744186046511628,0.5343578684577726,0.814479340844553
NZD_CAD,H4,28,30,2,long,23,13,10,0,0.5652173913043478,0.3626189995886204,0.7678157830200751
NZD_CAD,H4,28,30,3,long,10,4,6,0,0.4,0.09635810565733854,0.7036418943426614
NZD_CAD,H4,28,30,4,long,6,1,5,0,0.16666666666666666,0.0,0.4648711701972571
NZD_CAD,H4,28,35,1,long,245,116,124,5,0.48333333333333334,0.42010975885062657,0.54655690781604
NZD_CAD,H4,28,35,2,long,132,57,70,5,0.44881889763779526,0.3623147486920181,0.5353230465835724
NZD_CAD,H4,28,35,3,long,58,21,33,4,0.3888888888888889,0.25886233608024334,0.5189154416975345
NZD_CAD,H4,28,35,4,long,31,11,18,2,0.3793103448275862,0.20270995022817426,0.5559107394269981
NZD_CAD,H4,28,20,1,short,0,0,0,0,,,
NZD_CAD,H4,28,20,2,short,0,0,0,0,,,
NZD_CAD,H4,28,20,3,short,0,0,0,0,,,
NZD_CAD,H4,28,20,4,short,0,0,0,0,,,
NZD_CAD,H4,28,25,1,short,2,0,2,0,0.0,0.0,0.0
NZD_CAD,H4,28,25,2,short,1,0,1,0,0.0,0.0,0.0
NZD_CAD,H4,28,25,3,short,1,0,1,0,0.0,0.0,0.0
NZD_CAD,H4,28,25,4,short,1,0,1,0,0.0,0.0,0.0
NZD_CAD,H4,28,30,1,short,28,8,18,2,0.3076923076923077,0.13028263467499662,0.4851019807096188
NZD_CAD,H4,28,30,2,short,21,5,14,2,0.2631578947368421,0.06515356367607467,0.4611622257976095
NZD_CAD,H4,28,30,3,short,10,4,6,0,0.4,0.09635810565733854,0.7036418943426614
NZD_CAD,H4,28,30,4,short,6,3,3,0,0.5,0.09991667534541426,0.9000833246545857
NZD_CAD,H4,28,35,1,short,213,105,92,16,0.5329949238578681,0.46332500650881464,0.6026648412069215
NZD_CAD,H4,28,35,2,short,121,53,59,9,0.4732142857142857,0.3807459634357886,0.5656826079927828
NZD_CAD,H4,28,35,3,short,58,30,28,0,0.5172413793103449,0.3886376022059932,0.6458451564146965
NZD_CAD,H4,28,35,4,short,36,12,23,1,0.34285714285714286,0.18560066445323098,0.5001136212610547
NZD_CHF,H4,7,20,1,long,291,139,146,6,0.48771929824561405,0.42968662061937124,0.5457519758718569
NZD_CHF,H4,7,20,2,long,146,70,72,4,0.49295774647887325,0.4107261308595551,0.5751893620981914
NZD_CHF,H4,7,20,3,long,70,29,38,3,0.43283582089552236,0.3141948575152511,0.5514767842757936
NZD_CHF,H4,7,20,4,long,33,15,16,2,0.4838709677419355,0.3079493737374329,0.6597925617464381
