tr_n,tr_w,tr_l,tr_t,tr_wr,tr_ci_low,tr_ci_high,te_n,te_w,te_l,te_t,te_wr,te_ci_low,te_ci_high,pair,tf,period,threshold,recovery,direction,total_n
9.0,6.0,3.0,0.0,0.6666666666666666,0.3586823797498592,0.974650953583474,4.0,1.0,3.0,0.0,0.25,0.0,0.674352447854375,NZD_CHF,H4,14,20,2,short,13
3.0,1.0,2.0,0.0,0.3333333333333333,0.0,0.8667777662061142,2.0,1.0,1.0,0.0,0.5,0.0,1.0,NZD_CHF,H4,14,20,3,short,5
2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,NZD_CHF,H4,14,20,4,short,3
61.0,36.0,25.0,0.0,0.5901639344262295,0.46674477803189696,0.713583090820562,27.0,13.0,14.0,0.0,0.48148148148148145,0.29300979396482363,0.6699531689981393,NZD_CHF,H4,14,25,1,short,88
33.0,17.0,16.0,0.0,0.5151515151515151,0.3446337572572199,0.6856692730458104,15.0,7.0,8.0,0.0,0.4666666666666667,0.2141946806886107,0.7191386526447227,NZD_CHF,H4,14,25,2,short,48
12.0,5.0,7.0,0.0,0.4166666666666667,0.13772189581554434,0.6956114375177891,6.0,3.0,3.0,0.0,0.5,0.09991667534541426,0.9000833246545857,NZD_CHF,H4,14,25,3,short,18
5.0,1.0,4.0,0.0,0.2,0.0,0.5506154588719672,3.0,1.0,1.0,1.0,0.5,0.0,1.0,NZD_CHF,H4,14,25,4,short,8
188.0,115.0,70.0,3.0,0.6216216216216216,0.551734618278128,0.6915086249651152,81.0,49.0,32.0,0.0,0.6049382716049383,0.4984745674855481,0.7114019757243285,NZD_CHF,H4,14,30,1,short,269
98.0,57.0,41.0,0.0,0.5816326530612245,0.48396599800329754,0.6792993081191514,42.0,27.0,14.0,1.0,0.6585365853658537,0.5133835285461881,0.8036896421855193,NZD_CHF,H4,14,30,2,short,140
45.0,20.0,25.0,0.0,0.4444444444444444,0.2992592592592592,0.5896296296296296,20.0,11.0,8.0,1.0,0.5789473684210527,0.3569401957423196,0.8009545410997857,NZD_CHF,H4,14,30,3,short,65
