tr_n,tr_w,tr_l,tr_t,tr_wr,tr_ci_low,tr_ci_high,te_n,te_w,te_l,te_t,te_wr,te_ci_low,te_ci_high,pair,tf,period,threshold,recovery,direction,total_n
13.0,5.0,7.0,1.0,0.4166666666666667,0.13772189581554434,0.6956114375177891,6.0,3.0,2.0,1.0,0.6,0.17058551491594975,1.0,GBP_CAD,H4,21,25,2,long,19
7.0,1.0,5.0,1.0,0.16666666666666666,0.0,0.4648711701972571,4.0,3.0,0.0,1.0,1.0,1.0,1.0,GBP_CAD,H4,21,25,3,long,11
5.0,1.0,4.0,0.0,0.2,0.0,0.5506154588719672,3.0,2.0,0.0,1.0,1.0,1.0,1.0,GBP_CAD,H4,21,25,4,long,8
112.0,38.0,63.0,11.0,0.37623762376237624,0.28175845063519683,0.47071679688955564,48.0,29.0,13.0,6.0,0.6904761904761905,0.5506614983006249,0.830290882651756,GBP_CAD,H4,21,30,1,long,160
60.0,22.0,35.0,3.0,0.38596491228070173,0.25958176960687573,0.5123480549545277,26.0,14.0,9.0,3.0,0.6086956521739131,0.4092385110469433,0.8081527933008829,GBP_CAD,H4,21,30,2,long,86
29.0,11.0,15.0,3.0,0.4230769230769231,0.23317121377589872,0.6129826323779475,13.0,6.0,6.0,1.0,0.5,0.21709836809708338,0.7829016319029166,GBP_CAD,H4,21,30,3,long,42
16.0,5.0,9.0,2.0,0.35714285714285715,0.1061448491826345,0.6081408651030797,8.0,5.0,2.0,1.0,0.7142857142857143,0.3796217036720841,1.0,GBP_CAD,H4,21,30,4,long,24
306.0,114.0,172.0,20.0,0.3986013986013986,0.341856912036594,0.45534588516620317,132.0,60.0,53.0,19.0,0.5309734513274337,0.43895986330462555,0.6229870393502418,GBP_CAD,H4,21,35,1,long,438
156.0,62.0,85.0,9.0,0.4217687074829932,0.34193516940553337,0.5016022455604531,67.0,33.0,24.0,10.0,0.5789473684210527,0.4507714675129584,0.7071232693291469,GBP_CAD,H4,21,35,2,long,223
81.0,38.0,38.0,5.0,0.5,0.38758629040342474,0.6124137095965753,35.0,15.0,14.0,6.0,0.5172413793103449,0.33536817355696424,0.6991145850637255,GBP_CAD,H4,21,35,3,long,116
44.0,24.0,17.0,3.0,0.5853658536585366,0.43456271942948005,0.736168987887593,20.0,9.0,7.0,4.0,0.5625,0.31942159829594075,0.8055784017040593,GBP_CAD,H4,21,35,4,long,64
11.0,5.0,5.0,1.0,0.5,0.19009678930349883,0.8099032106965012,5.0,1.0,2.0,2.0,0.3333333333333333,0.0,0.8667777662061142,GBP_CAD,H4,21,20,1,short,16
4.0,3.0,1.0,0.0,0.75,0.3256475521456251,1.0,3.0,1.0,1.0,1.0,0.5,0.0,1.0,GBP_CAD,H4,21,20,2,short,7
2.0,1.0,1.0,0.0,0.5,0.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,GBP_CAD,H4,21,20,3,short,4
2.0,1.0,1.0,0.0,0.5,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,GBP_CAD,H4,21,20,4,short,3
35.0,21.0,14.0,0.0,0.6,0.4376965804426783,0.7623034195573217,16.0,5.0,5.0,6.0,0.5,0.19009678930349883,0.8099032106965012,GBP_CAD,H4,21,25,1,short,51
20.0,10.0,9.0,1.0,0.5263157894736842,0.3017999815449016,0.7508315974024667,9.0,3.0,4.0,2.0,0.42857142857142855,0.06196537297496135,0.7951774841678958,GBP_CAD,H4,21,25,2,short,29
11.0,4.0,7.0,0.0,0.36363636363636365,0.07935652563159407,0.6479162016411333,5.0,3.0,1.0,1.0,0.75,0.3256475521456251,1.0,GBP_CAD,H4,21,25,3,short,16
7.0,3.0,4.0,0.0,0.42857142857142855,0.06196537297496135,0.7951774841678958,3.0,1.0,2.0,0.0,0.3333333333333333,0.0,0.8667777662061142,GBP_CAD,H4,21,25,4,short,10
116.0,63.0,53.0,0.0,0.5431034482758621,0.4524514677025692,0.633755428849155,51.0,17.0,21.0,13.0,0.4473684210526316,0.28927464069347575,0.6054622014117874,GBP_CAD,H4,21,30,1,short,167
53.0,27.0,25.0,1.0,0.5192307692307693,0.3834297772537627,0.6550317612077758,23.0,7.0,10.0,6.0,0.4117647058823529,0.17781004090730612,0.6457193708573997,GBP_CAD,H4,21,30,2,short,76
23.0,11.0,11.0,1.0,0.5,0.29106329797150177,0.7089367020284982,10.0,4.0,4.0,2.0,0.5,0.15351767721859172,0.8464823227814082,GBP_CAD,H4,21,30,3,short,33
14.0,6.0,8.0,0.0,0.42857142857142855,0.16934180063511417,0.6878010565077429,6.0,3.0,3.0,0.0,0.5,0.09991667534541426,0.9000833246545857,GBP_CAD,H4,21,30,4,short,20
295.0,150.0,140.0,5.0,0.5172413793103449,0.4597280217566326,0.5747547368640571,127.0,45.0,48.0,34.0,0.4838709677419355,0.3823025880871679,0.5854393473967031,GBP_CAD,H4,21,35,1,short,422
149.0,75.0,68.0,6.0,0.5244755244755245,0.4426220529491144,0.6063289960019346,64.0,23.0,21.0,20.0,0.5227272727272727,0.37513941734496625,0.6703151281095792,GBP_CAD,H4,21,35,2,short,213
69.0,32.0,35.0,2.0,0.47761194029850745,0.3580059644827897,0.5972179161142251,30.0,14.0,9.0,7.0,0.6086956521739131,0.4092385110469433,0.8081527933008829,GBP_CAD,H4,21,35,3,short,99
35.0,13.0,22.0,0.0,0.37142857142857144,0.2113485914185777,0.5315085514385651,16.0,6.0,6.0,4.0,0.5,0.21709836809708338,0.7829016319029166,GBP_CAD,H4,21,35,4,short,51
0.0,0.0,0.0,0.0,,,,1.0,1.0,0.0,0.0,1.0,1.0,1.0,GBP_CAD,H4,28,20,1,long,1
0.0,0.0,0.0,0.0,,,,1.0,1.0,0.0,0.0,1.0,1.0,1.0,GBP_CAD,H4,28,20,2,long,1
0.0,0.0,0.0,0.0,,,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,GBP_CAD,H4,28,20,3,long,1
,,,,,,,,,,,,,,GBP_CAD,H4,28,20,4,long,0
8.0,3.0,5.0,0.0,0.375,0.03951993352808575,0.7104800664719142,4.0,4.0,0.0,0.0,1.0,1.0,1.0,GBP_CAD,H4,28,25,1,long,12
4.0,1.0,3.0,0.0,0.25,0.0,0.674352447854375,2.0,1.0,1.0,0.0,0.5,0.0,1.0,GBP_CAD,H4,28,25,2,long,6
2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,GBP_CAD,H4,28,25,3,long,3
1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,GBP_CAD,H4,28,25,4,long,2
50.0,16.0,30.0,4.0,0.34782608695652173,0.21018758329991247,0.48546459061313096,22.0,14.0,7.0,1.0,0.6666666666666666,0.4650436227161998,0.8682897106171334,GBP_CAD,H4,28,30,1,long,72
25.0,9.0,15.0,1.0,0.375,0.18131049331468677,0.5686895066853133,11.0,6.0,4.0,1.0,0.6,0.2963581056573385,0.9036418943426614,GBP_CAD,H4,28,30,2,long,36
14.0,4.0,9.0,1.0,0.3076923076923077,0.05679714201505026,0.5585874733695652,7.0,4.0,2.0,1.0,0.6666666666666666,0.28946449079611114,1.0,GBP_CAD,H4,28,30,3,long,21
9.0,3.0,6.0,0.0,0.3333333333333333,0.02534904641652591,0.6413176202501407,4.0,3.0,0.0,1.0,1.0,1.0,1.0,GBP_CAD,H4,28,30,4,long,13
185.0,59.0,113.0,13.0,0.3430232558139535,0.2720771391766867,0.4139693724512203,80.0,44.0,25.0,11.0,0.6376811594202898,0.524263996910928,0.7510983219296516,GBP_CAD,H4,28,35,1,long,265
90.0,35.0,51.0,4.0,0.4069767441860465,0.3031456323024372,0.5108078560696558,39.0,22.0,12.0,5.0,0.6470588235294118,0.48642401527085855,0.807693631787965,GBP_CAD,H4,28,35,2,long,129
45.0,17.0,24.0,4.0,0.4146341463414634,0.2638310121124069,0.5654372805705199,20.0,10.0,7.0,3.0,0.5882352941176471,0.3542806291426003,0.8221899590926939,GBP_CAD,H4,28,35,3,long,65
25.0,10.0,12.0,3.0,0.45454545454545453,0.24647391856046566,0.6626169905304434,11.0,6.0,3.0,2.0,0.6666666666666666,0.3586823797498592,0.974650953583474,GBP_CAD,H4,28,35,4,long,36
2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,GBP_CAD,H4,28,20,1,short,3
,,,,,,,,,,,,,,GBP_CAD,H4,28,20,2,short,0
,,,,,,,,,,,,,,GBP_CAD,H4,28,20,3,short,0
,,,,,,,,,,,,,,GBP_CAD,H4,28,20,4,short,0
15.0,8.0,7.0,0.0,0.5333333333333333,0.28086134735527735,0.7858053193113893,7.0,1.0,2.0,4.0,0.3333333333333333,0.0,0.8667777662061142,GBP_CAD,H4,28,25,1,short,22
7.0,4.0,3.0,0.0,0.5714285714285714,0.2048225158321042,0.9380346270250386,4.0,1.0,1.0,2.0,0.5,0.0,1.0,GBP_CAD,H4,28,25,2,short,11
4.0,1.0,3.0,0.0,0.25,0.0,0.674352447854375,2.0,2.0,0.0,0.0,1.0,1.0,1.0,GBP_CAD,H4,28,25,3,short,6
3.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,GBP_CAD,H4,28,25,4,short,5
60.0,33.0,27.0,0.0,0.55,0.4241167207290818,0.6758832792709183,26.0,9.0,9.0,8.0,0.5,0.2690117848123945,0.7309882151876055,GBP_CAD,H4,28,30,1,short,86
