pair,tf,period,threshold,recovery,direction,n,w,l,t,wr_decisive,ci_low,ci_high
EUR_NOK,H4,40,250,4,long,27,10,12,5,0.45454545454545453,0.24647391856046566,0.6626169905304434
EUR_NOK,H4,40,100,1,short,913,408,460,45,0.4700460829493088,0.43684245942790945,0.5032497064707081
EUR_NOK,H4,40,100,2,short,679,319,336,24,0.4870229007633588,0.44874403140154784,0.5253017701251698
EUR_NOK,H4,40,100,3,short,477,225,227,25,0.497787610619469,0.4516927393133686,0.5438824819255694
EUR_NOK,H4,40,100,4,short,339,163,159,17,0.5062111801242236,0.4516021292783293,0.5608202309701179
EUR_NOK,H4,40,150,1,short,477,226,231,20,0.49452954048140046,0.44868981788710555,0.5403692630756953
EUR_NOK,H4,40,150,2,short,377,186,177,14,0.512396694214876,0.4609758456681927,0.5638175427615593
EUR_NOK,H4,40,150,3,short,294,142,137,15,0.5089605734767025,0.45029893052448244,0.5676222164289226
EUR_NOK,H4,40,150,4,short,224,111,103,10,0.5186915887850467,0.45174699462359114,0.5856361829465023
EUR_NOK,H4,40,200,1,short,207,97,99,11,0.49489795918367346,0.4249016035934117,0.5648943147739353
EUR_NOK,H4,40,200,2,short,180,87,84,9,0.5087719298245614,0.433840990807659,0.5837028688414638
EUR_NOK,H4,40,200,3,short,144,68,66,10,0.5074626865671642,0.4228130110028776,0.5921123621314508
EUR_NOK,H4,40,200,4,short,115,52,56,7,0.48148148148148145,0.3872456377231525,0.5757173252398103
EUR_NOK,H4,40,250,1,short,83,37,42,4,0.46835443037974683,0.358316872918061,0.5783919878414326
EUR_NOK,H4,40,250,2,short,74,33,39,2,0.4583333333333333,0.3432409455917916,0.573425721074875
EUR_NOK,H4,40,250,3,short,58,27,28,3,0.4909090909090909,0.3587877615184891,0.6230304202996927
EUR_NOK,H4,40,250,4,short,48,21,24,3,0.4666666666666667,0.32090189759939663,0.6124314357339367
USD_ZAR,H4,14,100,1,long,1218,581,637,0,0.47701149425287354,0.4489608447738837,0.5050621437318634
USD_ZAR,H4,14,100,2,long,964,457,507,0,0.47406639004149376,0.44254520037349665,0.5055875797094909
USD_ZAR,H4,14,100,3,long,724,356,368,0,0.49171270718232046,0.45529629714850284,0.5281291172161381
USD_ZAR,H4,14,100,4,long,485,247,238,0,0.5092783505154639,0.46478650520327736,0.5537701958276504
USD_ZAR,H4,14,150,1,long,622,299,323,0,0.4807073954983923,0.441442237472327,0.5199725535244576
USD_ZAR,H4,14,150,2,long,548,261,287,0,0.4762773722627737,0.4344609920727719,0.5180937524527756
USD_ZAR,H4,14,150,3,long,457,222,235,0,0.48577680525164113,0.4399528903671999,0.5316007201360824
USD_ZAR,H4,14,150,4,long,322,165,157,0,0.5124223602484472,0.4578259533135457,0.5670187671833488
USD_ZAR,H4,14,200,1,long,237,117,120,0,0.4936708860759494,0.4300181456102288,0.55732362654167
USD_ZAR,H4,14,200,2,long,220,109,111,0,0.4954545454545455,0.4293856892204078,0.5615234016886832
USD_ZAR,H4,14,200,3,long,206,107,99,0,0.5194174757281553,0.45118914799008925,0.5876458034662214
USD_ZAR,H4,14,200,4,long,161,84,77,0,0.5217391304347826,0.4445773459302875,0.5989009149392777
USD_ZAR,H4,14,250,1,long,82,43,39,0,0.524390243902439,0.41629618517518524,0.6324843026296928
USD_ZAR,H4,14,250,2,long,78,38,40,0,0.48717948717948717,0.37625282086877476,0.5981061534901996
USD_ZAR,H4,14,250,3,long,76,41,35,0,0.5394736842105263,0.4274108419121192,0.6515365265089335
USD_ZAR,H4,14,250,4,long,63,33,30,0,0.5238095238095238,0.400481195582754,0.6471378520362937
USD_ZAR,H4,14,100,1,short,1106,571,535,0,0.5162748643761302,0.4868226246985877,0.5457271040536728
USD_ZAR,H4,14,100,2,short,898,465,433,0,0.5178173719376392,0.48513511868591225,0.5504996251893662
USD_ZAR,H4,14,100,3,short,693,364,329,0,0.5252525252525253,0.4880729126531882,0.5624321378518624
USD_ZAR,H4,14,100,4,short,469,254,215,0,0.5415778251599147,0.49648235745422004,0.5866732928656093
USD_ZAR,H4,14,150,1,short,559,281,278,0,0.5026833631484794,0.46123437648816734,0.5441323498087914
USD_ZAR,H4,14,150,2,short,500,251,249,0,0.502,0.45817341825786545,0.5458265817421345
USD_ZAR,H4,14,150,3,short,422,218,204,0,0.5165876777251185,0.46890828388997396,0.564267071560263
USD_ZAR,H4,14,150,4,short,291,164,127,0,0.563573883161512,0.5065915310048347,0.6205562353181894
USD_ZAR,H4,14,200,1,short,239,120,119,0,0.502092050209205,0.4387016748139074,0.5654824256045026
USD_ZAR,H4,14,200,2,short,230,112,118,0,0.48695652173913045,0.4223592267473143,0.5515538167309466
USD_ZAR,H4,14,200,3,short,211,108,103,0,0.5118483412322274,0.44440130377124715,0.5792953786932078
USD_ZAR,H4,14,200,4,short,155,89,66,0,0.5741935483870968,0.496349485434157,0.6520376113400366
USD_ZAR,H4,14,250,1,short,95,47,48,0,0.49473684210526314,0.39419653416401296,0.5952771500465134
USD_ZAR,H4,14,250,2,short,95,45,50,0,0.47368421052631576,0.37327768881590695,0.5740907322367246
USD_ZAR,H4,14,250,3,short,91,43,48,0,0.4725274725274725,0.3699507474659295,0.5751041975890155
USD_ZAR,H4,14,250,4,short,72,36,36,0,0.5,0.38450589240619726,0.6154941075938027
USD_ZAR,H4,20,100,1,long,1098,520,578,0,0.47358834244080145,0.44405462250470457,0.5031220623768983
USD_ZAR,H4,20,100,2,long,851,413,438,0,0.48531139835487663,0.4517319302785541,0.5188908664311992
USD_ZAR,H4,20,100,3,long,641,314,327,0,0.48985959438377535,0.45115988288305076,0.5285593058845
USD_ZAR,H4,20,100,4,long,449,237,212,0,0.5278396436525612,0.48166233011492493,0.5740169571901975
