tr_n,tr_w,tr_l,tr_t,tr_wr,tr_ci_low,tr_ci_high,te_n,te_w,te_l,te_t,te_wr,te_ci_low,te_ci_high,pair,tf,period,threshold,recovery,direction,total_n
98,53,45,0,0.5408163265306123,0.44215177424585794,0.6394808788153666,42,17,25,0,0.40476190476190477,0.25631313569648934,0.5532106738273201,USD_ZAR,H4,40,200,2,long,140
82,45,37,0,0.5487804878048781,0.4410738642264263,0.6564871113833298,36,17,19,0,0.4722222222222222,0.309141141291674,0.6353033031527704,USD_ZAR,H4,40,200,3,long,118
62,32,30,0,0.5161290322580645,0.39173368018033405,0.640524384335795,28,17,11,0,0.6071428571428571,0.42624233199160166,0.7880433822941125,USD_ZAR,H4,40,200,4,long,90
41,22,19,0,0.5365853658536586,0.38394534131975266,0.6892253903875645,18,7,11,0,0.3888888888888889,0.16367629309127704,0.6141014846865007,USD_ZAR,H4,40,250,1,long,59
38,21,17,0,0.5526315789473685,0.3945377985882126,0.7107253593065244,17,6,11,0,0.35294117647058826,0.12576925204214065,0.5801131008990359,USD_ZAR,H4,40,250,2,long,55
33,16,17,0,0.48484848484848486,0.3143307269541896,0.6553662427427801,15,7,8,0,0.4666666666666667,0.2141946806886107,0.7191386526447227,USD_ZAR,H4,40,250,3,long,48
23,12,11,0,0.5217391304347826,0.3175882379179313,0.7258900229516339,11,6,5,0,0.5454545454545454,0.2511969573207727,0.8397121335883182,USD_ZAR,H4,40,250,4,long,34
630,302,328,0,0.4793650793650794,0.44035420894446536,0.5183759497856933,271,163,108,0,0.6014760147601476,0.5431841679397191,0.659767861580576,USD_ZAR,H4,40,100,1,short,901
473,219,254,0,0.4630021141649049,0.4180651968916218,0.507939031438188,203,121,82,0,0.5960591133004927,0.5285578927400196,0.6635603338609657,USD_ZAR,H4,40,100,2,short,676
323,159,164,0,0.49226006191950467,0.43773793692922874,0.5467821869097806,139,77,62,0,0.5539568345323741,0.4713197325699564,0.6365939364947918,USD_ZAR,H4,40,100,3,short,462
224,111,113,0,0.4955357142857143,0.43005932004225433,0.5610121085291743,96,52,44,0,0.5416666666666666,0.4419937351002828,0.6413395982330505,USD_ZAR,H4,40,100,4,short,320
280,133,147,0,0.475,0.4165070517070647,0.5334929482929353,121,80,41,0,0.6611570247933884,0.5768206482824293,0.7454934013043476,USD_ZAR,H4,40,150,1,short,401
235,114,121,0,0.4851063829787234,0.42120659917631065,0.5490061667811361,102,65,37,0,0.6372549019607843,0.5439480893458835,0.7305617145756851,USD_ZAR,H4,40,150,2,short,337
177,93,84,0,0.5254237288135594,0.45185770403036163,0.5989897535967571,76,42,34,0,0.5526315789473685,0.4408423947919927,0.6644207631027442,USD_ZAR,H4,40,150,3,short,253
