cell,direction,level,pair_or_POOLED,regime_bucket,regime,half,n,mean_R,NW_SE,NW_CI_low
bb,long,pair,CHF_JPY,ATR_high_67_100,high,h1,61,0.17913534346486107,0.05690771177750778,0.06759622838094582
bb,long,pair,CHF_JPY,ATR_low_0_33,low,h1,56,0.25026596905164517,0.09849391343483793,0.05721789871936281
bb,long,pair,CHF_JPY,ATR_mid_33_67,mid,h1,46,0.4209361024827544,0.0675177996115677,0.2886012152440817
bb,long,pair,CHF_JPY,ATR_high_67_100,high,h2,68,0.20737049203048527,0.07658842562485456,0.05725717780577033
bb,long,pair,CHF_JPY,ATR_low_0_33,low,h2,21,0.06351519953196708,0.14379459430763863,-0.21832220531100463
bb,long,pair,CHF_JPY,ATR_mid_33_67,mid,h2,40,0.22070337425431413,0.15147967956749153,-0.07619679769796928
bb,long,pair,EUR_CAD,ATR_high_67_100,high,full,109,0.038672202222104324,0.05052327853390411,-0.060353423704347736
bb,long,pair,EUR_CAD,ATR_low_0_33,low,full,92,0.22159207315491167,0.061763253528061765,0.10053609623991061
bb,long,pair,EUR_CAD,ATR_mid_33_67,mid,full,94,0.2758330723834558,0.05011000867052037,0.17761745538923585
bb,long,pair,EUR_CAD,ATR_high_67_100,high,h1,54,0.03137172975743382,0.09991898990331839,-0.16446949045307022
bb,long,pair,EUR_CAD,ATR_low_0_33,low,h1,49,0.3462257300757431,0.08994793752778607,0.16992777252128238
bb,long,pair,EUR_CAD,ATR_mid_33_67,mid,h1,42,0.20819166964073146,0.09930002224650344,0.013563626037584708
bb,long,pair,EUR_CAD,ATR_high_67_100,high,h2,55,0.04583993882378083,0.07290331836488789,-0.09705056517139944
bb,long,pair,EUR_CAD,ATR_low_0_33,low,h2,43,0.07956767340791768,0.052484510875754495,-0.023301967908561136
bb,long,pair,EUR_CAD,ATR_mid_33_67,mid,h2,52,0.3304665130602716,0.05678842171425579,0.21916120650033022
bb,long,pair,EUR_CHF,ATR_high_67_100,high,full,144,-0.15743983185591462,0.08956563996867316,-0.33298848619451404
bb,long,pair,EUR_CHF,ATR_low_0_33,low,full,102,0.10792804150512861,0.06211890070980236,-0.013825003886084014
bb,long,pair,EUR_CHF,ATR_mid_33_67,mid,full,93,-0.011573477688335077,0.06432349711420479,-0.13764753203217647
bb,long,pair,EUR_CHF,ATR_high_67_100,high,h1,68,0.010845095032385082,0.07836085491168357,-0.1427421805945147
bb,long,pair,EUR_CHF,ATR_low_0_33,low,h1,54,0.043488924329221294,0.08656737837019826,-0.1261831372763673
bb,long,pair,EUR_CHF,ATR_mid_33_67,mid,h1,36,-0.06071794540402039,0.12143723503066423,-0.2987349260641223
bb,long,pair,EUR_CHF,ATR_high_67_100,high,h2,76,-0.308010555913867,0.06624907462541425,-0.4378587421796789
bb,long,pair,EUR_CHF,ATR_low_0_33,low,h2,48,0.18042204832802433,0.05339941661726724,0.07575919175818054
bb,long,pair,EUR_CHF,ATR_mid_33_67,mid,h2,57,0.019465133500518803,0.0839475749702875,-0.1450721134412447
bb,long,pair,EUR_GBP,ATR_high_67_100,high,full,102,0.01566786602910275,0.10727724070586947,-0.1945955257544014
bb,long,pair,EUR_GBP,ATR_low_0_33,low,full,114,0.042195691997980636,0.12551285397320075,-0.2038095017894928
bb,long,pair,EUR_GBP,ATR_mid_33_67,mid,full,104,0.14881059312066575,0.14657673258668058,-0.13847980274922816
bb,long,pair,EUR_GBP,ATR_high_67_100,high,h1,61,-0.13219442008501425,0.08394097849011772,-0.29671873792564496
bb,long,pair,EUR_GBP,ATR_low_0_33,low,h1,53,-0.26633102241846984,0.07162031688670738,-0.4067068435164163
