sample,half,conditioner,low_mult,mid_mult,high_mult,total_R,expectancy_R,trades,base_signals,throughput_trades_per_year,maxDD_R,return_DD,daily_R_sharpe_like,low_trades,mid_trades,high_trades,delta_total_R,delta_expectancy_R,delta_throughput_trades_per_year,delta_maxDD_reduction_R,delta_return_DD,throughput_cost_pct
long_mr_strong4,full,unconditioned,1.0,1.0,1.0,1156.8373112747067,0.028810731732988985,40153,40153,3927.0029119389496,664.0880690565588,1.741993818558095,0.05553614848071824,13850,11823,14480,0.0,0.0,0.0,0.0,0.0,0.0
long_mr_strong4,full,hard_gate_skip_high,1.0,1.0,0.0,1317.2193029912562,0.05130757227403327,25673,40153,2510.844663118787,458.96463742773426,2.8699799408808646,0.09133606014159294,13850,11823,0,160.38199171654946,0.022496840541044286,-1416.1582488201625,205.1234316288245,1.1279861223227696,0.3606206261051478
long_mr_strong4,full,size_down_high_0_5,1.0,1.0,0.5,1237.0283071329816,0.03080786758481263,40153,40153,3927.0029119389496,521.424354700035,2.3724022400998495,0.07217226830474348,13850,11823,14480,80.19099585827485,0.001997135851823647,0.0,142.66371435652377,0.6304084215417545,0.0
long_mr_strong4,full,size_down_high_0_0,1.0,1.0,0.0,1317.2193029912562,0.05130757227403327,25673,40153,2510.844663118787,458.96463742773426,2.8699799408808646,0.09133606014159294,13850,11823,0,160.38199171654946,0.022496840541044286,-1416.1582488201625,205.1234316288245,1.1279861223227696,0.3606206261051478
long_mr_strong4,full,size_up_low_1_5,1.5,1.0,1.0,1551.3720358737578,0.03863651622229367,40153,40153,3927.0029119389496,794.3535635599541,1.9529994035919844,0.06365925860649296,13850,11823,14480,394.53472459905106,0.009825784489304688,0.0,-130.2654945033953,0.21100558503388944,0.0
long_mr_strong4,full,size_up_low_1_5_down_high_0_5,1.5,1.0,0.5,1631.5630317320326,0.040633652074117316,40153,40153,3927.0029119389496,678.7620713888687,2.4037333559218514,0.07688269927415642,13850,11823,14480,474.7257204573259,0.011822920341128331,0.0,-14.674002332309897,0.6617395373637565,0.0
long_mr_strong4,h1,unconditioned,1.0,1.0,1.0,471.45647840235347,0.023483586292207287,20076,20076,4002.9618779001003,664.0880690565588,0.709930655842276,0.04493315005288153,7295,5814,6967,0.0,0.0,0.0,0.0,0.0,0.0
long_mr_strong4,h1,hard_gate_skip_high,1.0,1.0,0.0,591.6794328220583,0.04513535989183449,13109,20076,2613.8088890910744,458.96463742773426,1.2891612655347995,0.0801600969054476,7295,5814,0,120.22295441970482,0.0216517735996272,-1389.1529888090258,205.1234316288245,0.5792306096925235,0.34703128113169956
long_mr_strong4,h1,size_down_high_0_5,1.0,1.0,0.5,531.5679556122059,0.026477782208219062,20076,20076,4002.9618779001003,521.424354700035,1.0194536385205986,0.060991766333785176,7295,5814,6967,60.11147720985241,0.002994195916011775,0.0,142.66371435652377,0.30952298267832257,0.0
long_mr_strong4,h1,size_down_high_0_0,1.0,1.0,0.0,591.6794328220583,0.04513535989183449,13109,20076,2613.8088890910744,458.96463742773426,1.2891612655347995,0.0801600969054476,7295,5814,0,120.22295441970482,0.0216517735996272,-1389.1529888090258,205.1234316288245,0.5792306096925235,0.34703128113169956
long_mr_strong4,h1,size_up_low_1_5,1.5,1.0,1.0,664.3402576738085,0.03309126607261449,20076,20076,4002.9618779001003,794.3535635599541,0.8363281643711884,0.05341951161397986,7295,5814,6967,192.88377927145507,0.009607679780407205,0.0,-130.2654945033953,0.1263975085289124,0.0
long_mr_strong4,h1,size_up_low_1_5_down_high_0_5,1.5,1.0,0.5,724.4517348836611,0.03608546198862627,20076,20076,4002.9618779001003,678.7620713888687,1.0673132242072736,0.06624413240905869,7295,5814,6967,252.9952564813076,0.012601875696418983,0.0,-14.674002332309897,0.3573825683649976,0.0
long_mr_strong4,h2,unconditioned,1.0,1.0,1.0,685.3808328723534,0.03413761183804121,20077,20077,3853.876584842446,354.8355147308361,1.9315451932489216,0.06630299241047449,6555,6009,7513,0.0,0.0,0.0,0.0,0.0,0.0
long_mr_strong4,h2,hard_gate_skip_high,1.0,1.0,0.0,725.5398701691977,0.05774752229936308,12564,20077,2411.7201480281165,182.68601346038855,3.971512960550289,0.10316899758738782,6555,6009,0,40.1590372968443,0.023609910461321867,-1442.1564368143295,172.14950127044756,2.039967767301367,0.37420929421726357
long_mr_strong4,h2,size_down_high_0_5,1.0,1.0,0.5,705.4603515207756,0.03513773728748197,20077,20077,3853.876584842446,261.02785939737083,2.7026247433873767,0.08379081276553979,6555,6009,7513,20.07951864842221,0.00100012544944076,0.0,93.80765533346528,0.7710795501384551,0.0
long_mr_strong4,h2,size_down_high_0_0,1.0,1.0,0.0,725.5398701691977,0.05774752229936308,12564,20077,2411.7201480281165,182.68601346038855,3.971512960550289,0.10316899758738782,6555,6009,0,40.1590372968443,0.023609910461321867,-1442.1564368143295,172.14950127044756,2.039967767301367,0.37420929421726357
long_mr_strong4,h2,size_up_low_1_5,1.5,1.0,1.0,887.0317781999494,0.044181490172832065,20077,20077,3853.876584842446,392.0911387034877,2.262310189240855,0.07439898005952154,6555,6009,7513,201.650945327596,0.010043878334790854,0.0,-37.25562397265156,0.3307649959919332,0.0
long_mr_strong4,h2,size_up_low_1_5_down_high_0_5,1.5,1.0,0.5,907.1112968483717,0.04518161562227283,20077,20077,3853.876584842446,305.80244161069413,2.9663311125657454,0.08835578345020803,6555,6009,7513,221.7304639760183,0.01104400378423162,0.0,49.03307312014198,1.0347859193168238,0.0
long_mr_full6,full,unconditioned,1.0,1.0,1.0,1744.6148191766547,0.03356900616067912,51971,51971,5082.588118480505,824.151609964159,2.1168615071352286,0.06882609885811729,18474,15251,18246,0.0,0.0,0.0,0.0,0.0,0.0
long_mr_full6,full,hard_gate_skip_high,1.0,1.0,0.0,1753.7671551470949,0.05200199125714143,33725,51971,3298.1909968204386,622.2463772514707,2.818444942811356,0.0972008459464947,18474,15251,0,9.152335970440163,0.01843298509646231,-1784.3971216600662,201.9052327126883,0.7015834356761275,0.35108041022878145
long_mr_full6,full,size_down_high_0_5,1.0,1.0,0.5,1749.1909871618748,0.03365705849727492,51971,51971,5082.588118480505,693.611608207521,2.5218594476558067,0.08287740478228325,18474,15251,18246,4.576167985220081,8.805233659579803e-05,0.0,130.54000175663793,0.40499794052057814,0.0
long_mr_full6,full,size_down_high_0_0,1.0,1.0,0.0,1753.7671551470949,0.05200199125714143,33725,51971,3298.1909968204386,622.2463772514707,2.818444942811356,0.0972008459464947,18474,15251,0,9.152335970440163,0.01843298509646231,-1784.3971216600662,201.9052327126883,0.7015834356761275,0.35108041022878145
long_mr_full6,full,size_up_low_1_5,1.5,1.0,1.0,2246.0904919948252,0.04321815035298195,51971,51971,5082.588118480505,993.5043579101531,2.2607756816683726,0.07510545618542301,18474,15251,18246,501.47567281817055,0.009649144192302832,0.0,-169.3527479459941,0.14391417453314403,0.0
long_mr_full6,full,size_up_low_1_5_down_high_0_5,1.5,1.0,0.5,2250.6666599800456,0.04330620268957776,51971,51971,5082.588118480505,896.0367902150186,2.511801618591979,0.08553280951297762,18474,15251,18246,506.05184080339086,0.009737196528898637,0.0,-71.88518025085966,0.39494011145675056,0.0
long_mr_full6,h1,unconditioned,1.0,1.0,1.0,603.8505599711672,0.023238428322923502,25985,25985,5143.836460944381,824.151609964159,0.7326935392353692,0.04747974910244255,9670,7542,8773,0.0,0.0,0.0,0.0,0.0,0.0
long_mr_full6,h1,hard_gate_skip_high,1.0,1.0,0.0,664.039503513273,0.03858003157757803,17212,25985,3407.1854210419347,622.2463772514707,1.0671649169681101,0.0724306796255524,9670,7542,0,60.18894354210579,0.015341603254654525,-1736.651039902446,201.9052327126883,0.33447137773274094,0.33761785645564746
long_mr_full6,h1,size_down_high_0_5,1.0,1.0,0.5,633.9450317422201,0.02439657616864422,25985,25985,5143.836460944381,693.611608207521,0.9139769638234639,0.059407606531270044,9670,7542,8773,30.094471771052895,0.0011581478457207174,0.0,130.54000175663793,0.18128342458809477,0.0
long_mr_full6,h1,size_down_high_0_0,1.0,1.0,0.0,664.039503513273,0.03858003157757803,17212,25985,3407.1854210419347,622.2463772514707,1.0671649169681101,0.0724306796255524,9670,7542,0,60.18894354210579,0.015341603254654525,-1736.651039902446,201.9052327126883,0.33447137773274094,0.33761785645564746
long_mr_full6,h1,size_up_low_1_5,1.5,1.0,1.0,826.2749307858643,0.03179815011683142,25985,25985,5143.836460944381,993.5043579101531,0.831677208265037,0.05455243030843845,9670,7542,8773,222.4243708146971,0.008559721793907914,0.0,-169.3527479459941,0.09898366902966782,0.0
long_mr_full6,h1,size_up_low_1_5_down_high_0_5,1.5,1.0,0.5,856.3694025569173,0.03295629796255214,25985,25985,5143.836460944381,896.0367902150186,0.9557301797300282,0.06378678049854201,9670,7542,8773,252.51884258575012,0.009717869639628635,0.0,-71.88518025085966,0.223036640494659,0.0
long_mr_full6,h2,unconditioned,1.0,1.0,1.0,1140.7642592054876,0.04389918645445577,25986,25986,5022.78347151173,357.4707671079681,3.191209923078658,0.09032541441356404,8804,7709,9473,0.0,0.0,0.0,0.0,0.0,0.0
