sample,regime_group,trades,win_rate,avg_R,median_R,worst_R,p05_R,total_R
long_mr_strong4,calm (low+mid ATR),25673,0.5255716121995871,0.05130757227403327,0.2546017071666142,-1.0,-1.0,1317.2193029912562
long_mr_strong4,choppy (high ATR),14480,0.4915745856353591,-0.011076104400314174,-0.11513837507119064,-1.0,-1.0,-160.38199171654924
long_mr_strong4,all,40153,0.5133115831942818,0.028810731732988985,0.1456685672245616,-1.0,-1.0,1156.8373112747067
long_mr_strong4,low,13850,0.5296750902527075,0.056972523407805224,0.27912291742560547,-1.0,-1.0,789.0694491981023
long_mr_strong4,mid,11823,0.520764611350757,0.04467139083085121,0.22483594679042931,-1.0,-1.0,528.1498537931539
long_mr_strong4,high,14480,0.4915745856353591,-0.011076104400314174,-0.11513837507119064,-1.0,-1.0,-160.38199171654924
long_mr_full6,calm (low+mid ATR),33725,0.5252483320978503,0.05200199125714143,0.2559498148267635,-1.0,-1.0,1753.7671551470949
long_mr_full6,choppy (high ATR),18246,0.4964375753589828,-0.0005016078028301918,-0.043741994708712754,-1.0,-1.0,-9.15233597043968
long_mr_full6,all,51971,0.515133439802967,0.03356900616067912,0.1717639377346503,-1.0,-1.0,1744.6148191766547
long_mr_full6,low,18474,0.5274439753166612,0.054289885549222754,0.2532166646827433,-1.0,-1.0,1002.9513456363411
long_mr_full6,mid,15251,0.5225886827093306,0.04923059533871574,0.2590375530229262,-1.0,-1.0,750.8158095107538
long_mr_full6,high,18246,0.4964375753589828,-0.0005016078028301918,-0.043741994708712754,-1.0,-1.0,-9.15233597043968
