row_type,sample,formulation,sleeve,direction,metric,regime_bucket,regime,L,n,mean_R,NW_SE,NW_CI_low,cluster_SE,cluster_CI_low,cluster_CI_high,baseline_n,sleeve_n,excess_mean_R,excess_NW_SE,excess_NW_CI_low,excess_cluster_SE,excess_cluster_CI_low,note
curve,deduped_sleeve,atr_percentile,long_mr_full6,short,low_mid_mean,low_mid_mean,low_mid_mean,22,36593,0.005619611355814349,0.010448599209736079,-0.014859643095268365,,,,,,,,,,,
curve,deduped_sleeve,atr_percentile,long_mr_full6,short,low_mid_minus_high,low_mid_minus_high,low_mid_minus_high,22,54397,0.0115169738109862,0.018791552019613574,-0.0253144681474564,0.010330635746305437,-0.008731072251772455,0.03176501987374485,,,,,,,,
curve,all_bars_long,absolute_atr,all_bars_long,long,bucket_mean,ATR_low_0_33,low,22,90131,-0.0004885461729356197,0.012019046530718808,-0.024045877373144484,,,,,,,,,,,
curve,all_bars_long,absolute_atr,all_bars_long,long,bucket_mean,ATR_mid_33_67,mid,22,90123,0.01747852117075958,0.01125194673112466,-0.004575294422244754,,,,,,,,,,,
curve,all_bars_long,absolute_atr,all_bars_long,long,bucket_mean,ATR_high_67_100,high,22,90127,0.02638497681164449,0.010530374825450904,0.005745442153760716,,,,,,,,,,,
curve,all_bars_long,absolute_atr,all_bars_long,long,low_mid_mean,low_mid_mean,low_mid_mean,22,180254,0.008494588793366613,0.008566877669899782,-0.008296491439636958,,,,,,,,,,,
curve,all_bars_long,absolute_atr,all_bars_long,long,low_mid_minus_high,low_mid_minus_high,low_mid_minus_high,22,270381,-0.017890388018277876,0.013574983866491985,-0.04449735639660217,0.004704114527597761,-0.027110452492369486,-0.008670323544186264,,,,,,,,
curve,deduped_sleeve,absolute_atr,long_mr_strong4,long,bucket_mean,ATR_low_0_33,low,22,12798,0.01732273961202868,0.018404911204740713,-0.01875088634926312,,,,,,,,,,,
curve,deduped_sleeve,absolute_atr,long_mr_strong4,long,bucket_mean,ATR_mid_33_67,mid,22,13365,0.023596203224276264,0.017793932249545858,-0.011279903984833615,,,,,,,,,,,
curve,deduped_sleeve,absolute_atr,long_mr_strong4,long,bucket_mean,ATR_high_67_100,high,22,13990,0.044301474884025124,0.016526688285668476,0.01190916584411491,,,,,,,,,,,
curve,deduped_sleeve,absolute_atr,long_mr_strong4,long,low_mid_mean,low_mid_mean,low_mid_mean,22,26163,0.020527450126025127,0.012662620702776442,-0.004291286451416701,,,,,,,,,,,
curve,deduped_sleeve,absolute_atr,long_mr_strong4,long,low_mid_minus_high,low_mid_minus_high,low_mid_minus_high,22,40153,-0.023774024757999997,0.020820023745280268,-0.06458127129874933,0.011916937451466181,-0.047131222162873715,-0.00041682735312628325,,,,,,,,
excess,sleeve_minus_all_bars_long,absolute_atr,long_mr_strong4,long,low_mid_minus_high,low_mid_minus_high,low_mid_minus_high,22,40153,-0.023774024757999997,0.020820023745280268,-0.06458127129874933,,,,270381.0,40153.0,-0.0058836367397221215,0.024854648976188578,-0.05459874873305173,0.010912450641790375,-0.027272039997631257,positive excess means sleeve is above unconditional all-bars long baseline
excess,sleeve_minus_all_bars_long,absolute_atr,long_mr_strong4,long,low_mid_mean,low_mid_mean,low_mid_mean,22,26163,0.020527450126025127,0.012662620702776442,-0.004291286451416701,,,,180254.0,26163.0,0.012032861332658514,0.01528834052712753,-0.017932286100511445,0.00658570993890254,-0.0008751301475904642,positive excess means sleeve is above unconditional all-bars long baseline
curve,deduped_sleeve,absolute_atr,long_mr_strong4,short,bucket_mean,ATR_low_0_33,low,22,13780,0.0024109176486383443,0.017937296162724808,-0.03274618283030228,,,,,,,,,,,
curve,deduped_sleeve,absolute_atr,long_mr_strong4,short,bucket_mean,ATR_mid_33_67,mid,22,14039,-0.0029113913569703853,0.017141514485597496,-0.03650875974874147,,,,,,,,,,,
curve,deduped_sleeve,absolute_atr,long_mr_strong4,short,bucket_mean,ATR_high_67_100,high,22,14358,0.007632632633919124,0.016344502300191764,-0.02440259187445673,,,,,,,,,,,
curve,deduped_sleeve,absolute_atr,long_mr_strong4,short,low_mid_mean,low_mid_mean,low_mid_mean,22,27819,-0.0002750126914077037,0.01212022647426428,-0.024030656580965693,,,,,,,,,,,
curve,deduped_sleeve,absolute_atr,long_mr_strong4,short,low_mid_minus_high,low_mid_minus_high,low_mid_minus_high,22,42177,-0.007907645325326828,0.020348037871707202,-0.04778979955387294,0.011549498466361836,-0.030544662319396024,0.01472937166874237,,,,,,,,
curve,deduped_sleeve,absolute_atr,long_mr_full6,long,bucket_mean,ATR_low_0_33,low,22,16693,0.016794679543375917,0.016246088889843215,-0.015047654680716786,,,,,,,,,,,
curve,deduped_sleeve,absolute_atr,long_mr_full6,long,bucket_mean,ATR_mid_33_67,mid,22,17260,0.03159247243062819,0.01597435518191881,0.0002827362740673231,,,,,,,,,,,
curve,deduped_sleeve,absolute_atr,long_mr_full6,long,bucket_mean,ATR_high_67_100,high,22,18018,0.05100317235022968,0.015063251332274721,0.021479199738971225,,,,,,,,,,,
curve,deduped_sleeve,absolute_atr,long_mr_full6,long,low_mid_mean,low_mid_mean,low_mid_mean,22,33953,0.02431713426708146,0.011104896646366167,0.0025515368402037712,,,,,,,,,,,
curve,deduped_sleeve,absolute_atr,long_mr_full6,long,low_mid_minus_high,low_mid_minus_high,low_mid_minus_high,22,51971,-0.02668603808314822,0.01871417297733861,-0.0633658171187319,0.010539184490798355,-0.04734283968511299,-0.006029236481183444,,,,,,,,
excess,sleeve_minus_all_bars_long,absolute_atr,long_mr_full6,long,low_mid_minus_high,low_mid_minus_high,low_mid_minus_high,22,51971,-0.02668603808314822,0.01871417297733861,-0.0633658171187319,,,,270381.0,51971.0,-0.008795650064870344,0.023119265931280525,-0.05410941129018017,0.00935307597071788,-0.02712767896747739,positive excess means sleeve is above unconditional all-bars long baseline
