row_type,sleeve,direction,regime_bucket,regime,half,L,L_label,n,mean_R,NW_SE,NW_CI_low,hold_median,hold_mean,hold_q10,hold_q25,hold_q75,hold_q90,dedup_drop
sleeve_curve,long_mr_strong4,long,ATR_low_mid_0_67,low_mid_0_67,h2,22,corrected_median_minus_1,12564,0.05774752229936308,0.016819167143280758,0.024781954698532796,,,,,,,10338.0
sleeve_curve,long_mr_strong4,long,ATR_low_mid_minus_high,low_mid_minus_high,h2,22,corrected_median_minus_1,20077,0.06309279546545445,0.028489464254175482,0.007253445527270502,,,,,,,10338.0
sleeve_curve,long_mr_strong4,long,ATR_low_0_33,low,h2,31,mean_minus_1,6555,0.061525841442439694,0.02374429175899534,0.014987029594808826,,,,,,,10338.0
sleeve_curve,long_mr_strong4,long,ATR_mid_33_67,mid,h2,31,mean_minus_1,6009,0.05362589108237738,0.025405071140469908,0.00383195164705636,,,,,,,10338.0
sleeve_curve,long_mr_strong4,long,ATR_high_67_100,high,h2,31,mean_minus_1,7513,-0.0053452731660913735,0.024434276386022618,-0.053236454882695704,,,,,,,10338.0
sleeve_curve,long_mr_strong4,long,ATR_low_mid_0_67,low_mid_0_67,h2,31,mean_minus_1,12564,0.05774752229936308,0.018094319121805758,0.022282656820623796,,,,,,,10338.0
sleeve_curve,long_mr_strong4,long,ATR_low_mid_minus_high,low_mid_minus_high,h2,31,mean_minus_1,20077,0.06309279546545445,0.030404576086344108,0.003499826336219994,,,,,,,10338.0
sleeve_curve,long_mr_strong4,long,ATR_low_0_33,low,h2,83,max_hold_minus_1,6555,0.061525841442439694,0.0259530555176086,0.010657852627926838,,,,,,,10338.0
sleeve_curve,long_mr_strong4,long,ATR_mid_33_67,mid,h2,83,max_hold_minus_1,6009,0.05362589108237738,0.026820051092597986,0.0010585909408853261,,,,,,,10338.0
sleeve_curve,long_mr_strong4,long,ATR_high_67_100,high,h2,83,max_hold_minus_1,7513,-0.0053452731660913735,0.027826167025844117,-0.059884560536745846,,,,,,,10338.0
