label,half,fill_rule,strategy,pair,direction,n,mean_r,nw_se,nw_lo,lag95,lagmax
macd:AUD_JPY:long:limit,train,executable,macd,AUD_JPY,long,116,0.14394622058625425,0.10493041599770768,-0.06171739476925278,1,1
macd:AUD_JPY:long:limit,test,executable,macd,AUD_JPY,long,50,0.24,0.162323134518774,-0.07815334365679705,3,5
macd:AUD_JPY:long:limit,full,executable,macd,AUD_JPY,long,166,0.17287808185545478,0.08584903094027967,0.00461398121250664,1,5
macd:CAD_CHF:short:limit,train,executable,macd,CAD_CHF,short,154,0.10524317126921605,0.09264943350299147,-0.07634971839664724,2,4
macd:CAD_CHF:short:limit,test,executable,macd,CAD_CHF,short,67,0.3023998890147797,0.11173986682069796,0.08338975004621171,2,3
macd:CAD_CHF:short:limit,full,executable,macd,CAD_CHF,short,221,0.1650146648843869,0.07363681027318722,0.020686516748939954,2,4
macd:EUR_CHF:short:limit,train,executable,macd,EUR_CHF,short,119,0.14964297712681313,0.0892792355523476,-0.025344324555788167,3,4
macd:EUR_CHF:short:limit,test,executable,macd,EUR_CHF,short,52,0.11525632388263073,0.12266104624793078,-0.1251593267633136,3,4
macd:EUR_CHF:short:limit,full,executable,macd,EUR_CHF,short,171,0.1391862170759506,0.07276547845884168,-0.00343412070337909,3,4
macd:NZD_JPY:long:limit,train,executable,macd,NZD_JPY,long,72,0.16666666666666682,0.11673186743632379,-0.06212779350852779,1,2
macd:NZD_JPY:long:limit,test,executable,macd,NZD_JPY,long,32,0.5,0.15857643070456592,0.18919019581905078,1,1
macd:NZD_JPY:long:limit,full,executable,macd,NZD_JPY,long,104,0.26923076923076933,0.09773324502732937,0.07767360897720377,1,2
macd:NZD_USD:short:limit,train,executable,macd,NZD_USD,short,124,0.1774193548387097,0.09363428760845861,-0.006103848873869194,1,1
macd:NZD_USD:short:limit,test,executable,macd,NZD_USD,short,54,0.18518518518518517,0.14494453168218988,-0.098906096911907,1,2
macd:NZD_USD:short:limit,full,executable,macd,NZD_USD,short,178,0.1797752808988764,0.0784714050053751,0.02597132708834121,1,2
