fill_rule,scope,n,mean_r,nw_se,nw_lo,lag95,lagmax
mid_touch,atr,2746,0.13278371601112116,0.027364273248304465,0.07914974044444441,14,23
mid_touch,ichimoku,167,0.1921172216748821,0.07470013849586643,0.0457049502229839,2,3
mid_touch,macd,1179,0.2138031316018169,0.0328399973541942,0.14943673678759628,7,14
mid_touch,limit_sleeve,4092,0.15854876645767013,0.021716937539731727,0.11598356887979594,22,34
executable,atr,1914,0.057171980446634844,0.029296383459534236,-0.00024893113405225625,9,17
executable,ichimoku,116,0.19859429161672595,0.08258797497005117,0.036721860675425655,1,3
executable,macd,840,0.17734148291362214,0.03630573757189585,0.10618223727270629,5,11
executable,limit_sleeve,2870,0.09805956587102505,0.023221572364078704,0.052545284037430785,15,27
