tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,confirm,direction,total_n
133,-0.01664771638083606,0.08605956666884731,-0.1853244670517768,0.15202903429010467,58,-0.21769173697831165,0.12826637760576654,-0.46909383708561403,0.033710363128990756,GBP_USD,20,2,short,191
44,0.0,0.1524985703326047,-0.2988971978519052,0.2988971978519052,19,0.2222108933705831,0.22367943302262444,-0.21620079535376077,0.660622582094927,GBP_USD,20,3,long,63
36,0.0,0.16903085094570333,-0.33130046785357853,0.33130046785357853,16,0.25,0.25,-0.24,0.74,GBP_USD,20,3,short,52
266,-0.042019464979350454,0.06113538345109771,-0.16184481654350197,0.07780588658480106,115,0.058799205081495116,0.0890303266217033,-0.11570023509704336,0.23329864526003358,GBP_USD,55,1,long,381
243,0.055336307232053614,0.06360470170196272,-0.06932890810379332,0.18000152256790053,105,-0.0013849933775584538,0.09489862106465764,-0.18738629066428744,0.18461630390917053,GBP_USD,55,1,short,348
90,-0.09872038192688098,0.10452832912958496,-0.3035959070208675,0.10615514316710553,39,0.2505090869774301,0.1457826596190359,-0.035224925875880275,0.5362430998307404,GBP_USD,55,2,long,129
86,0.006078119687962288,0.10797515844119382,-0.2055531908567776,0.21770943023270217,37,-0.15205731742546152,0.16275659544709017,-0.47106024450175826,0.1669456096508352,GBP_USD,55,2,short,123
23,0.21739130434782608,0.20810192223064325,-0.19048846322423466,0.6252710719198868,10,0.03648805513356814,0.2991912464171357,-0.5499267878440178,0.6229028981111541,GBP_USD,55,3,long,33
21,-0.047619047619047616,0.22335313142016333,-0.48539118520256774,0.3901530899644725,9,0.3333333333333333,0.3333333333333333,-0.32,0.9866666666666666,GBP_USD,55,3,short,30
195,-0.09489832256728589,0.07118958404041081,-0.23442990728649107,0.04463326215191929,84,0.15100061311085833,0.10295298941692405,-0.0507872461463128,0.35278847236802946,GBP_USD,100,1,long,279
177,0.001456825176668598,0.0746527517772921,-0.14486256830682392,0.1477762186601611,76,-0.07711873774884868,0.11177147696659026,-0.2961908326033656,0.1419533571056682,GBP_USD,100,1,short,253
68,-0.05130429671622366,0.12132195026320883,-0.28909531923211296,0.18648672579966563,30,0.18576818358681355,0.16907367055375652,-0.14561621069854921,0.5171525778721763,GBP_USD,100,2,long,98
