target,def_hold,def_edge,best_params,n,best_hold_R,best_A,best_B,best_edge,best_ci,passes
ichimoku:USD_SGD,0.14442341819248763,0.12675323115033718,tk9/kj22,197,-0.12633394772857562,0.06563534556607169,0.18106234916950656,0.0821156635830871,-0.01594604985326485,False
ichimoku:GBP_CAD,0.060794912513347,0.15344613960837497,tk9/kj30,150,0.1591013940449055,0.24358002697938633,0.14770774377744922,0.22221651884110777,0.13435733436839123,True
ichimoku:CAD_CHF,0.13456148729792203,0.06705334445794753,tk11/kj26,196,0.0989883367774766,0.13174024230646333,0.14010193503174329,0.07893286762041365,0.06698778695117824,True
macd:EUR_USD,0.19512039969927866,0.13559646103740527,16/34/9:sig,163,0.03784475206008649,0.12262346167194123,-0.0136444829122007,0.0679895463068195,-0.014287817331003476,False
sma:CAD_CHF,0.17646789332042312,0.0999622768913622,p200/k2.5,258,0.17646789332042312,0.12598056375894126,0.15893106220950162,0.0999622768913622,0.014502870912178362,True
