tr_n,tr_w,tr_l,tr_t,tr_wr,tr_ci_low,tr_ci_high,te_n,te_w,te_l,te_t,te_wr,te_ci_low,te_ci_high,pair,tf,period,confirm,direction,total_n
202,92,108,2,0.46,0.39092564006811215,0.5290743599318879,87,35,51,1,0.4069767441860465,0.3031456323024372,0.5108078560696558,USD_SEK,H4,10,2,long,289
51,26,25,0,0.5098039215686274,0.3726028556177434,0.6470049875195114,22,9,13,0,0.4090909090909091,0.20363672932088425,0.614545088860934,USD_SEK,H4,10,3,long,73
571,246,316,9,0.4377224199288256,0.3967055332492062,0.478739306608445,246,116,128,2,0.47540983606557374,0.41274768326448247,0.538071988866665,USD_SEK,H4,10,1,short,817
190,83,105,2,0.44148936170212766,0.3705065835091311,0.5124721398951242,82,33,48,1,0.4074074074074074,0.30040189976795745,0.5144129150468573,USD_SEK,H4,10,2,short,272
52,22,30,0,0.4230769230769231,0.2887933082441275,0.5573605379097186,23,16,7,0,0.6956521739130435,0.5076021778504267,0.8837021699756602,USD_SEK,H4,10,3,short,75
448,217,226,5,0.4898419864559819,0.44329039116758767,0.5363935817443761,193,90,103,0,0.46632124352331605,0.3959395074909668,0.5367029795556653,USD_SEK,H4,20,1,long,641
134,60,73,1,0.45112781954887216,0.3665579491283606,0.5356976899693837,58,26,32,0,0.4482758620689655,0.3202859489808223,0.5762657751571088,USD_SEK,H4,20,2,long,192
32,17,15,0,0.53125,0.35834753133088293,0.7041524686691171,15,7,8,0,0.4666666666666667,0.2141946806886107,0.7191386526447227,USD_SEK,H4,20,3,long,47
413,174,236,3,0.424390243902439,0.37654806927841333,0.4722324185264647,177,75,100,2,0.42857142857142855,0.35525021745213514,0.501892639690722,USD_SEK,H4,20,1,short,590
130,60,69,1,0.46511627906976744,0.37904234037940965,0.5511902177601252,56,26,29,1,0.4727272727272727,0.3407808227374621,0.6046737227170833,USD_SEK,H4,20,2,short,186
