pair,tf,period,confirm,stop_pct,tp_pct,rr_label,be_wr,direction,n,w,l,t,wr_decisive,ci_low,ci_high
EUR_USD,H4,55,2,0.01,0.03,1/3,0.25,long,115,4,63,48,0.05970149253731343,0.002967396735610889,0.11643558833901597
EUR_USD,H4,55,3,0.01,0.01,1/1,0.5,long,38,18,17,3,0.5142857142857142,0.348703106503375,0.6798683220680535
EUR_USD,H4,55,3,0.01,0.02,1/2,0.33333333333333337,long,38,8,19,11,0.2962962962962963,0.12405700926764301,0.46853558332494954
EUR_USD,H4,55,3,0.01,0.03,1/3,0.25,long,38,1,21,16,0.045454545454545456,0.0,0.13249711386363877
EUR_USD,H4,55,1,0.01,0.01,1/1,0.5,short,371,160,177,34,0.47477744807121663,0.42146141305015994,0.5280934830922733
EUR_USD,H4,55,1,0.01,0.02,1/2,0.33333333333333337,short,371,62,204,105,0.23308270676691728,0.18227325079221168,0.2838921627416229
EUR_USD,H4,55,1,0.01,0.03,1/3,0.25,short,371,14,206,151,0.06363636363636363,0.031379682722772535,0.09589304454995473
EUR_USD,H4,55,2,0.01,0.01,1/1,0.5,short,119,51,53,15,0.49038461538461536,0.39430548020842887,0.5864637505608018
EUR_USD,H4,55,2,0.01,0.02,1/2,0.33333333333333337,short,119,13,58,48,0.18309859154929578,0.0931376025618118,0.27305958053677976
EUR_USD,H4,55,2,0.01,0.03,1/3,0.25,short,119,5,58,56,0.07936507936507936,0.012616158914301234,0.1461139998158575
EUR_USD,H4,55,3,0.01,0.01,1/1,0.5,short,27,14,11,2,0.56,0.36541631723086343,0.7545836827691367
EUR_USD,H4,55,3,0.01,0.02,1/2,0.33333333333333337,short,27,4,11,12,0.26666666666666666,0.0428741701850342,0.4904591631482991
EUR_USD,H4,55,3,0.01,0.03,1/3,0.25,short,27,0,11,16,0.0,0.0,0.0
EUR_USD,H4,100,1,0.01,0.01,1/1,0.5,long,261,105,127,29,0.4525862068965517,0.38853599010676393,0.5166364236863394
EUR_USD,H4,100,1,0.01,0.02,1/2,0.33333333333333337,long,261,48,142,71,0.25263157894736843,0.19084552478233735,0.3144176331123995
EUR_USD,H4,100,1,0.01,0.03,1/3,0.25,long,261,20,143,98,0.12269938650306748,0.0723310414747177,0.17306773153141727
EUR_USD,H4,100,2,0.01,0.01,1/1,0.5,long,84,31,42,11,0.4246575342465753,0.3112668768205067,0.538048191672644
EUR_USD,H4,100,2,0.01,0.02,1/2,0.33333333333333337,long,84,12,46,26,0.20689655172413793,0.10264473787672704,0.3111483655715488
EUR_USD,H4,100,2,0.01,0.03,1/3,0.25,long,84,3,48,33,0.058823529411764705,0.0,0.12340115211046822
EUR_USD,H4,100,3,0.01,0.01,1/1,0.5,long,27,13,11,3,0.5416666666666666,0.34232080353389893,0.7410125297994343
EUR_USD,H4,100,3,0.01,0.02,1/2,0.33333333333333337,long,27,5,13,9,0.2777777777777778,0.0708570524820083,0.4846985030735473
EUR_USD,H4,100,3,0.01,0.03,1/3,0.25,long,27,0,15,12,0.0,0.0,0.0
EUR_USD,H4,100,1,0.01,0.01,1/1,0.5,short,266,115,132,19,0.46558704453441296,0.4033790032332991,0.5277950858355268
EUR_USD,H4,100,1,0.01,0.02,1/2,0.33333333333333337,short,266,42,150,74,0.21875,0.16027442472582393,0.2772255752741761
EUR_USD,H4,100,1,0.01,0.03,1/3,0.25,short,266,8,151,107,0.050314465408805034,0.016336775226208064,0.084292155591402
EUR_USD,H4,100,2,0.01,0.01,1/1,0.5,short,86,35,43,8,0.44871794871794873,0.3383399749703639,0.5590959224655336
EUR_USD,H4,100,2,0.01,0.02,1/2,0.33333333333333337,short,86,8,47,31,0.14545454545454545,0.05227813843568874,0.23863095247340216
EUR_USD,H4,100,2,0.01,0.03,1/3,0.25,short,86,2,47,37,0.04081632653061224,0.0,0.09621838204394172
EUR_USD,H4,100,3,0.01,0.01,1/1,0.5,short,20,9,9,2,0.5,0.2690117848123945,0.7309882151876055
EUR_USD,H4,100,3,0.01,0.02,1/2,0.33333333333333337,short,20,4,9,7,0.3076923076923077,0.05679714201505026,0.5585874733695652
EUR_USD,H4,100,3,0.01,0.03,1/3,0.25,short,20,0,9,11,0.0,0.0,0.0
GBP_USD,H4,10,1,0.01,0.01,1/1,0.5,long,905,441,428,36,0.5074798619102416,0.4742393589901051,0.5407203648303781
GBP_USD,H4,10,1,0.01,0.02,1/2,0.33333333333333337,long,905,219,524,162,0.29475100942126514,0.26196711430628794,0.32753490453624234
GBP_USD,H4,10,1,0.01,0.03,1/3,0.25,long,905,85,540,280,0.136,0.10912537653770756,0.16287462346229248
GBP_USD,H4,10,2,0.01,0.01,1/1,0.5,long,315,155,141,19,0.5236486486486487,0.46675105357562063,0.5805462437216767
GBP_USD,H4,10,2,0.01,0.02,1/2,0.33333333333333337,long,315,78,172,65,0.312,0.25456751826361673,0.36943248173638327
GBP_USD,H4,10,2,0.01,0.03,1/3,0.25,long,315,36,175,104,0.17061611374407584,0.11985832859037995,0.22137389889777173
GBP_USD,H4,10,3,0.01,0.01,1/1,0.5,long,86,44,39,3,0.5301204819277109,0.42274686702951925,0.6374940968259025
GBP_USD,H4,10,3,0.01,0.02,1/2,0.33333333333333337,long,86,22,46,18,0.3235294117647059,0.21233500080672524,0.43472382272268656
GBP_USD,H4,10,3,0.01,0.03,1/3,0.25,long,86,6,48,32,0.1111111111111111,0.02728840536209877,0.19493381686012345
GBP_USD,H4,10,1,0.01,0.01,1/1,0.5,short,875,437,403,35,0.5202380952380953,0.48645259264918617,0.5540235978270044
GBP_USD,H4,10,1,0.01,0.02,1/2,0.33333333333333337,short,875,206,493,176,0.2947067238912732,0.2609082276941451,0.32850522008840133
GBP_USD,H4,10,1,0.01,0.03,1/3,0.25,short,875,85,502,288,0.14480408858603067,0.1163358733347854,0.17327230383727593
GBP_USD,H4,10,2,0.01,0.01,1/1,0.5,short,274,124,144,6,0.4626865671641791,0.4029904658259547,0.5223826685024036
GBP_USD,H4,10,2,0.01,0.02,1/2,0.33333333333333337,short,274,52,168,54,0.23636363636363636,0.18022286663659481,0.2925044060906779
GBP_USD,H4,10,2,0.01,0.03,1/3,0.25,short,274,22,175,77,0.1116751269035533,0.0676918991970678,0.1556583546100388
GBP_USD,H4,10,3,0.01,0.01,1/1,0.5,short,84,42,41,1,0.5060240963855421,0.39846292917865644,0.6135852635924278
GBP_USD,H4,10,3,0.01,0.02,1/2,0.33333333333333337,short,84,23,50,11,0.3150684931506849,0.2085019933904191,0.42163499291095075
GBP_USD,H4,10,3,0.01,0.03,1/3,0.25,short,84,10,52,22,0.16129032258064516,0.06973782237788066,0.25284282278340964
GBP_USD,H4,20,1,0.01,0.01,1/1,0.5,long,641,306,312,23,0.49514563106796117,0.45572610768463717,0.5345651544512852
GBP_USD,H4,20,1,0.01,0.02,1/2,0.33333333333333337,long,641,144,383,114,0.2732447817836812,0.23519774996807113,0.3112918135992913
