entry,R,win,days,carry,gross,stop,pair,blk
2016-08-18 17:00:00,1.2540574855011235,True,11.833333333333334,0.00024526695290742127,0.01679520154288827,False,CAD_CHF/USD_NOK,A
2016-09-13 05:00:00,1.0074247703306087,True,31.333333333333332,0.0006494392555858478,0.01315914621419978,False,CAD_CHF/USD_NOK,A
2016-11-01 17:00:00,-1.2945407556509296,False,7.375,0.0001528600375514562,-0.02614268505858708,True,CAD_CHF/USD_NOK,B
2016-11-21 14:00:00,0.19627360641855826,True,62.5,-0.006768927069448046,0.011047935451144797,False,CAD_CHF/USD_NOK,B
2017-03-21 17:00:00,1.2609402830345038,True,17.0,0.000352355340796577,0.0206329423127819,False,CAD_CHF/USD_NOK,A
2017-04-23 21:00:00,-0.1388721246231949,False,70.5,0.0014612383250681576,-0.0032812849402370503,False,CAD_CHF/USD_NOK,B
2017-09-11 13:00:00,-0.12371315587100025,False,77.04166666666667,-0.008343830767606293,0.005920326141216292,False,CAD_CHF/USD_NOK,A
2017-12-27 10:00:00,1.415265383923739,True,5.833333333333333,-0.0006317665264818177,0.019623528437318516,False,CAD_CHF/USD_NOK,B
2018-01-09 06:00:00,1.316507941406176,True,1.5,-0.00016245424966675312,0.01355819751237064,False,CAD_CHF/USD_NOK,A
2018-01-15 06:00:00,-1.9069787216703542,False,9.333333333333334,0.0001934499910255717,-0.019198183968783367,True,CAD_CHF/USD_NOK,A
2018-01-24 18:00:00,-0.18085991460549455,False,0.3333333333333333,6.908928250913274e-06,-0.0019745268083596335,True,CAD_CHF/USD_NOK,A
2018-01-25 06:00:00,-0.35584226904065863,False,0.16666666666666666,3.454464125456637e-06,-0.004571489655652905,True,CAD_CHF/USD_NOK,A
2018-01-25 14:00:00,0.3683999476797902,True,0.16666666666666666,3.454464125456637e-06,0.0059760269183732895,True,CAD_CHF/USD_NOK,A
2018-01-25 22:00:00,0.02155032090457869,True,0.16666666666666666,3.454464125456637e-06,0.0008334184138911738,True,CAD_CHF/USD_NOK,A
2018-01-26 06:00:00,0.11070597216651737,True,0.16666666666666666,3.454464125456637e-06,0.0022665534050908542,True,CAD_CHF/USD_NOK,A
2018-01-26 14:00:00,-0.10129402866111957,False,0.16666666666666666,3.454464125456637e-06,-0.0011688704725059118,True,CAD_CHF/USD_NOK,A
2018-01-28 22:00:00,-0.06068885858767346,False,0.16666666666666666,3.454464125456637e-06,-0.0005323052705037412,True,CAD_CHF/USD_NOK,A
2018-01-29 06:00:00,-0.023079264481478384,False,0.16666666666666666,3.454464125456637e-06,9.664892793226354e-05,True,CAD_CHF/USD_NOK,A
2018-01-29 14:00:00,-0.08028957552152852,False,0.3333333333333333,6.908928250913274e-06,-0.000950035883367617,True,CAD_CHF/USD_NOK,A
2018-01-30 02:00:00,-0.16164770323731995,False,0.16666666666666666,3.454464125456637e-06,-0.002521002304307407,True,CAD_CHF/USD_NOK,A
2018-01-30 10:00:00,0.5418991960415219,True,70.125,0.00145346578078588,0.009459235174799074,False,CAD_CHF/USD_NOK,A
2018-05-07 05:00:00,0.9529211320640755,True,45.166666666666664,-0.004891677962187788,0.04084866755394145,False,CAD_CHF/USD_NOK,B
2018-09-06 13:00:00,1.3603880749496897,True,22.166666666666668,0.00045944372868573276,0.02389033151356723,False,CAD_CHF/USD_NOK,A
2018-10-03 13:00:00,0.48903831706777234,True,48.875,-0.005293300968308373,0.014305279853594866,False,CAD_CHF/USD_NOK,B
2018-12-28 10:00:00,1.5019919658199417,True,19.166666666666668,0.0003972633744275133,0.032426369954551615,False,CAD_CHF/USD_NOK,B
2019-06-05 09:00:00,1.2970763129028369,True,13.166666666666666,0.0002729026659110743,0.01689196656091574,False,CAD_CHF/USD_NOK,B
2019-06-21 13:00:00,1.4759930724195036,True,10.0,0.00020726784752739824,0.018605619795207584,False,CAD_CHF/USD_NOK,B
2019-08-13 09:00:00,1.3384854546983092,True,5.5,0.00011399731614006904,0.017821430517595327,False,CAD_CHF/USD_NOK,A
2019-09-06 05:00:00,-0.5926325823742828,False,75.70833333333333,-0.008199426990124733,0.001570494746291673,False,CAD_CHF/USD_NOK,A
2019-12-27 06:00:00,1.102404482354673,True,49.0,0.0010156124528842513,0.012575562755059222,False,CAD_CHF/USD_NOK,B
2020-02-28 06:00:00,-1.5289931154306584,False,6.333333333333333,0.00013126963676735222,-0.0217955440401717,True,CAD_CHF/USD_NOK,A
2020-03-05 18:00:00,0.01973931305635947,True,0.16666666666666666,3.454464125456637e-06,0.0008315882620114623,True,CAD_CHF/USD_NOK,A
2020-03-06 02:00:00,-0.49970453151560584,False,0.16666666666666666,3.454464125456637e-06,-0.008016786924988528,True,CAD_CHF/USD_NOK,A
