entry_ts,exit_ts,strategy,pair,direction,entry_mode,r
2016-01-20 10:00:00,2016-01-22 02:00:00,rsi,USD_JPY,long,mid,1.0
2016-01-20 10:00:00,2016-01-21 10:00:00,cci,CHF_JPY,long,mid,-1.0
2016-01-20 14:00:00,2016-01-21 14:00:00,atr,USD_JPY,long,limit,1.0
2016-01-20 14:00:00,2016-01-29 02:00:00,bb,CHF_JPY,long,mid,1.0
2016-01-20 18:00:00,2016-01-22 02:00:00,stoch,USD_JPY,long,mid,1.0
2016-01-20 18:00:00,2016-01-22 02:00:00,rsi,USD_JPY,long,mid,1.0
2016-01-20 18:00:00,2016-01-21 14:00:00,cci,CHF_JPY,long,mid,-1.0
2016-01-20 22:00:00,2016-01-22 14:00:00,cci,USD_JPY,long,mid,1.0
2016-01-20 22:00:00,2016-01-21 10:00:00,bb,CAD_CHF,short,mid,-1.0
2016-01-21 02:00:00,2016-01-21 10:00:00,stoch,CAD_CHF,short,mid,-1.0
2016-01-21 10:00:00,2016-01-21 14:00:00,bb,CAD_CHF,short,mid,-1.0
2016-01-21 10:00:00,2016-01-21 18:00:00,bb,CHF_JPY,long,mid,1.0
2016-01-21 10:00:00,2016-01-21 18:00:00,ema,CHF_JPY,long,mid,1.0
2016-01-21 10:00:00,2016-01-21 14:00:00,atr,EUR_NOK,long,limit,-1.0
2016-01-21 14:00:00,2016-01-29 02:00:00,cci,CHF_JPY,long,mid,1.0
2016-01-21 14:00:00,2016-01-27 14:00:00,cci,USD_JPY,long,mid,1.0
2016-01-21 14:00:00,2016-01-29 02:00:00,rsi,CHF_JPY,long,mid,1.0
2016-01-21 14:00:00,2016-01-29 02:00:00,stoch,CHF_JPY,long,mid,1.0
2016-01-21 14:00:00,2016-01-22 10:00:00,stoch,CAD_CHF,short,mid,-1.0
2016-01-21 18:00:00,2016-01-22 10:00:00,cci,CAD_CHF,short,mid,-1.0
2016-01-21 18:00:00,2016-01-22 10:00:00,stoch,EUR_GBP,long,mid,-1.0
2016-01-22 02:00:00,2016-01-25 18:00:00,atr,NZD_CHF,short,limit,1.0
2016-01-22 10:00:00,2016-01-25 22:00:00,stoch,EUR_GBP,long,mid,1.0
2016-01-22 10:00:00,2016-01-26 06:00:00,stoch,CAD_CHF,short,mid,1.0
2016-01-22 10:00:00,2016-01-26 06:00:00,bb,CAD_CHF,short,mid,1.0
2016-01-22 14:00:00,2016-01-29 02:00:00,stoch,CHF_JPY,long,mid,1.0
2016-01-22 18:00:00,2016-01-25 14:00:00,cci,USD_CAD,long,mid,1.0
2016-01-22 18:00:00,2016-01-25 14:00:00,bb,EUR_CAD,long,mid,1.0
2016-01-22 18:00:00,2016-01-25 14:00:00,cci,CAD_CHF,short,mid,1.0
2016-01-24 22:00:00,2016-01-25 18:00:00,stoch,CAD_CHF,short,mid,1.0
2016-01-25 02:00:00,2016-01-25 18:00:00,atr,NZD_CHF,short,limit,1.0
2016-01-25 02:00:00,2016-01-26 06:00:00,stoch,EUR_GBP,long,mid,1.0
2016-01-25 14:00:00,2016-01-29 02:00:00,stoch,CHF_JPY,long,mid,1.0
2016-01-25 18:00:00,2016-01-29 02:00:00,atr,USD_JPY,long,limit,1.0
2016-01-26 02:00:00,2016-01-29 02:00:00,stoch,CHF_JPY,long,mid,1.0
2016-01-26 06:00:00,2016-01-29 02:00:00,stoch,USD_JPY,long,mid,1.0
2016-01-26 10:00:00,2016-01-29 02:00:00,cci,CHF_JPY,long,mid,1.0
2016-01-26 10:00:00,2016-01-29 14:00:00,sma,EUR_CAD,long,mid,-1.0
2016-01-26 10:00:00,2016-01-26 14:00:00,bb,CAD_CHF,short,mid,-1.0
2016-01-26 14:00:00,2016-01-27 10:00:00,stoch,CAD_CHF,short,mid,1.0
