tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,confirm,direction,total_n,raw_n,filtered_n
410,-0.02210797467330579,0.04753148127796767,-0.11526967797812242,0.07105372863151084,176,-0.10220996563637104,0.0717489477561016,-0.2428379032383302,0.03841797196558812,EUR_USD,10,1,long,586,895,590
430,-0.03828008911105713,0.0465663307320212,-0.12955009734581868,0.05298991912370441,185,-0.08055670521818911,0.07100618867112092,-0.21972883501358612,0.05861542457720789,EUR_USD,10,1,short,615,910,620
143,-0.004101482205560839,0.08001734590340204,-0.16093548017622883,0.15273251576510716,62,-0.19482885739309402,0.11839215331778881,-0.4268774778959601,0.03721976310977204,EUR_USD,10,2,long,205,300,206
151,-0.010632105456893134,0.07806656417901674,-0.16364257124776593,0.14237836033397966,66,-0.03652445945530682,0.11640851817924946,-0.26468515508663576,0.19163623617602213,EUR_USD,10,2,short,217,311,219
55,-0.0015656383075971845,0.12740263675336708,-0.25127480634419663,0.24814352972900228,24,-0.17129466187498954,0.18923879083563447,-0.5422026919128331,0.19961336816285402,EUR_USD,10,3,long,79,94,79
39,0.11072148974738187,0.15650106919037055,-0.19602060586574438,0.41746358536050815,18,0.32926347777507575,0.21345488669176854,-0.08910810014079057,0.7476350556909421,EUR_USD,10,3,short,57,78,57
296,-0.07467674073316403,0.0561400928162829,-0.18471132265307852,0.03535784118675045,127,-0.21861034511453475,0.08246060735389321,-0.38023313552816546,-0.05698755470090405,EUR_USD,20,1,long,423,610,424
312,-0.042942771457416685,0.054461069515326005,-0.14968646770745567,0.06380092479262228,134,-0.10748601701492817,0.08278080251175833,-0.2697363899379745,0.054764355908118165,EUR_USD,20,1,short,446,633,451
107,0.008673670927274292,0.09261974317500482,-0.17286102569573517,0.19020836755028372,46,-0.31678691077312726,0.12817097173434844,-0.5680020153724502,-0.06557180617380431,EUR_USD,20,2,long,153,201,153
108,-0.04987370018508547,0.09279520418661376,-0.23175230039084843,0.1320049000206775,47,0.03431546921479878,0.13902091311351705,-0.23816552048769463,0.3067964589172922,EUR_USD,20,2,short,155,209,157
44,0.02885890415382929,0.14733048359754733,-0.25990884369736345,0.31762665200502205,19,-0.24306648146356433,0.21007006164772776,-0.6548038022931107,0.16867083936598207,EUR_USD,20,3,long,63,70,63
28,0.16108798595201895,0.18549430084222082,-0.20248084369873387,0.5246568156027718,12,0.19733199339195706,0.2768087097810347,-0.345213077778871,0.7398770645627851,EUR_USD,20,3,short,40,49,40
195,-0.09135545724841557,0.06895854226967381,-0.22651420009697623,0.0438032856001451,84,-0.17209415673824674,0.10243608329011926,-0.37286887998688045,0.028680566510387,EUR_USD,55,1,long,279,352,280
210,-0.03795955691942764,0.06650908439772818,-0.16831736233897487,0.09239824850011959,90,-0.13069700692867936,0.10166802561028236,-0.3299663371248328,0.06857232326747406,EUR_USD,55,1,short,300,372,301
70,0.03569919366046813,0.11612217493669924,-0.19190026921546238,0.2632986565363986,31,-0.2586131163823581,0.16021093106085602,-0.5726265412616359,0.05540030849691968,EUR_USD,55,2,long,101,117,101
72,-0.0151751049998284,0.11370307684216051,-0.238033135610463,0.20768292561080617,31,0.03789169566738936,0.17064160369759776,-0.29656584757990223,0.37234923891468097,EUR_USD,55,2,short,103,119,103
24,0.04441797242150584,0.20393328506922087,-0.355291266314167,0.44412721115717874,11,-0.16115793572850565,0.29296405967398464,-0.7353674926895156,0.4130516212325043,EUR_USD,55,3,long,35,38,35
16,-0.09309602458396754,0.24664804655783187,-0.576526195837318,0.39033414666938293,8,0.5000000000000013,0.3273268353539888,-0.14156059729381676,1.1415605972938194,EUR_USD,55,3,short,24,27,24
