tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,multiplier,direction,total_n,raw_n,filtered_n
92,0.17370677224626668,0.09918021655793002,-0.020686452207276163,0.36809999669980953,40,0.07805924351578396,0.1576494905809833,-0.2309337580229433,0.38705224505451125,EUR_USD,7,1.5,long,132,521,133
95,0.004933442996415293,0.10010414702476993,-0.19127068517213375,0.20113757116496433,42,-0.036787312397725265,0.1508122626619587,-0.3323793472151643,0.2588047224197138,EUR_USD,7,1.5,short,137,521,139
53,0.10273959477823227,0.13023399600058433,-0.15251903738291303,0.35799822693937755,23,-0.11009725566281352,0.19885704947178204,-0.49985707262750634,0.2796625613018793,EUR_USD,7,2.0,long,76,380,76
67,0.0033829467788602727,0.11888096850121763,-0.22962375148352626,0.23638964504124682,30,-0.03901123938754901,0.175979225697068,-0.3839305217538023,0.3059080429787043,EUR_USD,7,2.0,short,97,379,98
35,0.043436026283310676,0.1590470082245059,-0.2682961098367209,0.35516816240334226,15,-0.01152427537952505,0.2584559451622071,-0.5180979278974509,0.4950493771384008,EUR_USD,7,2.5,long,50,291,50
42,-0.023397461549755545,0.1511132008146087,-0.31957933514638853,0.2727844120468775,19,0.06424458924623823,0.22326682949754867,-0.37335839656895714,0.5018475750614336,EUR_USD,7,2.5,short,61,290,62
18,0.2748005313979396,0.2067427433806632,-0.13041524562816026,0.6800163084240394,9,-0.5555555555555556,0.2939723678960656,-1.1317413966318441,0.020630285520732983,EUR_USD,7,3.0,long,27,229,27
26,-0.22799645062242394,0.18844459746483982,-0.59734786165351,0.1413549604086621,12,0.21254775464021028,0.2740699844258605,-0.32462941483447627,0.7497249241148968,EUR_USD,7,3.0,short,38,228,38
95,0.1786136088968321,0.09763071707070703,-0.012742596561753694,0.36996981435541787,41,0.0029846278202770343,0.15620227881072862,-0.3031718386487511,0.30914109428930514,EUR_USD,10,1.5,long,136,518,137
97,0.012434627363162774,0.09961507837822899,-0.18281092625816603,0.2076801809844916,42,0.01595427971610718,0.1513192269998412,-0.2806314052035816,0.312539964635796,EUR_USD,10,1.5,short,139,518,141
54,0.07155232668482803,0.12842436466955298,-0.1801594280674958,0.32326408143715185,24,-0.14717653667686295,0.19396818131184054,-0.5273541720480704,0.23300109869434452,EUR_USD,10,2.0,long,78,379,78
69,0.003284890350487511,0.11724199316993933,-0.22650941626259358,0.2330791969635686,30,-0.06848988109621305,0.17886717623796194,-0.41906954652261846,0.28208978433019233,EUR_USD,10,2.0,short,99,378,100
33,0.08464509523022969,0.16530857730083165,-0.23935971627940034,0.4086499067398597,15,-0.01152427537952505,0.2584559451622071,-0.5180979278974509,0.4950493771384008,EUR_USD,10,2.5,long,48,289,48
39,-0.044834649265786675,0.15732298266846498,-0.35318769529597804,0.2635183967644047,18,0.012258177537695905,0.2295474208190583,-0.43765476726765834,0.4621711223430502,EUR_USD,10,2.5,short,57,288,58
18,0.25181185601397543,0.20324788530487947,-0.1465539991835883,0.6501777112115392,8,-0.5,0.32732683535398854,-1.1415605972938176,0.14156059729381754,EUR_USD,10,3.0,long,26,228,26
27,-0.17343747647753743,0.18843764825274933,-0.5427752670529261,0.19590031409785125,12,0.24036327093832677,0.27961118510833977,-0.3076746518740192,0.7884011937506727,EUR_USD,10,3.0,short,39,227,39
93,0.20693294584460883,0.0982109527776613,0.014439478400392697,0.399426413288825,40,-0.02194075648421604,0.15810520369973513,-0.3318269557356969,0.2879454427672648,EUR_USD,14,1.5,long,133,515,134
97,0.012434627363162783,0.09961507837822899,-0.18281092625816603,0.2076801809844916,42,0.06601072009040632,0.15080833807462152,-0.22957362253585184,0.3615950627166645,EUR_USD,14,1.5,short,139,515,141
55,0.08843319347237663,0.1271929333266946,-0.16086495584794477,0.337731342792698,24,-0.06380778004619807,0.1959306575796487,-0.4478318689023095,0.32021630880991336,EUR_USD,14,2.0,long,79,381,79
69,-0.025700616895889296,0.11720123758651138,-0.2554150425654516,0.204013808773673,30,-0.20182321442954637,0.17535862654953316,-0.5455261224666313,0.1418796936075386,EUR_USD,14,2.0,short,99,380,100
32,0.05604025445617436,0.16798490051634027,-0.2732101505558525,0.3852906594682013,14,0.059081133521937446,0.2670660070171657,-0.4643682402317073,0.5825305072755822,EUR_USD,14,2.5,long,46,284,46
38,-0.019698718983307374,0.15944409589612607,-0.3322091469397145,0.2928117089730997,17,-0.045844282607145515,0.23554328231988234,-0.507509115954115,0.4158205507398239,EUR_USD,14,2.5,short,55,283,56
19,0.18592702148692408,0.20322924131291972,-0.21240229148639855,0.5842563344602467,9,-0.5555555555555556,0.2939723678960656,-1.1317413966318441,0.020630285520732983,EUR_USD,14,3.0,long,28,225,28
28,-0.13120185597759182,0.18641375920504694,-0.4965728240194838,0.2341691120643002,12,0.018387266306543876,0.27692036468204045,-0.5243766484702554,0.5611511810833432,EUR_USD,14,3.0,short,40,224,40
93,0.1854275695005228,0.0986767810631547,-0.007978921383260396,0.378834060384306,41,0.00690677931986635,0.15562082860255824,-0.29811004474114783,0.3119236033808805,EUR_USD,21,1.5,long,134,516,134
98,0.002103661777824388,0.099133138467744,-0.19219728961895385,0.19640461317460264,42,0.06601072009040633,0.15080833807462152,-0.22957362253585184,0.3615950627166645,EUR_USD,21,1.5,short,140,516,141
56,0.11364608946486669,0.12678082143814148,-0.13484432055389062,0.362136499483624,25,-0.05434090361663511,0.19657330735281597,-0.4396245860281544,0.33094277879488415,EUR_USD,21,2.0,long,81,378,81
68,-0.010914913587192446,0.1180930197118772,-0.24237723222247176,0.22054740504808684,30,-0.20182321442954637,0.17535862654953316,-0.5455261224666313,0.1418796936075386,EUR_USD,21,2.0,short,98,378,99
31,0.15790801122080828,0.1681012772520513,-0.17157049219321224,0.4873865146348288,14,-0.08377600933520542,0.26655746067669633,-0.6062286322615302,0.43867661359111937,EUR_USD,21,2.5,long,45,284,45
40,-0.018713783034142,0.15554836702649277,-0.32358858240606786,0.28616101633778385,18,-0.09541606261922844,0.22872209245416716,-0.5437113638293961,0.35287923859093917,EUR_USD,21,2.5,short,58,283,59
21,0.1789542456345135,0.1949032054379008,-0.20305603702377206,0.5609645282927991,10,-0.5172864130692876,0.2657072255994745,-1.0380725752442577,0.0034997491056825147,EUR_USD,21,3.0,long,31,230,31
31,-0.16136650969942276,0.1704386299490587,-0.49542622439957784,0.1726932050007323,14,0.15861765683418044,0.2543492937654672,-0.3399069589461353,0.6571422726144962,EUR_USD,21,3.0,short,45,229,45
94,-0.15117620679520938,0.10143728274292609,-0.3499932809713445,0.04764086738092574,41,-0.056080606811748666,0.15506696301080106,-0.3600118543129187,0.2478506406894214,GBP_USD,7,1.5,long,135,527,136
86,-0.23531666745742846,0.10404855837769467,-0.43925184187771005,-0.03138149303714691,38,0.2697866927627265,0.1573107873279674,-0.038542450400089634,0.5781158359255426,GBP_USD,7,1.5,short,124,527,126
53,-0.04342769006672559,0.13734873883333826,-0.31263121818006856,0.22577583804661738,24,-0.25,0.2018932132718121,-0.6457106980127516,0.14571069801275166,GBP_USD,7,2.0,long,77,375,78
51,-0.21515018080087767,0.13494694861187417,-0.479646200080151,0.04934583847839569,22,0.37508610568107303,0.19991606027568487,-0.01674937245926933,0.7669215838214154,GBP_USD,7,2.0,short,73,374,75
33,-0.03992795435257374,0.1714428738942183,-0.3759559871852416,0.2961000784800941,15,-0.3568465152353156,0.24406194275338364,-0.8352079230319476,0.12151489256131637,GBP_USD,7,2.5,long,48,279,48
