tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,multiplier,direction,total_n,raw_n,filtered_n
12.0,0.26531327219976175,0.27783080036187,-0.2792350965095035,0.809861640909027,6.0,0.6666666666666666,0.33333333333333337,0.013333333333333197,1.32,EUR_USD,7,1.5,long,18,521,133
15.0,-0.04922523670282993,0.2502094498128754,-0.5396357583360657,0.4411852849304059,7.0,-0.21963588719971536,0.33974618632174836,-0.8855384123903421,0.4462666379909114,EUR_USD,7,1.5,short,22,521,139
5.0,-0.2,0.48989794855663565,-1.1601999791710058,0.7601999791710059,3.0,1.0,0.0,1.0,1.0,EUR_USD,7,2.0,long,8,380,76
10.0,-0.8,0.19999999999999998,-1.192,-0.4080000000000001,5.0,0.2,0.48989794855663565,-0.7601999791710059,1.1601999791710058,EUR_USD,7,2.0,short,15,379,98
7.0,-0.42857142857142855,0.36885555678165877,-1.1515283198634798,0.29438546272062266,3.0,0.3333333333333333,0.6666666666666667,-0.9733333333333336,1.6400000000000001,EUR_USD,7,2.5,long,10,291,50
4.0,0.0,0.5773502691896257,-1.1316065276116665,1.1316065276116665,2.0,0.7889865437976571,0.21101345620234294,0.37540016964106493,1.2025729179542493,EUR_USD,7,2.5,short,6,290,62
1.0,1.0,,,,1.0,-1.0,,,,EUR_USD,7,3.0,long,2,229,27
0.0,,,,,1.0,1.0,,,,EUR_USD,7,3.0,short,1,228,38
13.0,0.32182763587670316,0.2617411879128539,-0.1911850924324905,0.8348403641858968,6.0,0.6666666666666666,0.33333333333333337,0.013333333333333197,1.32,EUR_USD,10,1.5,long,19,518,137
14.0,-0.14285714285714285,0.2745054065230065,-0.6808877396422355,0.39517345392794984,7.0,-0.09710031569056099,0.31395591498835446,-0.7124539090677358,0.5182532776866138,EUR_USD,10,1.5,short,21,518,141
6.0,0.0,0.4472135954999579,-0.8765386471799175,0.8765386471799175,3.0,1.0,0.0,1.0,1.0,EUR_USD,10,2.0,long,9,379,78
10.0,-0.6,0.26666666666666666,-1.1226666666666665,-0.07733333333333337,5.0,-0.2,0.48989794855663565,-1.1601999791710058,0.7601999791710059,EUR_USD,10,2.0,short,15,378,100
7.0,-0.42857142857142855,0.36885555678165877,-1.1515283198634798,0.29438546272062266,3.0,0.3333333333333333,0.6666666666666667,-0.9733333333333336,1.6400000000000001,EUR_USD,10,2.5,long,10,289,48
4.0,-0.5,0.5,-1.48,0.48,3.0,0.8593243625317714,0.14067563746822864,0.5836001130940432,1.1350486119694994,EUR_USD,10,2.5,short,7,288,58
2.0,1.0,0.0,1.0,1.0,1.0,-1.0,,,,EUR_USD,10,3.0,long,3,228,26
1.0,-1.0,,,,1.0,1.0,,,,EUR_USD,10,3.0,short,2,227,39
13.0,0.23076923076923078,0.2808833628231621,-0.319762160364167,0.7813006219026286,6.0,0.3333333333333333,0.421637021355784,-0.4930752285240034,1.15974189519067,EUR_USD,14,1.5,long,19,515,134
16.0,-0.07139068746474495,0.24948855403549658,-0.5603882533743182,0.41760687844482836,7.0,-0.017883935886090146,0.37838733860942103,-0.7595231195605554,0.7237552477883751,EUR_USD,14,1.5,short,23,515,141
7.0,0.022995800966742263,0.37866337256096594,-0.719184409252751,0.7651760111862355,3.0,1.0,0.0,1.0,1.0,EUR_USD,14,2.0,long,10,381,79
10.0,-0.6,0.26666666666666666,-1.1226666666666665,-0.07733333333333337,5.0,-0.6,0.4000000000000001,-1.3840000000000001,0.18400000000000016,EUR_USD,14,2.0,short,15,380,100
5.0,-0.2,0.48989794855663565,-1.1601999791710058,0.7601999791710059,3.0,0.3333333333333333,0.6666666666666667,-0.9733333333333336,1.6400000000000001,EUR_USD,14,2.5,long,8,284,46
4.0,-0.5,0.5,-1.48,0.48,2.0,0.7889865437976571,0.21101345620234294,0.37540016964106493,1.2025729179542493,EUR_USD,14,2.5,short,6,283,56
2.0,1.0,0.0,1.0,1.0,1.0,-1.0,,,,EUR_USD,14,3.0,long,3,225,28
2.0,0.0,1.0,-1.96,1.96,2.0,0.7889865437976571,0.21101345620234294,0.37540016964106493,1.2025729179542493,EUR_USD,14,3.0,short,4,224,40
14.0,0.2857142857142857,0.26578871697687523,-0.23523159956038975,0.8066601709889611,7.0,0.42857142857142855,0.36885555678165877,-0.29438546272062266,1.1515283198634798,EUR_USD,21,1.5,long,21,516,134
16.0,-0.07139068746474495,0.24948855403549658,-0.5603882533743182,0.41760687844482836,7.0,-0.017883935886090163,0.37838733860942103,-0.7595231195605554,0.7237552477883751,EUR_USD,21,1.5,short,23,516,141
7.0,0.14285714285714285,0.40406101782088427,-0.6491024520717903,0.9348167377860761,3.0,0.7203235355890653,0.27967646441093474,0.1721576653436332,1.2684894058344973,EUR_USD,21,2.0,long,10,378,81
9.0,-0.5555555555555556,0.2939723678960656,-1.1317413966318441,0.020630285520732983,5.0,-0.6,0.4000000000000001,-1.3840000000000001,0.18400000000000016,EUR_USD,21,2.0,short,14,378,99
4.0,0.0,0.5773502691896257,-1.1316065276116665,1.1316065276116665,2.0,0.0,1.0,-1.96,1.96,EUR_USD,21,2.5,long,6,284,45
4.0,0.0,0.5773502691896257,-1.1316065276116665,1.1316065276116665,2.0,0.0,1.0,-1.96,1.96,EUR_USD,21,2.5,short,6,283,59
4.0,0.18706431289432557,0.49357557533006946,-0.7803438147526106,1.1544724405412619,3.0,0.3333333333333333,0.6666666666666667,-0.9733333333333336,1.6400000000000001,EUR_USD,21,3.0,long,7,230,31
4.0,0.5,0.5,-0.48,1.48,2.0,0.7889865437976571,0.21101345620234294,0.37540016964106493,1.2025729179542493,EUR_USD,21,3.0,short,6,229,45
16.0,-0.125,0.25617376914899,-0.6271005875320204,0.37710058753202036,8.0,-0.012949971655330794,0.3732624448313728,-0.7445443635248215,0.7186444202141598,GBP_USD,7,1.5,long,24,527,136
