tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,multiplier,direction,total_n,raw_n,filtered_n
219,0.016974486455516847,0.06536818602907175,-0.1111471581614638,0.1450961310724975,95,0.1241096812666606,0.10149937521269685,-0.07482909415022522,0.3230484566835464,EUR_USD,7,1.5,long,314,521,317
221,-0.004843749794749908,0.06529958637335041,-0.13283093908651672,0.1231434394970169,96,-0.0521703831196696,0.09949927145244801,-0.2471889551664677,0.1428481889271285,EUR_USD,7,1.5,short,317,521,319
148,0.019178668151116122,0.07836487262520184,-0.13441648219427946,0.17277381849651172,64,0.11238255958465689,0.1204667173511682,-0.12373220642363279,0.34849732559294655,EUR_USD,7,2.0,long,212,380,214
156,-0.09159644778301934,0.0774051580738085,-0.243310557607684,0.060117662041645314,67,-0.038916233546833504,0.11802742940556876,-0.27024999518174825,0.19241752808808127,EUR_USD,7,2.0,short,223,379,224
113,-0.031535401659630036,0.08962047210651003,-0.2071915269883897,0.14412072366912962,49,-0.008159764880685328,0.14229682319993206,-0.28706153835255216,0.2707420085911815,EUR_USD,7,2.5,long,162,291,164
113,-0.0057500751423432235,0.09204558757700251,-0.18615942679326813,0.1746592765085817,49,-0.025376682800927745,0.13807085037855013,-0.295995549542886,0.24524218394103048,EUR_USD,7,2.5,short,162,290,163
88,-0.06674865112293006,0.10098192831212678,-0.26467323061469855,0.1311759283688384,38,-0.15192510382497637,0.15755694188497796,-0.46073670991953314,0.1568865022695804,EUR_USD,7,3.0,long,126,229,128
87,-0.03906608489020049,0.10402875232334285,-0.2429624394439525,0.1648302696635515,38,-0.026657586298745935,0.15945276966933525,-0.339185014850643,0.28586984225315115,EUR_USD,7,3.0,short,125,228,127
217,0.028343510109791727,0.06516699592651333,-0.09938380190617441,0.15607082212575785,94,0.09351510340779529,0.10238475848055249,-0.1071590232140876,0.2941892300296782,EUR_USD,10,1.5,long,311,518,315
224,-0.014311742539607233,0.06498806024328271,-0.14168834061644137,0.1130648555372269,96,-0.012930097640107422,0.10013380702217006,-0.20919235940356073,0.1833321641233459,EUR_USD,10,1.5,short,320,518,323
