tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,multiplier,direction,total_n,raw_n,filtered_n
34,0.09363997842344532,0.1708102749160969,-0.2411481604121046,0.4284281172589952,15,0.4666666666666667,0.23637473611411156,0.0033721838830080286,0.9299611494503253,EUR_USD,7,1.5,long,49,521,317
35,-0.021096530015498542,0.16694932325387113,-0.34831720359308593,0.30612414356208884,16,0.2728728051980833,0.21937735698777544,-0.15710681449795655,0.7028524248941233,EUR_USD,7,1.5,short,51,521,319
18,-0.1111111111111111,0.24103384202072908,-0.58353744147174,0.36131521924951787,9,0.5555555555555556,0.2939723678960656,-0.020630285520732983,1.1317413966318441,EUR_USD,7,2.0,long,27,380,214
27,-0.3886430054437734,0.17769188820505152,-0.7369191063256744,-0.04036690456187242,12,0.16666666666666666,0.2972941950052816,-0.41602995554368527,0.7493632888770185,EUR_USD,7,2.0,short,39,379,224
14,-0.17489373363028463,0.2659826200897773,-0.6962196690062481,0.3464322017456789,7,0.14285714285714285,0.40406101782088427,-0.6491024520717903,0.9348167377860761,EUR_USD,7,2.5,long,21,291,164
11,-0.2727272727272727,0.30424000964875475,-0.869037691638832,0.32358314618428663,5,0.5155946175190629,0.3876121671149731,-0.2441252300262844,1.2753144650644102,EUR_USD,7,2.5,short,16,290,163
14,0.2857142857142857,0.26578871697687523,-0.23523159956038975,0.8066601709889611,7,0.42857142857142855,0.3688555567816587,-0.29438546272062255,1.1515283198634796,EUR_USD,7,3.0,long,21,229,128
8,0.25,0.3659625273556999,-0.46728655361717175,0.9672865536171718,4,0.0,0.5773502691896257,-1.1316065276116665,1.1316065276116665,EUR_USD,7,3.0,short,12,228,127
33,0.1267805838302164,0.17272149817935775,-0.21175355260132478,0.4653147202617576,15,0.6,0.21380899352993954,0.1809343726813185,1.0190656273186813,EUR_USD,10,1.5,long,48,518,315
32,0.0625,0.17925416718060672,-0.2888381676739892,0.4138381676739892,15,0.20293454722919652,0.23003005374501892,-0.24792435811104058,0.6537934525694336,EUR_USD,10,1.5,short,47,518,323
21,0.047619047619047616,0.22335313142016333,-0.3901530899644725,0.48539118520256774,9,0.5555555555555556,0.2939723678960656,-0.020630285520732983,1.1317413966318441,EUR_USD,10,2.0,long,30,379,218
25,-0.25973444587927524,0.19389368075462526,-0.6397660601583408,0.12029716839979027,11,-0.09090909090909091,0.3149183286488867,-0.7081490150609089,0.526330833242727,EUR_USD,10,2.0,short,36,378,230
14,-0.17489373363028463,0.2659826200897773,-0.6962196690062481,0.3464322017456789,6,0.0,0.4472135954999579,-0.8765386471799175,0.8765386471799175,EUR_USD,10,2.5,long,20,289,162
13,-0.38461538461538464,0.2664693550105965,-0.9068953204361538,0.1376645512053845,6,0.26299551459921905,0.40493016047167996,-0.5306675999252737,1.0566586291237117,EUR_USD,10,2.5,short,19,288,163
15,-0.06666666666666667,0.2666666666666666,-0.5893333333333332,0.45599999999999985,7,0.14285714285714285,0.40406101782088427,-0.6491024520717903,0.9348167377860761,EUR_USD,10,3.0,long,22,228,128
9,-0.3333333333333333,0.3333333333333333,-0.9866666666666666,0.32,5,-0.2,0.48989794855663565,-1.1601999791710058,0.7601999791710059,EUR_USD,10,3.0,short,14,227,127
