tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,confirm,direction,total_n,raw_n,filtered_n
168,-0.0017354207977472605,0.0748540265498132,-0.14844931283538115,0.1449784712398866,73,-0.2295216036324815,0.10999564440887331,-0.4451130666738732,-0.013930140591089823,EUR_USD,10,1,long,241,895,242
196,-0.04611103025212277,0.06931053106199085,-0.18195967113362482,0.0897376106293793,85,0.05009168464966929,0.10451636839415573,-0.15476039740287595,0.2549437667022145,EUR_USD,10,1,short,281,910,282
61,-0.08604944357657661,0.12128464097271298,-0.32376733988309403,0.15166845272994084,27,-0.12411923296549328,0.1823670858273896,-0.4815587211871769,0.23332025525619038,EUR_USD,10,2,long,88,300,88
67,-0.09285459273061633,0.11702894385985492,-0.32223132269593197,0.1365221372346993,29,0.029106018114098544,0.17353365904007537,-0.3110199536044492,0.3692319898326462,EUR_USD,10,2,short,96,311,97
25,0.19432407417877492,0.18321660811612717,-0.16478047772883433,0.5534286260863842,12,-0.2310614410844635,0.2764231965874104,-0.7728509063957878,0.31072802422686085,EUR_USD,10,3,long,37,94,37
13,-0.0376566456418062,0.2741034072510046,-0.5748993238537752,0.4995860325701628,6,0.20826868196630768,0.38855435638354263,-0.5532978565454358,0.9698352204780512,EUR_USD,10,3,short,19,78,19
124,-0.06546078577633112,0.0874722442033723,-0.23690638441494083,0.10598481286227858,54,-0.36508435052309557,0.122849558174437,-0.6058694845449921,-0.12429921650119904,EUR_USD,20,1,long,178,610,179
142,-0.09285380208123763,0.08037557879088317,-0.25038993651136865,0.06468233234889338,62,-0.05855021575293855,0.12074196778014312,-0.29520447260201904,0.17810404109614197,EUR_USD,20,1,short,204,633,205
49,-0.02792059734854456,0.1365480846900246,-0.2955548433409928,0.23971364864390365,22,-0.19778269500310539,0.19684908734575463,-0.5836069062007845,0.18804151619457368,EUR_USD,20,2,long,71,201,71
48,-0.07390845303288984,0.13825971278774501,-0.34489749009687004,0.19708058403109036,21,0.024570104974076492,0.20820268311137058,-0.38350715392420986,0.4326473638723628,EUR_USD,20,2,short,69,209,70
21,0.2888586351483876,0.20846453737767986,-0.11973185811186493,0.6974491284086402,10,-0.2772737293013562,0.2973579381037273,-0.8600952879846616,0.30554782938194924,EUR_USD,20,3,long,31,70,31
10,-0.14895363933434808,0.307630011882503,-0.751908462624054,0.45400118395535777,5,0.5381706825099937,0.3891747692275011,-0.22461186517590848,1.300953230195896,EUR_USD,20,3,short,15,49,15
105,0.03656967652790817,0.09605977001958252,-0.15170747271047358,0.2248468257662899,46,-0.3850990201792861,0.1310842220001566,-0.642024095299593,-0.12817394505897917,EUR_USD,55,1,long,151,352,152
118,-0.13403534419914306,0.0879625225954999,-0.30644188848632287,0.03837120008803674,51,-0.1014428991303768,0.13427577318167028,-0.36462341456645053,0.16173761630569694,EUR_USD,55,1,short,169,372,169
43,-0.023423916122362363,0.14807741808886535,-0.31365565557653846,0.2668078233318137,19,-0.2576587690475938,0.21085499654572507,-0.6709345622772149,0.15561702418202727,EUR_USD,55,2,long,62,117,62
