tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,confirm,direction,total_n,raw_n,filtered_n
26.0,0.16017334424460478,0.1962377115432599,-0.22445257038018462,0.5447992588693942,12.0,-0.23658578276940034,0.2800735502011397,-0.7855299411636342,0.3123583756248335,EUR_USD,10,1,long,38,895,242
31.0,-0.20300104133794167,0.17281632766319519,-0.5417210435578041,0.13571896088192087,14.0,0.3276954529146167,0.25318391207418534,-0.16854501475078654,0.82393592058002,EUR_USD,10,1,short,45,910,282
13.0,-0.40979129281496224,0.2369547533618932,-0.8742226094042729,0.0546400237743484,6.0,-0.3333333333333333,0.421637021355784,-1.15974189519067,0.4930752285240034,EUR_USD,10,2,long,19,300,88
14.0,-0.09161268266929826,0.2668739434203773,-0.6146856117732377,0.4314602464346412,6.0,0.14509407556495343,0.3783009759762548,-0.5963758373485059,0.8865639884784128,EUR_USD,10,2,short,20,311,97
4.0,-0.07902183737712443,0.41256684669906096,-0.8876528569072839,0.729609182153035,3.0,0.3333333333333333,0.6666666666666667,-0.9733333333333336,1.6400000000000001,EUR_USD,10,3,long,7,94,37
0.0,,,,,1.0,1.0,,,,EUR_USD,10,3,short,1,78,19
18.0,0.1202503861310958,0.2387177472957637,-0.34763639856860107,0.5881371708307926,9.0,-0.5555555555555556,0.2939723678960656,-1.1317413966318441,0.020630285520732983,EUR_USD,20,1,long,27,610,179
23.0,-0.23870933140335024,0.20347373533582996,-0.637517852661577,0.1600991898548765,10.0,0.47752554283961884,0.25487161606698,-0.022022824651661943,0.9770739103308996,EUR_USD,20,1,short,33,633,205
9.0,-0.14747631184383436,0.30610344535610096,-0.7474390647417922,0.4524864410541235,5.0,-0.6,0.4000000000000001,-1.3840000000000001,0.18400000000000016,EUR_USD,20,2,long,14,201,71
11.0,0.15612931296634766,0.2986592781976343,-0.42924287230101554,0.7415014982337109,5.0,0.05851827315888131,0.4510259286266117,-0.8254925469492778,0.9425290932670403,EUR_USD,20,2,short,16,209,70
4.0,-0.26608615027145005,0.47617686404526277,-1.199392803800165,0.6672205032572649,2.0,1.0,0.0,1.0,1.0,EUR_USD,20,3,long,6,70,31
,,,,,,,,,,EUR_USD,20,3,short,0,49,15
16.0,0.125,0.25617376914899,-0.37710058753202036,0.6271005875320204,8.0,-0.5,0.32732683535398854,-1.1415605972938176,0.14156059729381754,EUR_USD,55,1,long,24,352,152
