tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,multiplier,direction,total_n,raw_n,filtered_n
49,-0.061272689809838896,0.1392996400228841,-0.33429998425469176,0.21175460463501394,22,-0.06104155178892463,0.20471757643941463,-0.4622880016101773,0.34020489803232806,EUR_USD,21,3.0,short,71,229,71
156,-0.069604212761306,0.078454028783591,-0.2233741091771444,0.08416568365453238,68,-0.044923890346609874,0.11944954450744137,-0.27904499758119494,0.18919721688797522,GBP_USD,7,1.5,long,224,527,225
147,-0.10154688418452261,0.08122889948053479,-0.2607555271663708,0.05766175879732556,63,0.19631399890077153,0.12119327039405349,-0.0412248110715733,0.4338528088731164,GBP_USD,7,1.5,short,210,527,212
100,-0.01653991310933085,0.09913689411172782,-0.21084822556831737,0.1777683993496557,43,-0.1261650121602813,0.15185464343463162,-0.4238001132921593,0.17147008897159666,GBP_USD,7,2.0,long,143,375,144
95,-0.07237620914473578,0.10063779446689423,-0.26962628629984847,0.12487386801037692,41,0.19128862894779358,0.1507383360451269,-0.10415850970065516,0.4867357675962423,GBP_USD,7,2.0,short,136,374,138
70,0.042540577437163586,0.11747385175643446,-0.18770817200544795,0.27278932687977514,31,-0.18638042746522032,0.17558702713868624,-0.5305310006570454,0.1577701457266047,GBP_USD,7,2.5,long,101,279,101
68,-0.03141470276023957,0.12009552042725367,-0.26680192279765674,0.20397251727717763,30,0.17342625598130648,0.1798429163075425,-0.1790658599814768,0.5259183719440897,GBP_USD,7,2.5,short,98,278,99
60,0.03650814887225473,0.12793357770259295,-0.21424166342482742,0.2872579611693369,26,0.06882594949601233,0.1980680069176914,-0.31938734406266284,0.4570392430546875,GBP_USD,7,3.0,long,86,224,86
50,-0.04,0.14274281139196338,-0.3197759103282482,0.23977591032824822,22,0.2727272727272727,0.20994555243259116,-0.13876601004060596,0.6842205554951514,GBP_USD,7,3.0,short,72,223,73
156,-0.07698840381596458,0.07866671973072077,-0.2311751744881773,0.07719836685624812,67,-0.059593109539802715,0.12021294074219957,-0.2952104733945139,0.17602425431490845,GBP_USD,10,1.5,long,223,528,225
148,-0.09656568642513323,0.08051093981187375,-0.2543671284564058,0.06123575560613932,64,0.24012159266794697,0.11901173493273197,0.006858592199792318,0.4733845931361016,GBP_USD,10,1.5,short,212,528,214
102,-0.0426718094042874,0.09764800271643592,-0.2340618947285018,0.14871827591992698,45,-0.1283954055871518,0.1473806198636067,-0.4172614205198209,0.16047060934551732,GBP_USD,10,2.0,long,147,377,148
