drag_pct_per_day,drag_bp_per_day,instrument,family,cell,timeframe,entry_mode,direction,n,mean_r,baseline_mean_r,excess_r,drag_pct_per_day_to_zero_excess,excess_ci_low,excess_ci_high
5e-05,0.5,NATGAS_USD,mr_under_limit,atr_range_exp,H4,limit,1,2797,-0.13032876229299964,-0.13207080980824548,0.0017420475152458426,nan,nan,nan
5e-05,0.5,NATGAS_USD,mr_under_limit,atr_range_exp,H4,market,1,2797,-0.3293167029006744,-0.3455086625133704,0.01619195961269604,nan,nan,nan
5e-05,0.5,NATGAS_USD,mr_under_limit,bb_p20_2,H4,limit,1,829,-0.11508704777167762,-0.13207080980824548,0.01698376203656786,0.004089179537212857,nan,nan
5e-05,0.5,NATGAS_USD,mr_under_limit,bb_p20_2,H4,market,1,829,-0.3292220181297313,-0.3455086625133704,0.016286644383639137,0.003006456847861502,nan,nan
5e-05,0.5,NATGAS_USD,trend,donchian55,D1,limit,1,159,-0.30301330160297074,-0.4512325584550787,0.14821925685210796,nan,nan,nan
5e-05,0.5,NATGAS_USD,trend,donchian55,D1,market,1,159,-0.46599539099047255,-0.5859410723497122,0.11994568135923961,nan,nan,nan
5e-05,0.5,NATGAS_USD,trend,donchian55,H4,limit,1,641,-0.0787075987084242,-0.13207080980824548,0.053363211099821284,0.08489404486773108,nan,nan
5e-05,0.5,NATGAS_USD,trend,donchian55,H4,market,1,641,-0.29654552484945856,-0.3455086625133704,0.04896313766391186,nan,nan,nan
5e-05,0.5,NATGAS_USD,trend,supertrend10x3,D1,market,1,1607,-0.5824804927321375,-0.5859410723497122,0.0034605796175746217,0.005943616799547437,nan,nan
5e-05,0.5,NATGAS_USD,trend,supertrend10x3,H4,limit,1,7665,-0.12040012603439605,-0.13207080980824548,0.01167068377384943,0.021514420988869694,nan,nan
5e-05,0.5,NATGAS_USD,trend,supertrend10x3,H4,market,1,7665,-0.33168068828725955,-0.3455086625133704,0.013827974226110873,0.034721218031565276,nan,nan
5e-05,0.5,NATGAS_USD,trend,tsmom63,D1,limit,1,1635,-0.42378491140037833,-0.4512325584550787,0.027447647054700375,nan,nan,nan
5e-05,0.5,NATGAS_USD,trend,tsmom63,D1,market,1,1635,-0.5688258466753943,-0.5859410723497122,0.01711522567431789,nan,nan,nan
5e-05,0.5,NATGAS_USD,trend,tsmom63,H4,limit,-1,7767,-0.13164958989026385,-0.14442312951360683,0.012773539623342989,nan,nan,nan
5e-05,0.5,NATGAS_USD,trend,tsmom63,H4,limit,1,8205,-0.11020349678821632,-0.13207080980824548,0.021867313020029158,0.10760693191261538,nan,nan
5e-05,0.5,NATGAS_USD,trend,tsmom63,H4,market,-1,7767,-0.35866887737728514,-0.369200963017949,0.01053208564066388,nan,nan,nan
5e-05,0.5,NATGAS_USD,trend,tsmom63,H4,market,1,8205,-0.3192594482839058,-0.3455086625133704,0.026249214229464635,0.1288072390432864,nan,nan
5e-05,0.5,SOYBN_USD,mr_under_limit,atr_range_exp,H4,limit,1,2120,0.1097154605616156,0.07841200348819528,0.03130345707342032,0.0029489933651036097,nan,nan
5e-05,0.5,SOYBN_USD,mr_under_limit,atr_range_exp,H4,market,1,2120,-0.142290738467147,-0.16219514708107294,0.01990440861392595,0.0013648652329003494,nan,nan
5e-05,0.5,SOYBN_USD,mr_under_limit,ema50_dist_low,H4,market,1,3818,-0.1566275049245153,-0.16219514708107294,0.0055676421565576395,nan,nan,nan
5e-05,0.5,SOYBN_USD,mr_under_limit,macd_hist_low,H4,limit,1,1700,0.07857446116735145,0.07841200348819528,0.0001624576791561666,nan,nan,nan
5e-05,0.5,SOYBN_USD,mr_under_limit,macd_hist_low,H4,market,1,1700,-0.1591706024365473,-0.16219514708107294,0.003024544644525645,nan,nan,nan
5e-05,0.5,SOYBN_USD,mr_under_limit,sma50_dist_low,H4,market,1,4339,-0.14292772159762232,-0.16219514708107294,0.019267425483450618,nan,nan,nan
5e-05,0.5,SOYBN_USD,trend,donchian55,D1,limit,1,126,0.13917034287324737,0.02828192799686159,0.11088841487638577,nan,nan,nan
5e-05,0.5,SOYBN_USD,trend,donchian55,D1,market,-1,107,-0.19147252433893783,-0.1935292925290891,0.00205676819015127,nan,nan,nan
5e-05,0.5,SOYBN_USD,trend,donchian55,D1,market,1,126,-0.13052252346012616,-0.19760960340991812,0.06708707994979196,nan,nan,nan
5e-05,0.5,SOYBN_USD,trend,donchian55,H4,limit,-1,602,0.0796782031839265,0.07087659169215711,0.00880161149176939,nan,nan,nan
5e-05,0.5,SOYBN_USD,trend,donchian55,H4,market,-1,602,-0.11341163785296421,-0.16942503582732882,0.05601339797436461,nan,nan,nan
5e-05,0.5,SOYBN_USD,trend,donchian55,H4,market,1,547,-0.1461154564696548,-0.16219514708107294,0.016079690611418146,nan,nan,nan
5e-05,0.5,SOYBN_USD,trend,supertrend10x3,D1,limit,-1,1453,0.061225482918870776,0.0471300843326182,0.014095398586252576,nan,nan,nan
5e-05,0.5,SOYBN_USD,trend,tsmom63,D1,limit,-1,1491,0.056207355030054945,0.0471300843326182,0.009077270697436746,nan,nan,nan
5e-05,0.5,SOYBN_USD,trend,tsmom63,D1,market,1,1533,-0.19428033871546094,-0.19760960340991812,0.0033292646944571846,nan,nan,nan
5e-05,0.5,SOYBN_USD,trend,tsmom63,H4,limit,1,7952,0.09200697366924834,0.07841200348819528,0.01359497018105306,0.04978865065878563,nan,nan
5e-05,0.5,SOYBN_USD,trend,tsmom63,H4,market,1,7952,-0.15459231407428087,-0.16219514708107294,0.00760283300679207,nan,nan,nan
5e-05,0.5,SUGAR_USD,mr_under_limit,atr_range_exp,H4,limit,1,901,0.11047550442999525,0.039984259061200095,0.07049124536879516,0.9116732659588065,nan,nan
5e-05,0.5,SUGAR_USD,mr_under_limit,atr_range_exp,H4,market,1,901,-0.1466414746566439,-0.19199843971997488,0.04535696506333098,nan,nan,nan
5e-05,0.5,SUGAR_USD,mr_under_limit,cci20_lt-100,H4,limit,1,1705,0.04774794028550881,0.039984259061200095,0.007763681224308712,nan,nan,nan
5e-05,0.5,SUGAR_USD,mr_under_limit,cci20_lt-100,H4,market,1,1705,-0.19004094447234088,-0.19199843971997488,0.001957495247634,nan,nan,nan
5e-05,0.5,SUGAR_USD,mr_under_limit,ema50_dist_low,H4,limit,1,2874,0.04441394963772485,0.039984259061200095,0.0044296905765247585,nan,nan,nan
5e-05,0.5,SUGAR_USD,mr_under_limit,ema50_dist_low,H4,market,1,2874,-0.18904983401855457,-0.19199843971997488,0.0029486057014203038,nan,nan,nan
5e-05,0.5,SUGAR_USD,mr_under_limit,sma50_dist_low,H4,limit,1,3037,0.04126812905755805,0.039984259061200095,0.0012838699963579545,nan,nan,nan
5e-05,0.5,SUGAR_USD,mr_under_limit,stoch14_k20,H4,limit,1,1968,0.05322660339392354,0.039984259061200095,0.013242344332723442,nan,nan,nan
5e-05,0.5,SUGAR_USD,trend,donchian55,H4,limit,-1,330,0.05426130061039722,0.04619582117730053,0.008065479433096684,nan,nan,nan
5e-05,0.5,SUGAR_USD,trend,donchian55,H4,market,-1,330,-0.13402728856231913,-0.1720987741681354,0.038071485605816274,nan,nan,nan
5e-05,0.5,SUGAR_USD,trend,supertrend10x3,D1,limit,1,1330,-0.0958721704478652,-0.10169812297631418,0.005825952528448988,0.0033045622816791557,nan,nan
5e-05,0.5,SUGAR_USD,trend,supertrend10x3,H4,limit,1,3916,0.043390386732862225,0.039984259061200095,0.0034061276716621305,0.139023091987423,nan,nan
