instrument,granularity,row_count,min_timestamp,max_timestamp,weekday_hour_pattern_utc
XPT_USD,H1,61245,2016-01-01T15:00:00,2026-06-12T20:00:00,"0:00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23; 1:00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23; 2:00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23; 3:00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23; 4:00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21; 6:22,23"
XPD_USD,H4,16037,2015-12-31T22:00:00,2026-06-12T17:00:00,"0:01,02,05,06,09,10,13,14,17,18,21,22; 1:01,02,05,06,09,10,13,14,17,18,21,22; 2:01,02,05,06,09,10,13,14,17,18,21,22; 3:01,02,05,06,09,10,13,14,17,18,21,22; 4:01,02,05,06,09,10,13,14,17,18; 6:21,22"
XPD_USD,H1,61050,2016-01-01T07:00:00,2026-06-12T20:00:00,"0:00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23; 1:00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23; 2:00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23; 3:00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23; 4:00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21; 6:22,23"
CORN_USD,H4,15642,2016-01-03T22:00:00,2026-06-12T17:00:00,"0:01,02,05,06,09,10,13,14,17,18,21,22; 1:01,02,05,06,09,10,13,14,17,18,21,22; 2:01,02,05,06,09,10,13,14,17,18,21,22; 3:01,02,05,06,09,10,13,14,17,18,21,22; 4:01,02,05,06,09,10,13,14,17,18; 6:21,22"
CORN_USD,H1,48503,2016-01-04T01:00:00,2026-06-12T18:00:00,"0:00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19; 1:00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19; 2:00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19; 3:00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19; 4:00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19"
WHEAT_USD,H4,15650,2016-01-03T22:00:00,2026-06-12T17:00:00,"0:01,02,05,06,09,10,13,14,17,18,21,22; 1:01,02,05,06,09,10,13,14,17,18,21,22; 2:01,02,05,06,09,10,13,14,17,18,21,22; 3:01,02,05,06,09,10,13,14,17,18,21,22; 4:01,02,05,06,09,10,13,14,17,18; 6:21,22"
WHEAT_USD,H1,49347,2016-01-04T01:00:00,2026-06-12T18:00:00,"0:00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20; 1:00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19; 2:00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19; 3:00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19; 4:00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19"
SOYBN_USD,H4,15664,2016-01-03T22:00:00,2026-06-12T17:00:00,"0:01,02,05,06,09,10,13,14,17,18,21,22; 1:01,02,05,06,09,10,13,14,17,18,21,22; 2:01,02,05,06,09,10,13,14,17,18,21,22; 3:01,02,05,06,09,10,13,14,17,18,21,22; 4:01,02,05,06,09,10,13,14,17,18; 6:21,22"
SOYBN_USD,H1,49506,2016-01-04T01:00:00,2026-06-12T18:00:00,"0:00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20; 1:00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19; 2:00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19; 3:00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19; 4:00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19"
SUGAR_USD,H4,7858,2016-01-04T06:00:00,2026-06-12T13:00:00,"0:05,06,09,10,13,14,17,21; 1:01,05,06,09,10,13,14,17,21; 2:05,06,09,10,13,14,17,21; 3:05,06,09,10,13,14,17,21; 4:01,05,06,09,10,13,14,17; 6:13"
SUGAR_USD,H1,25897,2016-01-04T08:00:00,2026-06-12T16:00:00,"0:07,08,09,10,11,12,13,14,15,16,17,22; 1:01,07,08,09,10,11,12,13,14,15,16,17,20,21,22; 2:06,07,08,09,10,11,12,13,14,15,16,17,20,21,22,23; 3:07,08,09,10,11,12,13,14,15,16,17,20,23; 4:03,07,08,09,10,11,12,13,14,15,16,17,18; 6:16"
