strategy,pair,direction,tp_R,n,mean_R,se_R,ci_lo_R,ci_hi_R,win_rate
stoch,EUR_GBP,long,0.7,1920,0.09962012165010613,0.017445928668372725,0.06542610146009559,0.13381414184011667,0.63125
stoch,USD_JPY,long,0.7,1884,0.05908102687429638,0.018724626997112307,0.02238075795995626,0.0957812957886365,0.6183651804670913
atr,EUR_NOK,long,0.8,489,0.14728722296474125,0.03852538058035301,0.07177747702724936,0.22279696890223316,0.6339468302658486
atr,NZD_CHF,short,0.8,1139,0.11103738250777431,0.025797645389455413,0.0604739975444417,0.1616007674711069,0.617208077260755
atr,USD_JPY,long,0.8,1075,0.05755342894709023,0.026535801990156267,0.005543257046383948,0.10956360084779651,0.5851162790697675
bb,AUD_CAD,short,0.8,220,0.18413916271613387,0.0561015993815373,0.07418002792832076,0.294098297503947,0.6636363636363637
bb,CAD_CHF,short,0.8,1061,0.10899017983683613,0.026403777078485718,0.05723877676300413,0.16074158291066815,0.6173421300659755
bb,CHF_JPY,long,0.8,295,0.15493448706174184,0.04904208705467308,0.05881199643458261,0.25105697768890106,0.6372881355932203
bb,EUR_CAD,long,0.8,300,0.14285078225822437,0.048220273971429396,0.04833904527422275,0.23736251924222598,0.63
bb,USD_JPY,long,0.8,342,0.15892979138447155,0.04621878883820309,0.0683409652615935,0.2495186175073496,0.6461988304093568
candle,USD_JPY,long,0.8,418,0.1424072656372972,0.04158871723349392,0.0608933798596491,0.22392115141494529,0.6339712918660287
