status,pnl_pct,days_held,symbol,score_date,bh_entry
no_fill,0.0,0,MET,2026-02-13,76.59161892463621
no_fill,0.0,0,FHN,2026-02-13,24.21665515902299
time_profit,1.2314227664582456,6,GSSC,2026-02-13,78.58785130733116
no_fill,0.0,0,EDU,2026-02-13,57.598485170791655
no_fill,0.0,0,MSBI,2026-02-13,22.62528345769771
no_fill,0.0,0,LQDT,2026-02-13,30.179073156940294
no_fill,0.0,0,EWI,2026-02-13,55.15315899389999
no_fill,0.0,0,HOMB,2026-02-13,29.03056247326565
no_fill,0.0,0,FRPT,2026-02-13,66.3014295318441
no_fill,0.0,0,MBUU,2026-02-13,30.81212166737803
time_loss,-0.7105913703891686,6,BTAL,2026-02-17,13.898763413406474
no_fill,0.0,0,EPU,2026-02-17,83.52495801751002
success,3.0000000000000027,5,TLK,2026-02-17,20.937012771947952
stopped_out,-4.0000000000000036,2,AMH,2026-02-17,31.242661200503637
no_fill,0.0,0,REPX,2026-02-17,26.71015375254521
no_fill,0.0,0,BAP,2026-02-17,327.76328725884593
no_fill,0.0,0,RDVY,2026-02-17,71.65106796947835
no_fill,0.0,0,PUK,2026-02-17,29.909578161133865
no_fill,0.0,0,RY,2026-02-17,168.08161943391457
no_fill,0.0,0,PSO,2026-02-17,12.513157188969686
success,3.0000000000000027,5,BK,2026-02-18,117.7866004639424
time_loss,-2.048360278432415,6,CQQQ,2026-02-18,53.15888549493563
success,3.0000000000000027,2,STZ,2026-02-18,153.59687320911075
success,3.0000000000000027,5,ISRG,2026-02-18,495.9608850325991
no_fill,0.0,0,BMI,2026-02-18,155.79652334531215
success,3.0000000000000027,1,PFG,2026-02-18,91.27421636728323
no_fill,0.0,0,UHAL,2026-02-18,50.619363031805904
stopped_out,-4.0000000000000036,4,DORM,2026-02-18,127.46069930821044
no_fill,0.0,0,AVS,2026-02-18,9.518731079229545
no_fill,0.0,0,ABNB,2026-02-18,122.00839023158588
no_fill,0.0,0,AXS,2026-02-19,101.67688236162095
no_fill,0.0,0,ZION,2026-02-19,60.57139550506548
stopped_out,-4.0000000000000036,5,NCDL,2026-02-19,13.579493868036058
success,3.0030182463871125,0,TGS,2026-02-19,29.911744844506703
no_fill,0.0,0,EBAY,2026-02-19,83.57058043467079
stopped_out,-4.0000000000000036,5,CMC,2026-02-19,76.3592767529153
no_fill,0.0,0,FLG,2026-02-19,13.121772971303107
success,3.0000000000000027,0,WAL,2026-02-19,89.6139740276572
success,3.0000000000000027,1,LKQ,2026-02-19,32.96727931246865
success,3.0000000000000027,0,MHK,2026-02-19,126.0930451735179
stopped_out,-4.0000000000000036,1,CPNG,2026-02-20,18.44666069272376
success,3.0000000000000027,1,DOW,2026-02-20,29.82692385118695
no_fill,0.0,0,WB,2026-02-20,10.09011360008693
stopped_out,-5.708365568029084,6,PUK,2026-02-20,30.617774497088597
stopped_out,-6.777283174844673,5,DB,2026-02-20,36.23580297853405
no_fill,0.0,0,BBVA,2026-02-20,23.187040482829403
stopped_out,-4.000000000000014,0,SGI,2026-02-20,89.41728798237715
stopped_out,-4.0000000000000036,1,SE,2026-02-20,113.25574191979274
stopped_out,-4.826239544032096,5,UBS,2026-02-20,42.0388979150515
success,3.0000000000000027,3,GFL,2026-02-20,42.20978992738166
success,3.0000000000000027,1,ALNY,2026-02-23,324.4800127594874
stopped_out,-4.0000000000000036,4,CSWC,2026-02-23,22.186603939726403
no_fill,0.0,0,FRPT,2026-02-23,76.98151627031703
stopped_out,-4.0000000000000036,0,AORT,2026-02-23,36.83486833718504
success,3.0000000000000027,1,BMRC,2026-02-23,25.523425839921615
no_fill,0.0,0,DIS,2026-02-23,103.35643292092502
success,3.0000000000000027,2,LLYVA,2026-02-23,92.4542977548746
success,3.0000000000000027,1,KRC,2026-02-23,30.851074542881488
success,3.0000000000000027,1,CNX,2026-02-23,37.71020525675845
