status,pnl_pct,days_held,symbol,score_date,bh_entry
stopped_out,-3.8461538461538436,5,LIN,2026-02-13,480.5265711976561
stopped_out,-9.657494054788607,1,MSGS,2026-02-13,291.04100514606
time_profit,0.7694567007060282,6,ET,2026-02-13,18.73304200066125
stopped_out,-3.8461538461538436,1,LPG,2026-02-13,33.40176537828954
stopped_out,-3.8461538461538436,1,INSW,2026-02-13,63.85466159177359
stopped_out,-3.8461538461538436,1,FET,2026-02-13,50.092338668685244
no_fill,0.0,0,FRO,2026-02-13,30.871125072432317
time_loss,-0.05436752446539295,6,HTO,2026-02-13,54.82560940102118
time_loss,-0.44285714285714484,6,MLPX,2026-02-13,69.6787044959613
time_loss,-1.342691486115366,6,KMI,2026-02-13,32.28725536728853
time_loss,-0.606207565470418,6,PAA,2026-02-17,20.409722396572374
stopped_out,-3.8461538461538436,3,CMBT,2026-02-17,13.198538623236425
success,3.0927835051546504,1,WT,2026-02-17,16.53094713754743
success,3.0927835051546504,4,RTX,2026-02-17,203.25212629148558
time_loss,-0.5838573873624853,6,SBLK,2026-02-17,24.49186264562154
no_fill,0.0,0,PSTL,2026-02-17,19.298033567319024
time_loss,-1.4534883720930147,6,AQN,2026-02-17,6.7532188363846775
success,3.0927835051546504,2,BLBD,2026-02-17,59.875868330886064
success,3.0927835051546504,1,ASO,2026-02-17,59.65043854677635
success,3.092783505154628,2,BWMX,2026-02-17,18.66042126514742
success,3.0927835051546504,4,PR,2026-02-18,17.632005619061307
stopped_out,-3.8461538461538547,3,ADI,2026-02-18,345.8631509098077
success,3.0927835051546504,4,CVE,2026-02-18,22.213312043916346
time_loss,-1.9740606522982929,6,CHD,2026-02-18,102.55131078209335
time_loss,-2.061034940291906,6,XES,2026-02-18,109.99073365323449
stopped_out,-3.8461538461538436,0,ESI,2026-02-18,33.62342449390541
time_loss,-0.10430494974398297,6,WFRD,2026-02-18,104.6744492400443
no_fill,0.0,0,MTB,2026-02-18,231.49892769293623
success,3.092783505154628,3,APA,2026-02-18,28.551764678898152
success,3.0927835051546504,3,FANG,2026-02-18,173.74631425907413
success,3.0927835051546504,2,LHX,2026-02-19,358.2329282574437
success,3.092783505154628,0,NTR,2026-02-19,71.67965727389692
success,3.0927835051546504,1,WHD,2026-02-19,58.66306976961456
success,3.0927835051546504,1,HII,2026-02-19,442.2848532747741
success,3.440837949244746,6,ATS,2026-02-19,32.470079032267925
stopped_out,-4.17007358953393,4,AXIA,2026-02-19,11.703893348576827
no_fill,0.0,0,CTVA,2026-02-19,76.94456274080761
no_fill,0.0,0,SU,2026-02-19,56.733499868144875
stopped_out,-3.8461538461538547,4,VTOL,2026-02-19,46.83943504755485
success,3.0927835051546504,0,CVE,2026-02-19,23.092414755065178
no_fill,0.0,0,XPO,2026-02-20,209.44580541459578
success,3.0927835051546504,0,OCS,2026-02-20,29.116143087376802
stopped_out,-3.8461538461538547,1,MAMA,2026-02-20,15.854735588930856
success,3.092783505154628,0,KMT,2026-02-20,39.52282794346051
stopped_out,-3.8461538461538436,1,FCX,2026-02-20,64.19688628406863
no_fill,0.0,0,XP,2026-02-20,22.901346750528358
no_fill,0.0,0,TER,2026-02-20,324.09614531404435
no_fill,0.0,0,BHP,2026-02-20,76.71163257956775
stopped_out,-3.8461538461538436,1,ELPC,2026-02-20,11.24342614630103
stopped_out,-5.529156560081305,4,E,2026-02-20,44.16511930816199
success,3.0927835051546504,6,MDLZ,2026-02-23,60.2271266505598
success,5.922165820642977,2,ACAD,2026-02-23,24.636216600722616
no_fill,0.0,0,BOOM,2026-02-23,8.670262320485492
