status,pnl_pct,days_held,symbol,score_date,bh_entry,close_on_score,entry_dist_pct,score
no_fill,0.0,0,APRW,2026-02-13,35.003549545349266,,,2.0
no_fill,0.0,0,APRT,2026-02-13,41.821539471993,,,2.0
success,1.4999999999999902,0,APT,2026-02-13,5.070153055696328,,,5.0
time_profit,0.3088581298541948,2,AQNB,2026-02-13,25.820967292881445,,,2.0
time_loss,-0.6193434307469436,2,AQWA,2026-02-13,20.714091364102487,,,2.0
no_fill,0.0,0,ARCB,2026-02-13,103.90064304293043,,,22.25
no_fill,0.0,0,AREA,2026-02-13,20.050606841160988,,,2.0
no_fill,0.0,0,ARL,2026-02-13,16.858324463436727,,,2.0
time_profit,1.035758323057978,2,ARP,2026-02-13,32.45306772942122,,,2.0
no_fill,0.0,0,AROW,2026-02-13,34.193180043939556,,,2.0
success,1.4999999999999902,0,ARTNA,2026-02-13,33.36669357530541,,,2.0
no_fill,0.0,0,ASBA,2026-02-13,24.655611974515004,,,2.0
success,1.4999999999999902,0,ASCE,2026-02-13,28.49838018548647,,,5.0
success,1.4999999999999902,1,ASCI,2026-02-13,35.211883730271914,,,2.0
no_fill,0.0,0,ASET,2026-02-13,34.160220654571525,,,2.0
success,1.4999999999999902,1,ASEA,2026-02-13,20.02234718388719,,,5.0
success,1.6808245312982972,1,ASGM,2026-02-13,28.159908615994063,,,2.0
success,1.4999999999999902,1,ASIA,2026-02-13,37.725217383848715,,,5.0
no_fill,0.0,0,ASHS,2026-02-13,43.19353413118879,,,5.0
success,1.4999999999999902,1,ASLV,2026-02-13,29.473779104068612,,,2.0
no_fill,0.0,0,ASMF,2026-02-13,25.43190435102648,,,2.0
no_fill,0.0,0,ASR,2026-02-13,368.86043736576374,,,5.0
time_profit,1.3264509933377466,2,ATCOL,2026-02-13,25.251016412620668,,,2.0
no_fill,0.0,0,ATII,2026-02-13,10.543813880061546,,,2.0
no_fill,0.0,0,ATLCL,2026-02-13,24.938797123071044,,,2.0
time_loss,-0.16128165152411444,2,ATLCP,2026-02-13,24.64127511641855,,,2.0
no_fill,0.0,0,ATLCZ,2026-02-13,25.52792518588777,,,2.0
no_fill,0.0,0,ATMC,2026-02-13,15.579447212860345,,,5.0
no_fill,0.0,0,ATMCU,2026-02-13,14.96793686460233,,,5.0
no_fill,0.0,0,ATLO,2026-02-13,27.429407341617587,,,5.0
success,1.4999999999999902,0,AUMI,2026-02-13,105.62071325005995,,,5.0
time_profit,0.6573917931422146,2,AUGT,2026-02-13,35.61097335849873,,,2.0
time_profit,0.428351783517833,2,AUGW,2026-02-13,32.543372960198155,,,2.0
time_profit,0.40851329932634073,2,AUSF,2026-02-13,49.67706259259459,,,2.0
no_fill,0.0,0,AVBC,2026-02-13,18.781431988203437,,,5.0
time_profit,0.6593193371880801,2,AVDS,2026-02-13,77.3492106543718,,,5.0
time_profit,0.4232732599791955,2,AVEE,2026-02-13,67.35769289742628,,,2.0
time_profit,0.6370427526469546,2,AVES,2026-02-13,64.64074674681167,,,29.5
time_profit,0.5604090539267581,2,AVGE,2026-02-13,91.90346466315529,,,2.0
time_profit,0.6306638656203178,2,AVGV,2026-02-13,80.83500284627539,,,5.0
time_profit,0.6295333430742955,2,AVIE,2026-02-13,72.73864839478064,,,5.0
success,1.4999999999999902,1,AVLC,2026-02-13,80.40385258098412,,,2.0
time_profit,0.9297603667005383,2,AVIV,2026-02-13,78.55966492928164,,,5.0
success,1.4999999999999902,1,AVMC,2026-02-13,75.23273951565244,,,2.0
no_fill,0.0,0,AVMA,2026-02-13,69.69054607234453,,,2.0
time_profit,0.05559035892128694,2,AVMU,2026-02-13,46.82763336252328,,,2.0
success,1.4999999999999902,1,AVNM,2026-02-13,80.96398983507865,,,5.0
success,1.4999999999999902,1,AVNV,2026-02-13,83.19574009458708,,,5.0
no_fill,0.0,0,AVRE,2026-02-13,46.935733074905485,,,2.0
time_profit,0.46322167732106845,2,AVSD,2026-02-13,79.84452290842505,,,5.0
time_profit,0.3402811117685367,2,AVSE,2026-02-13,71.97707560690634,,,5.0
success,1.4999999999999902,1,AVSU,2026-02-13,78.03450089689223,,,2.0
time_profit,0.282965329284357,2,AVXC,2026-02-13,72.16749102139505,,,5.0
no_fill,0.0,0,AZTD,2026-02-13,30.15335329546122,,,2.0
success,1.4999999999999902,1,BATT,2026-02-13,15.20581327207416,,,5.0
no_fill,0.0,0,BAYA,2026-02-13,11.86263449993428,,,2.0
no_fill,0.0,0,BAYAU,2026-02-13,11.998264969899031,,,2.0
time_profit,0.05710007982553389,2,BBBI,2026-02-13,52.47563605904835,,,2.0
time_loss,-0.07158385377370458,2,BBBL,2026-02-13,49.183728740665465,,,2.0
no_fill,0.0,0,BBC,2026-02-13,39.15789728152337,,,5.0
no_fill,0.0,0,BBH,2026-02-13,193.52121362683437,,,2.0
success,1.4999999999999902,1,BBMC,2026-02-13,113.88492470962548,,,2.0
success,1.4999999999999902,1,BBSC,2026-02-13,78.4362872667317,,,2.0
no_fill,0.0,0,BBP,2026-02-13,80.28403142278553,,,2.0
no_fill,0.0,0,BBUC,2026-02-13,33.42836415039169,,,2.0
no_fill,0.0,0,BBU,2026-02-13,33.107970973730275,,,2.0
no_fill,0.0,0,BCARU,2026-02-13,11.113560808790242,,,2.0
