status,pnl_pct,days_held,symbol,score_date
stopped_out,-3.0000000000000027,1,ZXZZT,2026-02-12
time_loss,0.0,2,TCBC,2026-02-12
time_loss,0.0,2,TFINP,2026-02-12
time_loss,0.0,2,UMBFP,2026-02-12
success,1.4999999999999902,1,LIN,2026-02-13
success,1.4999999999999902,0,MSGS,2026-02-13
success,1.4999999999999902,1,ET,2026-02-13
success,1.4999999999999902,0,LPG,2026-02-13
success,1.4999999999999902,0,INSW,2026-02-13
success,2.7070063694267565,1,FET,2026-02-13
success,1.4999999999999902,0,FRO,2026-02-13
time_loss,-0.12692656391659618,2,HTO,2026-02-13
time_loss,-0.22958817620891692,2,MLPX,2026-02-13
time_profit,0.6495515001546659,2,KMI,2026-02-13
success,1.4999999999999902,2,PAA,2026-02-17
success,1.4999999999999902,2,CMBT,2026-02-17
success,1.4999999999999902,0,WT,2026-02-17
time_profit,0.04379234908116203,2,RTX,2026-02-17
success,1.4999999999999902,0,SBLK,2026-02-17
time_loss,-0.10422094841062712,2,PSTL,2026-02-17
time_loss,-1.179941002949858,2,AQN,2026-02-17
success,1.4999999999999902,0,BLBD,2026-02-17
success,1.4999999999999902,0,ASO,2026-02-17
success,1.4999999999999902,0,BWMX,2026-02-17
time_loss,-0.9486607142857206,2,PR,2026-02-18
success,1.4999999999999902,0,ADI,2026-02-18
success,1.4999999999999902,0,CVE,2026-02-18
success,1.4999999999999902,2,CHD,2026-02-18
success,1.4999999999999902,2,XES,2026-02-18
success,1.4999999999999902,0,ESI,2026-02-18
success,1.4999999999999902,0,APA,2026-02-18
success,1.4999999999999902,0,WFRD,2026-02-18
stopped_out,-3.0000000000000027,2,MTB,2026-02-18
time_loss,-1.3899041498542264,2,FANG,2026-02-18
stopped_out,-3.0000000000000027,2,LHX,2026-02-19
stopped_out,-2.9999999999999916,0,NTR,2026-02-19
success,1.4999999999999902,0,HII,2026-02-19
success,1.4999999999999902,0,WHD,2026-02-19
success,1.4999999999999902,0,ATS,2026-02-19
success,1.4999999999999902,2,CTVA,2026-02-19
success,1.4999999999999902,0,AXIA,2026-02-19
time_loss,-0.9031077110269403,2,SU,2026-02-19
success,1.4999999999999902,1,VTOL,2026-02-19
success,1.4999999999999902,1,CHRD,2026-02-19
success,1.4999999999999902,1,KDEF,2026-02-20
stopped_out,-3.0000000000000027,0,XPO,2026-02-20
success,1.4999999999999902,0,MAMA,2026-02-20
stopped_out,-3.0000000000000027,0,OCS,2026-02-20
success,1.4999999999999902,1,KMT,2026-02-20
success,1.4999999999999902,2,DBMF,2026-02-20
stopped_out,-3.0000000000000027,0,XP,2026-02-20
success,1.4999999999999902,0,FCX,2026-02-20
success,1.4999999999999902,1,TER,2026-02-20
time_profit,0.7251302968502182,2,E,2026-02-20
success,1.4999999999999902,0,MDLZ,2026-02-23
stopped_out,-3.0000000000000027,0,BOOM,2026-02-23
stopped_out,-5.591054313099031,2,ACAD,2026-02-23
success,1.4999999999999902,0,PRMB,2026-02-23
success,1.4999999999999902,0,OUT,2026-02-23
success,1.4999999999999902,0,BCPC,2026-02-23
time_loss,-1.2498337986969754,2,XOM,2026-02-23
success,1.4999999999999902,0,VMD,2026-02-23
success,1.4999999999999902,0,DNLI,2026-02-23
stopped_out,-4.246864547247187,2,GOLF,2026-02-23
success,1.4999999999999902,0,BWXT,2026-02-24
success,1.4999999999999902,1,BCO,2026-02-24
time_profit,1.0493587252234704,2,AOS,2026-02-24
success,1.4999999999999902,0,DRTS,2026-02-24
success,1.4999999999999902,1,PHG,2026-02-24
success,1.7489450404189366,1,MSA,2026-02-24
time_profit,1.3072608606975233,2,FTCS,2026-02-24
stopped_out,-2.9999999999999916,0,IPI,2026-02-24
success,1.4999999999999902,0,GNL,2026-02-24
success,1.4999999999999902,1,BIPC,2026-02-24
success,1.513802315227064,1,ERIC,2026-02-25
time_profit,0.20150511987497843,2,TM,2026-02-25
time_loss,-1.2033898305084723,2,GSK,2026-02-25
stopped_out,-3.0000000000000027,1,RGA,2026-02-25
time_loss,-0.915271966527198,2,STEL,2026-02-25
time_profit,0.8546419463781207,2,GL,2026-02-25
success,1.4999999999999902,0,GNL,2026-02-25
success,1.4999999999999902,1,ASGI,2026-02-25
success,1.4999999999999902,0,BCO,2026-02-25
time_profit,0.452353189384902,2,BALL,2026-02-25
success,1.4999999999999902,0,NJR,2026-02-26
time_loss,-0.894039735099339,2,EPR,2026-02-26
success,1.4999999999999902,0,CUK,2026-02-26
stopped_out,-3.0000000000000027,1,WSR,2026-02-26
stopped_out,-3.0000000000000027,2,UPS,2026-02-26
stopped_out,-3.0000000000000027,2,BALL,2026-02-26
success,1.4999999999999902,0,CCL,2026-02-26
stopped_out,-3.0000000000000027,1,BNS,2026-02-26
success,1.4999999999999902,0,TRS,2026-02-26
success,1.4999999999999902,0,TKO,2026-02-26
stopped_out,-3.697661772702554,1,CCEP,2026-02-27
time_profit,0.682608695652176,2,RSG,2026-02-27
stopped_out,-3.0000000000000027,2,TSN,2026-02-27
stopped_out,-2.9999999999999916,1,PG,2026-02-27
success,1.4999999999999902,0,RCI,2026-02-27
time_loss,-0.3465144720750102,2,OGE,2026-02-27
time_loss,-1.3559322033898202,2,KRP,2026-02-27
success,1.4999999999999902,0,LAMR,2026-02-27
stopped_out,-3.116883116883118,1,QSR,2026-02-27
stopped_out,-3.0000000000000027,1,AMCR,2026-02-27
success,1.4999999999999902,1,PAA,2026-03-02
stopped_out,-3.0000000000000138,2,MO,2026-03-02
success,1.4999999999999902,0,LPTH,2026-03-02
success,8.04776268113201,1,ROST,2026-03-02
stopped_out,-3.0000000000000027,0,XOM,2026-03-02
stopped_out,-3.0000000000000027,0,SLB,2026-03-02
time_loss,-0.32573681426990575,2,CERY,2026-03-02
stopped_out,-3.0000000000000027,0,SA,2026-03-02
success,1.4999999999999902,1,TJX,2026-03-02
time_loss,-0.7997818776697252,2,MCD,2026-03-02
