trade_id,strategy,symbol,prediction_date,entry_date,entry_price,stop_price,t1_target,t2_target,t1_exit_price,t1_status,t2_exit_price,t2_status,t1_pnl_pct,t2_pnl_pct,blended_pnl_pct,days_held,exit_date,spans_weekends,regime,status,score,n_segments,flatten_rule_applied,original_blended_pnl_pct
2015-01-15-baseline-EWT-0,baseline,EWT,2015-01-15,2015-01-16,18.3036,17.7025185,18.766,19.23105966300384,18.766,profit,19.23105966300384,profit,2.52627898336939,5.067088785833618,3.1824168004135567,3,2015-01-22,1,trend_2015_2017,split_full_profit,19.5,2,uniform,3.796683884601504
2015-01-15-baseline-GIS-1,baseline,GIS,2015-01-15,2015-01-16,36.131,34.908203,36.8897,37.71738235294761,36.8897,profit,35.40838,stopped,2.0998588469735013,-2.0000000000000018,-0.535610045083168,10,2015-02-02,3,trend_2015_2017,split_partial_profit,19.25,4,uniform,0.04992942348674978
2015-01-15-baseline-CAG-2,baseline,CAG,2015-01-15,2015-01-16,19.016807266307154,18.1967915,19.3971,20.01031363687677,19.3971,profit,18.63647112098101,stopped,1.9997717196546638,-2.0000000000000018,-0.0011063480480300036,10,2015-02-02,3,trend_2015_2017,split_partial_profit,18.0,4,uniform,-0.00011414017266897503
2015-01-15-baseline-EXC-3,baseline,EXC,2015-01-15,2015-01-16,17.773099566116286,16.997090888441985,18.1286,18.91383232229751,18.1286,profit,17.41763757479396,stopped,2.0002162963260517,-2.0000000000000018,-0.025170854534262155,9,2015-01-30,2,trend_2015_2017,split_partial_profit,18.0,3,uniform,0.000108148163024957
2015-01-15-baseline-TXT-4,baseline,TXT,2015-01-15,2015-01-16,41.3485,39.53717798067851,42.2399,44.16718596898717,42.2898,profit,40.52153,stopped,2.2765033798082035,-2.0000000000000018,-0.25356048191618186,6,2015-01-27,2,trend_2015_2017,split_partial_profit,17.25,3,uniform,0.13825168990410086
2015-01-15-baseline-D-5,baseline,D,2015-01-15,2015-01-16,48.20402147267022,46.34445092607462,49.1681,50.937590176165756,49.1681,profit,47.23994104321682,stopped,1.9999960540146633,-2.0000000000000018,-0.2662078797352585,14,2015-02-06,3,trend_2015_2017,split_partial_profit,17.0,4,uniform,-1.9729926692413358e-06
2015-01-15-baseline-TGT-6,baseline,TGT,2015-01-15,2015-01-16,54.3594,52.20763710378396,55.5805,57.84667744059692,52.20763710378396,stopped,52.20763710378396,stopped,-3.9584007480142236,-3.9584007480142236,-3.458586998374036,10,2015-02-02,3,trend_2015_2017,stopped_out,17.0,4,uniform,-3.9584007480142236
2015-01-15-baseline-NWL-7,baseline,NWL,2015-01-15,2015-01-16,24.649,23.821437,25.1847,25.962230943808052,25.1847,profit,24.15602,stopped,2.1733133189987264,-2.0000000000000018,0.0030107854427363634,10,2015-02-02,3,trend_2015_2017,split_partial_profit,16.5,4,uniform,0.0866566594993623
2015-01-15-baseline-DE-8,baseline,DE,2015-01-15,2015-01-16,71.5088,68.56279649999999,73.1068,75.30902367681801,73.1068,profit,70.07862399999999,stopped,2.234689996196293,-2.0000000000000018,0.08244383378832598,7,2015-01-28,2,trend_2015_2017,split_partial_profit,16.25,3,uniform,0.11734499809814558
2015-01-15-baseline-SRE-9,baseline,SRE,2015-01-15,2015-01-16,39.5685,38.1452085,40.4167,41.73453341978251,40.4167,profit,38.77713,stopped,2.1436243476502748,-2.0000000000000018,-0.2110812694300246,14,2015-02-06,3,trend_2015_2017,split_partial_profit,16.0,4,uniform,0.0718121738251365
2015-01-15-mean_reversion-CF-0,mean_reversion,CF,2015-01-15,2015-01-16,42.5847,40.96898038259829,43.4364,44.69590696673823,43.4364,profit,44.69590696673823,profit,2.0000140895673812,4.957665468438743,1.7320788624992867,1,2015-01-20,1,trend_2015_2017,split_full_profit,31.5,2,uniform,3.4788397790030623
2015-01-15-mean_reversion-GLD-1,mean_reversion,GLD,2015-01-15,2015-01-16,120.94,118.31647635908413,123.3588,124.36807089079673,123.3588,profit,118.5212,stopped,2.0000000000000018,-2.0000000000000018,1.1444545195217204,6,2015-02-06,3,trend_2015_2017,split_partial_profit,29.5,4,uniform,0.0
2015-01-15-mean_reversion-IAU-2,mean_reversion,IAU,2015-01-15,2015-01-16,24.36,23.83375248554333,24.8472,25.04763008555672,24.8472,profit,23.872799999999998,stopped,2.0000000000000018,-2.0000000000000018,1.0948862157839745,6,2015-02-06,3,trend_2015_2017,split_partial_profit,29.5,4,uniform,0.0
2015-01-15-mean_reversion-NTES-3,mean_reversion,NTES,2015-01-15,2015-01-16,17.6521,16.90845384915121,18.0271,18.673390970442416,18.0271,profit,18.673390970442416,profit,2.124393131695368,5.785662728187657,2.997979461804512,1,2015-01-20,1,trend_2015_2017,split_full_profit,29.5,2,uniform,3.9550279299415125
2015-01-15-mean_reversion-UDR-4,mean_reversion,UDR,2015-01-15,2015-01-16,22.1132,21.62537547103746,22.5623,22.766078717844383,22.5623,profit,22.766078717844383,profit,2.030913662427869,2.952438895521148,1.9067436517323122,4,2015-01-23,1,trend_2015_2017,split_full_profit,29.0,2,uniform,2.4916762789745084
2015-01-15-mean_reversion-HSY-5,mean_reversion,HSY,2015-01-15,2015-01-16,82.8721,81.12670790265345,84.5295,85.15274567386616,77.875,stopped,77.875,stopped,-6.029894258743296,-6.029894258743296,-6.274605843882797,4,2015-01-29,2,trend_2015_2017,stopped_out,28.5,3,uniform,-6.029894258743296
2015-01-15-mean_reversion-EPI-6,mean_reversion,EPI,2015-01-15,2015-01-16,19.8504,19.523092933606037,20.4505,20.737338566754776,20.4505,profit,20.737338566754776,profit,3.0231128843751343,4.4681143289544645,3.647103377869887,6,2015-02-18,5,trend_2015_2017,split_full_profit,28.0,6,uniform,3.7456136066647994
2015-01-15-mean_reversion-EQR-7,mean_reversion,EQR,2015-01-15,2015-01-16,45.7035,44.63963894035869,46.6176,47.093611784597975,46.6176,profit,47.093611784597975,profit,2.00006564048707,3.0415871532770478,1.9816788164998878,7,2015-01-28,2,trend_2015_2017,split_full_profit,28.0,3,uniform,2.520826396882059
2015-01-15-mean_reversion-NNN-8,mean_reversion,NNN,2015-01-15,2015-01-16,25.2936,24.709306338614255,25.8779,26.234459717544038,25.8779,profit,26.234459717544038,profit,2.3100705316760006,3.7197540782808236,3.725118507277081,6,2015-01-27,2,trend_2015_2017,split_full_profit,28.0,3,uniform,3.014912304978412
2015-01-15-mean_reversion-PHYS-9,mean_reversion,PHYS,2015-01-15,2015-01-16,10.33,10.171855339197116,10.608,10.698109023449105,10.171855339197116,stopped,10.171855339197116,stopped,-1.5309260484306364,-1.5309260484306364,-0.2277428715152019,3,2015-02-11,4,trend_2015_2017,stopped_out,28.0,5,uniform,-1.5309260484306364
2015-01-29-baseline-RLJ-0,baseline,RLJ,2015-01-29,2015-01-30,21.4001,20.746657772507078,21.921,22.585613298133293,20.746657772507078,stopped,20.746657772507078,stopped,-3.0534540842936275,-3.0534540842936275,-3.3090327018917343,1,2015-02-02,1,trend_2015_2017,stopped_out,18.5,2,uniform,-3.0534540842936275
2015-01-29-baseline-RIO-1,baseline,RIO,2015-01-29,2015-01-30,20.6356,19.8631064824702,21.2722,22.313331233230773,21.2722,profit,22.313331233230773,profit,3.084959972087087,8.130275995031756,5.08343934177411,2,2015-02-03,1,trend_2015_2017,split_full_profit,17.75,2,uniform,5.607617983559422
2015-01-29-baseline-HON-2,baseline,HON,2015-01-29,2015-01-30,71.3855,69.12227756479069,73.339,75.9856370076164,73.339,profit,73.1201,time_exit,2.7365501397342618,2.4299052328554227,2.3416827558661923,29,2015-03-13,6,trend_2015_2017,split_partial_profit,16.0,7,uniform,2.5832276862948422
2015-01-29-baseline-FIS-3,baseline,FIS,2015-01-29,2015-01-30,52.16,50.54049072557071,53.3818,54.973103971132936,53.3818,profit,54.973103971132936,profit,2.3424079754601257,5.393220803552423,3.9048866098159607,10,2015-02-13,2,trend_2015_2017,split_full_profit,15.0,3,uniform,3.8678143895062744
