tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,fast,slow,signal,trigger,direction,total_n
56,0.14879071172074632,0.12889435737537452,-0.10384222873498777,0.4014236521764804,25,0.12,0.20264912204760885,-0.27719227921331335,0.5171922792133133,EUR_USD,12,26,9,zero_cross,long,81
58,-0.10295486464701656,0.1241045207168829,-0.34619972525210707,0.14028999595807393,25,0.2,0.2,-0.192,0.5920000000000001,EUR_USD,12,26,9,zero_cross,short,83
121,0.12819235593107509,0.08713726757387631,-0.042596688513722475,0.2989814003758726,53,-0.09433962264150944,0.13805656836684024,-0.36493049664051636,0.17625125135749745,EUR_USD,12,26,13,signal_cross,long,174
118,0.01956100572688415,0.08888988664206232,-0.154663172091558,0.1937851835453263,51,-0.04883074811190318,0.13904021290287122,-0.32134956540153076,0.22368806917772438,EUR_USD,12,26,13,signal_cross,short,169
56,0.14879071172074632,0.12889435737537452,-0.10384222873498777,0.4014236521764804,25,0.12,0.20264912204760885,-0.27719227921331335,0.5171922792133133,EUR_USD,12,26,13,zero_cross,long,81
58,-0.10295486464701656,0.1241045207168829,-0.34619972525210707,0.14028999595807393,25,0.2,0.2,-0.192,0.5920000000000001,EUR_USD,12,26,13,zero_cross,short,83
121,-0.024191202974132957,0.08814901801440392,-0.19696327828236465,0.14858087233409872,53,-0.14599363027500478,0.13595222896073797,-0.4124599990380512,0.12047273848804163,EUR_USD,18,39,5,signal_cross,long,174
109,0.11781838913705019,0.09367241924540824,-0.06577955258394998,0.30141633085805036,47,0.17022986849030264,0.1415449278180749,-0.10719819003312414,0.4476579270137294,EUR_USD,18,39,5,signal_cross,short,156
43,0.041544213315331244,0.15244665720606213,-0.2572512348085505,0.340339661439213,19,0.5484997578895449,0.1908849096658601,0.17436533494445905,0.9226341808346307,EUR_USD,18,39,5,zero_cross,long,62
44,-0.03735869443143147,0.14618775999056324,-0.3238867040129354,0.24916931515007246,19,-0.09818132824391786,0.2283615240200591,-0.5457699153232337,0.34940725883539797,EUR_USD,18,39,5,zero_cross,short,63
104,-0.03190797894598008,0.093593972067725,-0.21535216419872108,0.15153620630676093,45,0.2,0.14770978917519928,-0.0895111867833906,0.4895111867833906,EUR_USD,18,39,9,signal_cross,long,149
