indicator,weight,total_trades,wins,losses,timeouts,win_rate,sharpe_ratio,total_pnl,avg_win,avg_loss,beats_baseline
RISE_FALL,0.5,117,71,46,0,0.6068376068376068,0.5540882045727641,43.620000000000005,2.299577464788733,-2.601086956521739,True
RISE_FALL,1.0,101,27,74,0,0.26732673267326734,-1.7489566759972115,-137.08999999999997,1.77962962962963,-2.5018918918918915,False
RISE_FALL,1.5,122,80,42,0,0.6557377049180327,1.2366612830960548,117.05999999999999,2.434375,-1.849761904761905,True
RISE_FALL,2.0,228,132,96,0,0.5789473684210527,1.000332005226781,94.01999999999998,2.174848484848485,-2.0110416666666664,True
THREE_SOLDIERS,0.5,298,170,128,0,0.5704697986577181,1.6353850500982647,188.38000000000002,2.434,-1.7609375,True
THREE_SOLDIERS,1.0,254,138,116,0,0.5433070866141733,0.7680921477802793,62.269999999999996,1.7457246376811595,-1.5399999999999996,True
THREE_SOLDIERS,1.5,328,151,177,0,0.4603658536585366,-0.5074774032018945,-77.12,2.3008609271523177,-2.398587570621469,False
THREE_SOLDIERS,2.0,360,219,141,0,0.6083333333333333,1.0850128312828038,131.51999999999998,1.9060273972602737,-2.027659574468085,True
BELT_HOLD,0.5,346,166,180,0,0.4797687861271676,-0.37176111990620936,-39.980000000000004,2.055361445783132,-2.1176111111111107,False
BELT_HOLD,1.0,447,253,194,0,0.5659955257270693,1.181029906545867,226.51,2.5660869565217395,-2.178917525773196,True
BELT_HOLD,1.5,557,301,256,0,0.5403949730700179,-0.17573634057418208,-34.64,2.127209302325581,-2.6364453125000002,False
BELT_HOLD,2.0,260,129,131,0,0.49615384615384617,-0.10770474522990386,-10.490000000000009,2.2909302325581393,-2.3360305343511447,False
