label,total_trades,wins,losses,timeouts,win_rate,sharpe_ratio,total_pnl,avg_win,avg_loss,statistically_valid,beats_baseline
Original Q3 (20 runs),43,28,15,0,0.6511627906976745,2.177182297678358,41.48,2.2114285714285713,-1.3626666666666667,True,True
Retest (30 runs),485,305,180,0,0.6288659793814433,1.784628112831508,303.64000000000004,2.1915737704918032,-2.026611111111111,True,True
Combined (50 runs),528,333,195,0,0.6306818181818182,1.9363801893129333,345.12,2.1932432432432436,-1.9755384615384617,True,True
