indicator,weight,total_trades,wins,losses,timeouts,win_rate,sharpe_ratio,total_pnl,avg_win,avg_loss,beats_baseline
RS_MULTIPLIER,0.5,2398,1002,877,0,0.4178482068390325,0.5919332916542045,260.2,2.2871457085828344,-2.316442417331813,True
RS_MULTIPLIER,1.0,2398,1002,877,0,0.4178482068390325,0.5919332916542045,260.2,2.2871457085828344,-2.316442417331813,True
RS_MULTIPLIER,1.5,2398,1002,877,0,0.4178482068390325,0.5919332916542045,260.2,2.2871457085828344,-2.316442417331813,True
RS_MULTIPLIER,2.0,2398,1002,877,0,0.4178482068390325,0.5919332916542045,260.2,2.2871457085828344,-2.316442417331813,True
GAP_MULTIPLIER,0.5,2398,1002,877,0,0.4178482068390325,0.5919332916542045,260.2,2.2871457085828344,-2.316442417331813,True
GAP_MULTIPLIER,1.0,2398,1002,877,0,0.4178482068390325,0.5919332916542045,260.2,2.2871457085828344,-2.316442417331813,True
GAP_MULTIPLIER,1.5,2398,1002,877,0,0.4178482068390325,0.5919332916542045,260.2,2.2871457085828344,-2.316442417331813,True
GAP_MULTIPLIER,2.0,2398,1002,877,0,0.4178482068390325,0.5919332916542045,260.2,2.2871457085828344,-2.316442417331813,True
VWAP_MULTIPLIER,0.5,2398,1002,877,0,0.4178482068390325,0.5919332916542045,260.2,2.2871457085828344,-2.316442417331813,True
VWAP_MULTIPLIER,1.0,2398,1002,877,0,0.4178482068390325,0.5919332916542045,260.2,2.2871457085828344,-2.316442417331813,True
VWAP_MULTIPLIER,1.5,2398,1002,877,0,0.4178482068390325,0.5919332916542045,260.2,2.2871457085828344,-2.316442417331813,True
VWAP_MULTIPLIER,2.0,2398,1002,877,0,0.4178482068390325,0.5919332916542045,260.2,2.2871457085828344,-2.316442417331813,True
TTM_SQUEEZE_MULTIPLIER,0.5,2398,1002,877,0,0.4178482068390325,0.5919332916542045,260.2,2.2871457085828344,-2.316442417331813,True
TTM_SQUEEZE_MULTIPLIER,1.0,2398,1002,877,0,0.4178482068390325,0.5919332916542045,260.2,2.2871457085828344,-2.316442417331813,True
TTM_SQUEEZE_MULTIPLIER,1.5,2398,1002,877,0,0.4178482068390325,0.5919332916542045,260.2,2.2871457085828344,-2.316442417331813,True
TTM_SQUEEZE_MULTIPLIER,2.0,2398,1002,877,0,0.4178482068390325,0.5919332916542045,260.2,2.2871457085828344,-2.316442417331813,True
AROON_MULTIPLIER,0.5,2398,1002,877,0,0.4178482068390325,0.5919332916542045,260.2,2.2871457085828344,-2.316442417331813,True
AROON_MULTIPLIER,1.0,2398,1002,877,0,0.4178482068390325,0.5919332916542045,260.2,2.2871457085828344,-2.316442417331813,True
AROON_MULTIPLIER,1.5,2398,1002,877,0,0.4178482068390325,0.5919332916542045,260.2,2.2871457085828344,-2.316442417331813,True
AROON_MULTIPLIER,2.0,2398,1002,877,0,0.4178482068390325,0.5919332916542045,260.2,2.2871457085828344,-2.316442417331813,True
KELTNER_MULTIPLIER,0.5,2398,1002,877,0,0.4178482068390325,0.5919332916542045,260.2,2.2871457085828344,-2.316442417331813,True
KELTNER_MULTIPLIER,1.0,2398,1002,877,0,0.4178482068390325,0.5919332916542045,260.2,2.2871457085828344,-2.316442417331813,True
KELTNER_MULTIPLIER,1.5,2398,1002,877,0,0.4178482068390325,0.5919332916542045,260.2,2.2871457085828344,-2.316442417331813,True
KELTNER_MULTIPLIER,2.0,2398,1002,877,0,0.4178482068390325,0.5919332916542045,260.2,2.2871457085828344,-2.316442417331813,True
FORCE_INDEX_MULTIPLIER,0.5,2398,1002,877,0,0.4178482068390325,0.5919332916542045,260.2,2.2871457085828344,-2.316442417331813,True
FORCE_INDEX_MULTIPLIER,1.0,2398,1002,877,0,0.4178482068390325,0.5919332916542045,260.2,2.2871457085828344,-2.316442417331813,True
FORCE_INDEX_MULTIPLIER,1.5,2398,1002,877,0,0.4178482068390325,0.5919332916542045,260.2,2.2871457085828344,-2.316442417331813,True
FORCE_INDEX_MULTIPLIER,2.0,2398,1002,877,0,0.4178482068390325,0.5919332916542045,260.2,2.2871457085828344,-2.316442417331813,True
AD_LINE_MULTIPLIER,0.5,2398,1002,877,0,0.4178482068390325,0.5919332916542045,260.2,2.2871457085828344,-2.316442417331813,True
AD_LINE_MULTIPLIER,1.0,2398,1002,877,0,0.4178482068390325,0.5919332916542045,260.2,2.2871457085828344,-2.316442417331813,True
AD_LINE_MULTIPLIER,1.5,2398,1002,877,0,0.4178482068390325,0.5919332916542045,260.2,2.2871457085828344,-2.316442417331813,True
AD_LINE_MULTIPLIER,2.0,2398,1002,877,0,0.4178482068390325,0.5919332916542045,260.2,2.2871457085828344,-2.316442417331813,True
