date,symbol,strategy,score,ml_prob,entry,stop_loss,take_profit,exit_price,exit_date,days_held,status,outcome,profit_loss
2025-02-05,SNEX,baseline,8.0,0.39847713760112424,,,,,,0,limit_expired,NO_ENTRY,0.0
2025-02-05,WELL,baseline,8.0,0.5731607668969503,139.14167090103183,,,147.15701373710195,2025-02-13 00:00:00,3,success,WIN,5.76
2025-02-05,CASY,baseline,8.0,0.6028113770534576,426.2344645426243,,,433.9171,2025-02-12 00:00:00,3,closed_profit,WIN,1.8
2025-02-05,MCS,baseline,7.0,0.3452923139963251,20.998024438401217,,,21.0323,2025-02-11 00:00:00,3,closed_profit,WIN,0.16
2025-02-05,CLM,baseline,7.0,0.7770249420613108,7.3234,,,7.3644,2025-02-11 00:00:00,3,closed_profit,WIN,0.56
2025-02-05,BGB,baseline,7.0,0.7770249420613108,11.562942419451801,,,11.5186,2025-02-12 00:00:00,3,closed_loss,LOSS,-0.38
2025-02-05,UGI,baseline,7.0,0.7327385114880889,,,,,,0,limit_expired,NO_ENTRY,0.0
2025-02-05,AOD,baseline,7.0,0.7770249420613108,7.723234627382448,,,7.7328,2025-02-12 00:00:00,3,closed_profit,WIN,0.12
2025-02-05,KGS,baseline,7.0,0.5362497840970734,45.02651483887415,,,43.1126,2025-02-11 00:00:00,3,closed_loss,LOSS,-4.25
2024-11-17,EVRG,baseline,8.0,0.8840702389451772,60.52865848292295,,,62.1147,2024-11-21 00:00:00,3,closed_profit,WIN,2.62
2024-11-17,HQY,baseline,8.0,0.5326602039928172,98.38612832175271,,,104.65,2024-11-21 00:00:00,3,closed_profit,WIN,6.37
2024-11-17,CHD,baseline,7.0,0.620995449563309,107.26285172099709,,,110.8438,2024-11-21 00:00:00,3,closed_profit,WIN,3.34
2024-11-17,BCS,baseline,6.0,0.6916871160548845,12.6385,,,12.6483,2024-11-22 00:00:00,3,closed_profit,WIN,0.08
2024-11-17,HMN,baseline,6.0,0.5214051399695692,39.342079294128126,,,39.3278,2024-11-21 00:00:00,3,closed_loss,LOSS,-0.04
2024-11-17,IRT,baseline,6.0,0.3330597921795805,,,,,,0,limit_expired,NO_ENTRY,0.0
2024-11-17,PG,baseline,6.0,0.5146454455470849,,,,,,0,limit_expired,NO_ENTRY,0.0
2024-11-17,MT,baseline,6.0,0.47966373494973025,24.5101,,,24.7168,2024-11-22 00:00:00,3,closed_profit,WIN,0.84
2024-11-17,PECO,baseline,6.0,0.40218204154975234,,,,,,0,limit_expired,NO_ENTRY,0.0
2024-11-17,DVY,baseline,6.0,0.7225896041575285,131.46121791124818,,,135.34358634822723,2024-11-22 00:00:00,3,success,WIN,2.95
2024-02-17,DFAE,baseline,8.0,0.7690267015034074,,,,,,0,limit_expired,NO_ENTRY,0.0
2024-02-17,SPEM,baseline,7.0,0.7770249420613108,,,,,,0,limit_expired,NO_ENTRY,0.0
2024-02-17,EPD,baseline,7.0,0.8090495345076857,,,,,,0,limit_expired,NO_ENTRY,0.0
2024-02-17,EWM,baseline,7.0,0.7770249420613108,,,,,,0,limit_expired,NO_ENTRY,0.0
2024-02-17,MUSA,baseline,7.0,0.40777501786844306,392.5351711829252,,,408.423,2024-02-26 00:00:00,3,closed_profit,WIN,4.05
2024-02-17,TRI,baseline,7.0,0.5857878750302395,155.2308,,,154.5279,2024-02-23 00:00:00,3,closed_loss,LOSS,-0.45
2024-02-17,IWR,baseline,6.0,0.7225896041575285,76.6655,,,77.9803,2024-02-23 00:00:00,3,closed_profit,WIN,1.71
2024-02-17,PDI,baseline,6.0,0.7225896041575285,14.680422112470724,,,14.409043660505171,2024-02-26 00:00:00,3,stopped_out,LOSS,-1.85
2024-02-17,EWQ,baseline,6.0,0.7225896041575285,,,,,,0,limit_expired,NO_ENTRY,0.0
2024-02-17,KOF,baseline,6.0,0.6610106670880378,92.26711158863289,,,91.215,2024-02-23 00:00:00,3,closed_loss,LOSS,-1.14
2025-08-13,YBIT,baseline,8.0,0.7690267015034074,42.2079,,,41.0204235,2025-08-18 00:00:00,2,stopped_out,LOSS,-2.81
2025-08-13,EVRG,baseline,8.0,0.8840702389451772,71.71673313424863,,,71.1845,2025-08-19 00:00:00,3,closed_loss,LOSS,-0.74
2025-08-13,MT,baseline,8.0,0.500773309959349,33.519,,,34.2738,2025-08-19 00:00:00,3,closed_profit,WIN,2.25
