symbol,issue
SOGP,SPIKE: 2 days with >50% move
SUGP,SPIKE: 2 days with >50% move
OSG,GAPS: Missing 357 business days (78.1% of range)
INBX,SPIKE: 1 days with >50% move
PMN,SPIKE: 1 days with >50% move
BBLN,SPIKE: 1 days with >50% move
ULTI,SPIKE: 1 days with >50% move
ULTI,GAPS: Missing 1698 business days (94.4% of range)
BCGWW,SPIKE: 2 days with >50% move
BCTX,SPIKE: 1 days with >50% move
BDRX,SPIKE: 3 days with >50% move
BDSX,SPIKE: 1 days with >50% move
BEAT,SPIKE: 2 days with >50% move
BEATW,SPIKE: 3 days with >50% move
BEEP,SPIKE: 1 days with >50% move
BEN,SPIKE: 1 days with >50% move
BENF,SPIKE: 3 days with >50% move
BENFW,SPIKE: 4 days with >50% move
VOR,SPIKE: 1 days with >50% move
BETRW,SPIKE: 1 days with >50% move
BFRGW,SPIKE: 1 days with >50% move
BGRY,GAPS: Missing 20 business days (16.7% of range)
BGRYW,SPIKE: 1 days with >50% move
MLYS,SPIKE: 1 days with >50% move
BIAF,SPIKE: 2 days with >50% move
BIAFW,SPIKE: 3 days with >50% move
BINI,SPIKE: 3 days with >50% move
BIYA,SPIKE: 2 days with >50% move
BJDX,SPIKE: 1 days with >50% move
RHLD,SPIKE: 1 days with >50% move
BKYI,SPIKE: 1 days with >50% move
GMRE,SPIKE: 1 days with >50% move
BLMZ,SPIKE: 2 days with >50% move
MTG,SPIKE: 3 days with >50% move
SPRU,SPIKE: 1 days with >50% move
QMMM,SPIKE: 1 days with >50% move
MFA,SPIKE: 3 days with >50% move
BNAI,SPIKE: 4 days with >50% move
BNAIW,SPIKE: 5 days with >50% move
BNKK,SPIKE: 1 days with >50% move
STI,SPIKE: 2 days with >50% move
MBX,SPIKE: 1 days with >50% move
BNZIW,SPIKE: 4 days with >50% move
FSK,SPIKE: 1 days with >50% move
BOWNU,SPIKE: 1 days with >50% move
BOXL,SPIKE: 13 days with >50% move
BRID,SPIKE: 1 days with >50% move
BRLIR,SPIKE: 1 days with >50% move
BRLIU,SPIKE: 1 days with >50% move
BRLS,SPIKE: 1 days with >50% move
BRLIW,SPIKE: 6 days with >50% move
OESX,SPIKE: 1 days with >50% move
TERN,SPIKE: 1 days with >50% move
SNEX,SPIKE: 1 days with >50% move
OMC,SPIKE: 1 days with >50% move
BSLKW,SPIKE: 2 days with >50% move
BTBD,SPIKE: 1 days with >50% move
BTBDW,SPIKE: 2 days with >50% move
BTMDW,SPIKE: 3 days with >50% move
BTTC,SPIKE: 1 days with >50% move
BUJA,SPIKE: 1 days with >50% move
BULLZ,SPIKE: 4 days with >50% move
MT,SPIKE: 2 days with >50% move
LOMA,SPIKE: 1 days with >50% move
MAMK,SPIKE: 1 days with >50% move
BYND,SPIKE: 2 days with >50% move
FRGE,SPIKE: 1 days with >50% move
HYMCW,SPIKE: 4 days with >50% move
HYMCW,GAPS: Missing 153 business days (60.5% of range)
CABR,SPIKE: 2 days with >50% move
CAPS,SPIKE: 9 days with >50% move
CAPR,SPIKE: 1 days with >50% move
CAPTW,SPIKE: 2 days with >50% move
VELO,SPIKE: 1 days with >50% move
CAUD,SPIKE: 37 days with >50% move
GSIT,SPIKE: 1 days with >50% move
CCCMW,SPIKE: 2 days with >50% move
CCCXW,SPIKE: 1 days with >50% move
CCGWW,SPIKE: 1 days with >50% move
CCHH,SPIKE: 2 days with >50% move
CCIXW,SPIKE: 1 days with >50% move
PEPG,SPIKE: 1 days with >50% move
CDLX,SPIKE: 1 days with >50% move
CDT,SPIKE: 1 days with >50% move
CDTTW,SPIKE: 1 days with >50% move
CDTG,SPIKE: 1 days with >50% move
CDTX,SPIKE: 1 days with >50% move
XBP,SPIKE: 1 days with >50% move
CELUW,SPIKE: 1 days with >50% move
CENN,SPIKE: 1 days with >50% move
CETX,SPIKE: 2 days with >50% move
CETY,SPIKE: 2 days with >50% move
CFMS,SPIKE: 1 days with >50% move
CGC,SPIKE: 1 days with >50% move
