symbol,issue
MDWD,SPIKE: 1 days with >50% move
MDXG,SPIKE: 9 days with >50% move
MEDP,SPIKE: 1 days with >50% move
MEGL,SPIKE: 8 days with >50% move
MEHA,SPIKE: 1 days with >50% move
MEOA,SPIKE: 1 days with >50% move
MOVE,SPIKE: 3 days with >50% move
MEOAW,SPIKE: 6 days with >50% move
MERC,SPIKE: 1 days with >50% move
MESO,SPIKE: 5 days with >50% move
MFIC,SPIKE: 1 days with >50% move
VWAV,SPIKE: 1 days with >50% move
MGRT,SPIKE: 2 days with >50% move
MHUA,SPIKE: 1 days with >50% move
MIGI,SPIKE: 2 days with >50% move
MIMI,SPIKE: 2 days with >50% move
MINM,SPIKE: 2 days with >50% move
MLACR,SPIKE: 1 days with >50% move
MLEC,SPIKE: 1 days with >50% move
MLECW,SPIKE: 3 days with >50% move
STOK,SPIKE: 1 days with >50% move
MNDR,SPIKE: 3 days with >50% move
MNTSW,SPIKE: 2 days with >50% move
MOBBW,SPIKE: 1 days with >50% move
MOBXW,SPIKE: 3 days with >50% move
MOGU,SPIKE: 1 days with >50% move
MPACW,SPIKE: 5 days with >50% move
SNCR,SPIKE: 1 days with >50% move
MPRAW,SPIKE: 7 days with >50% move
MREO,SPIKE: 5 days with >50% move
MRIN,SPIKE: 14 days with >50% move
MRM,SPIKE: 7 days with >50% move
MRKR,SPIKE: 4 days with >50% move
MRNO,SPIKE: 1 days with >50% move
MRNOW,SPIKE: 48 days with >50% move
MRSN,SPIKE: 5 days with >50% move
MRVI,SPIKE: 1 days with >50% move
MSAI,SPIKE: 4 days with >50% move
MSAIW,SPIKE: 32 days with >50% move
MSGM,SPIKE: 8 days with >50% move
MSGY,SPIKE: 2 days with >50% move
MSI,SPIKE: 2 days with >50% move
MSS,SPIKE: 2 days with >50% move
MSTR,SPIKE: 4 days with >50% move
MTC,SPIKE: 16 days with >50% move
MTCR,SPIKE: 1 days with >50% move
MTEK,SPIKE: 1 days with >50% move
MTEKW,SPIKE: 28 days with >50% move
MTEN,SPIKE: 3 days with >50% move
MTEX,SPIKE: 2 days with >50% move
MURFW,SPIKE: 3 days with >50% move
MYPSW,SPIKE: 1 days with >50% move
MYSEW,SPIKE: 1 days with >50% move
NAKAW,SPIKE: 3 days with >50% move
BEG,GAPS: Missing 2 business days (10.5% of range)
NAKA,SPIKE: 2 days with >50% move
BIDG,GAPS: Missing 2 business days (10.5% of range)
NAMMW,SPIKE: 2 days with >50% move
BIXIW,SPIKE: 1 days with >50% move
BPRE,GAPS: Missing 2 business days (10.5% of range)
NCEL,SPIKE: 1 days with >50% move
NCI,SPIKE: 1 days with >50% move
NCPL,SPIKE: 1 days with >50% move
NVAWW,SPIKE: 1 days with >50% move
NCPLW,SPIKE: 2 days with >50% move
NDACW,SPIKE: 16 days with >50% move
NEHCW,SPIKE: 2 days with >50% move
NEON,SPIKE: 1 days with >50% move
CISSV,GAPS: Missing 1 business days (16.7% of range)
NEOVW,SPIKE: 2 days with >50% move
CMCSV,GAPS: Missing 2 business days (13.3% of range)
NERV,SPIKE: 1 days with >50% move
NEUP,SPIKE: 2 days with >50% move
NGIO,ZERO_PRICE: 56 days with 0.0 price
NGIO,SPIKE: 6 days with >50% move
WSHP,SPIKE: 1 days with >50% move
NITO,SPIKE: 1 days with >50% move
NIVF,SPIKE: 1 days with >50% move
NIVFW,SPIKE: 2 days with >50% move
NIXXW,SPIKE: 3 days with >50% move
NMG,SPIKE: 1 days with >50% move
VALN,SPIKE: 1 days with >50% move
TSHA,SPIKE: 1 days with >50% move
NOACW,SPIKE: 5 days with >50% move
NOTE,SPIKE: 1 days with >50% move
PCG,SPIKE: 2 days with >50% move
NOVV,SPIKE: 1 days with >50% move
NOVVU,SPIKE: 1 days with >50% move
NOVVW,SPIKE: 2 days with >50% move
STRS,SPIKE: 1 days with >50% move
NPACW,SPIKE: 1 days with >50% move
SNPS,SPIKE: 1 days with >50% move
NRSNW,SPIKE: 1 days with >50% move
NRXPW,SPIKE: 1 days with >50% move
NTBL,SPIKE: 1 days with >50% move
NTCL,SPIKE: 1 days with >50% move
WBD,SPIKE: 1 days with >50% move
NUAI,SPIKE: 1 days with >50% move
NUAIW,SPIKE: 4 days with >50% move
NUKKW,SPIKE: 1 days with >50% move
NVNIW,SPIKE: 3 days with >50% move
NVNI,SPIKE: 3 days with >50% move
GEHCV,GAPS: Missing 2 business days (14.3% of range)
NVVE,SPIKE: 4 days with >50% move
GEVG,GAPS: Missing 2 business days (10.5% of range)
NVVEW,SPIKE: 1 days with >50% move
NXL,SPIKE: 1 days with >50% move
NXPLW,SPIKE: 9 days with >50% move
NXU,SPIKE: 3 days with >50% move
STLD,SPIKE: 1 days with >50% move
OAKUW,SPIKE: 2 days with >50% move
GRALV,GAPS: Missing 1 business days (11.1% of range)
OCG,SPIKE: 4 days with >50% move
SATS,SPIKE: 1 days with >50% move
ODVWZ,SPIKE: 2 days with >50% move
OHPAW,SPIKE: 21 days with >50% move
OKE,SPIKE: 2 days with >50% move
OKYO,SPIKE: 1 days with >50% move
OLK,GAPS: Missing 28 business days (21.9% of range)
ONEG,SPIKE: 1 days with >50% move
ONMDW,SPIKE: 2 days with >50% move
ONMD,SPIKE: 1 days with >50% move
OPAD,SPIKE: 2 days with >50% move
OPTN,SPIKE: 2 days with >50% move
RGC,SPIKE: 1 days with >50% move
OPTXW,SPIKE: 2 days with >50% move
ORBS,SPIKE: 1 days with >50% move
ORGNW,SPIKE: 2 days with >50% move
ORIQW,SPIKE: 1 days with >50% move
ORIS,SPIKE: 1 days with >50% move
IGAC,GAPS: Missing 2 business days (11.8% of range)
ORKT,SPIKE: 2 days with >50% move
IGACR,GAPS: Missing 2 business days (12.5% of range)
OSRH,SPIKE: 1 days with >50% move
OSRHW,SPIKE: 1 days with >50% move
ILMNV,GAPS: Missing 1 business days (20.0% of range)
IMPPV,GAPS: Missing 1 business days (16.7% of range)
OTMO,SPIKE: 1 days with >50% move
OTLK,SPIKE: 2 days with >50% move
OTMOW,SPIKE: 5 days with >50% move
OUSTW,SPIKE: 6 days with >50% move
OUSTZ,SPIKE: 1 days with >50% move
OWLS,SPIKE: 1 days with >50% move
PACS,SPIKE: 1 days with >50% move
PACXW,SPIKE: 13 days with >50% move
PALI,SPIKE: 1 days with >50% move
PASW,SPIKE: 1 days with >50% move
PAVM,SPIKE: 1 days with >50% move
PAVS,SPIKE: 2 days with >50% move
PBMWW,SPIKE: 1 days with >50% move
PCLA,SPIKE: 3 days with >50% move
PCSA,SPIKE: 1 days with >50% move
PELIR,SPIKE: 1 days with >50% move
KLAG,GAPS: Missing 2 business days (11.1% of range)
PEPLW,SPIKE: 10 days with >50% move
PETS,SPIKE: 1 days with >50% move
PFAI,SPIKE: 1 days with >50% move
STLA,SPIKE: 1 days with >50% move
PFSA,SPIKE: 2 days with >50% move
PGACR,SPIKE: 1 days with >50% move
PHM,SPIKE: 2 days with >50% move
PHX,SPIKE: 3 days with >50% move
PIIIW,SPIKE: 14 days with >50% move
PLMIW,SPIKE: 10 days with >50% move
LBDKV,SPIKE: 1 days with >50% move
SVRA,SPIKE: 12 days with >50% move
SNSE,SPIKE: 2 days with >50% move
SLNHP,SPIKE: 1 days with >50% move
LGVNV,SPIKE: 1 days with >50% move
PMAX,SPIKE: 1 days with >50% move
PMCB,SPIKE: 1 days with >50% move
POM,SPIKE: 1 days with >50% move
PPBT,SPIKE: 1 days with >50% move
LPCVU,GAPS: Missing 2 business days (11.8% of range)
XWIN,SPIKE: 1 days with >50% move
PRHI,SPIKE: 1 days with >50% move
PRLD,SPIKE: 2 days with >50% move
PRPH,SPIKE: 1 days with >50% move
PRSO,SPIKE: 1 days with >50% move
PSIG,SPIKE: 1 days with >50% move
PSNYW,SPIKE: 3 days with >50% move
PSTX,SPIKE: 1 days with >50% move
UCFI,SPIKE: 1 days with >50% move
UFPI,SPIKE: 1 days with >50% move
PTHRW,SPIKE: 7 days with >50% move
PTIX,SPIKE: 1 days with >50% move
PTLE,SPIKE: 1 days with >50% move
PTIXW,SPIKE: 4 days with >50% move
PVL,SPIKE: 1 days with >50% move
PWM,SPIKE: 1 days with >50% move
MDLN,GAPS: Missing 2 business days (11.1% of range)
QCLS,SPIKE: 1 days with >50% move
MEMA,GAPS: Missing 2 business days (11.1% of range)
QH,SPIKE: 2 days with >50% move
METBV,GAPS: Missing 1 business days (25.0% of range)
METCV,GAPS: Missing 1 business days (25.0% of range)
QTTB,SPIKE: 1 days with >50% move
SGML,SPIKE: 2 days with >50% move
RAAQW,SPIKE: 1 days with >50% move
RANI,SPIKE: 2 days with >50% move
RANGR,SPIKE: 1 days with >50% move
RAPP,SPIKE: 1 days with >50% move
RAY,SPIKE: 2 days with >50% move
RAYA,SPIKE: 1 days with >50% move
REX,SPIKE: 1 days with >50% move
RBNE,SPIKE: 1 days with >50% move
RCKTW,SPIKE: 1 days with >50% move
RCT,SPIKE: 1 days with >50% move
RDFN,SPIKE: 1 days with >50% move
RDGT,SPIKE: 1 days with >50% move
OST,SPIKE: 5 days with >50% move
RDZNW,SPIKE: 1 days with >50% move
REE,SPIKE: 2 days with >50% move
RELIW,SPIKE: 1 days with >50% move
RENX,SPIKE: 1 days with >50% move
RETO,SPIKE: 1 days with >50% move
REUN,SPIKE: 1 days with >50% move
RFAIR,SPIKE: 1 days with >50% move
RGLS,SPIKE: 1 days with >50% move
RJET,SPIKE: 1 days with >50% move
RILY,SPIKE: 1 days with >50% move
RILYP,SPIKE: 1 days with >50% move
SOHOO,SPIKE: 1 days with >50% move
RITR,SPIKE: 1 days with >50% move
RMCOW,SPIKE: 1 days with >50% move
RMSGW,SPIKE: 1 days with >50% move
TC,SPIKE: 1 days with >50% move
NIOG,GAPS: Missing 2 business days (10.5% of range)
TDUP,SPIKE: 4 days with >50% move
RNWWW,SPIKE: 6 days with >50% move
ROI,SPIKE: 1 days with >50% move
RPGL,SPIKE: 2 days with >50% move
RSVRW,SPIKE: 1 days with >50% move
RUBI,SPIKE: 2 days with >50% move
STM,SPIKE: 1 days with >50% move
RVMDW,SPIKE: 3 days with >50% move
RVPHW,SPIKE: 3 days with >50% move
RVSN,SPIKE: 1 days with >50% move
RVSNW,SPIKE: 3 days with >50% move
RVYL,SPIKE: 2 days with >50% move
RXDX,SPIKE: 1 days with >50% move
WAL,SPIKE: 1 days with >50% move
RYOJ,SPIKE: 2 days with >50% move
RZLT,SPIKE: 1 days with >50% move
SABSW,SPIKE: 1 days with >50% move
SAIHW,SPIKE: 2 days with >50% move
VYX,SPIKE: 2 days with >50% move
TRIL,GAPS: Missing 1010 business days (91.0% of range)
SBFMW,SPIKE: 1 days with >50% move
SBIGW,SPIKE: 7 days with >50% move
STT,SPIKE: 1 days with >50% move
SCMAW,SPIKE: 8 days with >50% move
SCNX,SPIKE: 1 days with >50% move
SCWO,SPIKE: 2 days with >50% move
SDAWW,SPIKE: 1 days with >50% move
SDM,SPIKE: 1 days with >50% move
SDOT,SPIKE: 1 days with >50% move
SDST,SPIKE: 1 days with >50% move
SDSTW,SPIKE: 2 days with >50% move
SEATW,SPIKE: 1 days with >50% move
SEGG,SPIKE: 1 days with >50% move
SELX,SPIKE: 1 days with >50% move
SEV,SPIKE: 1 days with >50% move
PBRG,GAPS: Missing 2 business days (10.5% of range)
SFRT,ZERO_PRICE: 3 days with 0.0 price
SFRT,SPIKE: 3 days with >50% move
SFRTW,ZERO_PRICE: 77 days with 0.0 price
SFRTW,SPIKE: 1 days with >50% move
SGBX,SPIKE: 3 days with >50% move
SGTX,SPIKE: 2 days with >50% move
SHFS,SPIKE: 2 days with >50% move
SHFSW,SPIKE: 3 days with >50% move
SIDU,SPIKE: 1 days with >50% move
SKBL,SPIKE: 1 days with >50% move
WAB,SPIKE: 1 days with >50% move
SKYE,SPIKE: 1 days with >50% move
SKYQ,SPIKE: 3 days with >50% move
SLDP,SPIKE: 1 days with >50% move
SLDPW,SPIKE: 2 days with >50% move
SLE,SPIKE: 1 days with >50% move
SLMT,SPIKE: 2 days with >50% move
SLNH,SPIKE: 2 days with >50% move
SLRX,SPIKE: 2 days with >50% move
SMXWW,SPIKE: 4 days with >50% move
ZBIO,SPIKE: 1 days with >50% move
WVE,SPIKE: 1 days with >50% move
RENB,SPIKE: 1 days with >50% move
SNGX,SPIKE: 11 days with >50% move
SNOA,SPIKE: 12 days with >50% move
SNTG,SPIKE: 1 days with >50% move
SNT,SPIKE: 2 days with >50% move
SOBR,SPIKE: 1 days with >50% move
SOHO,SPIKE: 2 days with >50% move
SOLOW,SPIKE: 14 days with >50% move
SPHL,SPIKE: 1 days with >50% move
SPKLW,SPIKE: 1 days with >50% move
SPRC,SPIKE: 2 days with >50% move
SPTKW,SPIKE: 6 days with >50% move
SRM,SPIKE: 2 days with >50% move
SRZNW,SPIKE: 6 days with >50% move
SSKN,SPIKE: 1 days with >50% move
SCPQU,GAPS: Missing 2 business days (13.3% of range)
STEC,SPIKE: 2 days with >50% move
STFS,SPIKE: 1 days with >50% move
SGBXV,SPIKE: 1 days with >50% move
STKH,SPIKE: 1 days with >50% move
SNDL,SPIKE: 4 days with >50% move
SNES,SPIKE: 8 days with >50% move
STRO,SPIKE: 1 days with >50% move
STSSW,SPIKE: 21 days with >50% move
STSS,SPIKE: 8 days with >50% move
SONM,SPIKE: 1 days with >50% move
STTK,SPIKE: 2 days with >50% move
SOPA,SPIKE: 3 days with >50% move
SHOT,SPIKE: 1 days with >50% move
SHOT,GAPS: Missing 538 business days (99.6% of range)
SIFYR,SPIKE: 1 days with >50% move
SVCCW,SPIKE: 1 days with >50% move
SQFTW,SPIKE: 1 days with >50% move
SQNS,SPIKE: 1 days with >50% move
SVRE,SPIKE: 1 days with >50% move
SVREW,SPIKE: 8 days with >50% move
SVRN,SPIKE: 1 days with >50% move
SWAGW,SPIKE: 7 days with >50% move
SRAX,SPIKE: 17 days with >50% move
SWET,GAPS: Missing 21 business days (17.4% of range)
SWETW,SPIKE: 12 days with >50% move
SXTC,SPIKE: 1 days with >50% move
SYRA,SPIKE: 2 days with >50% move
TALKW,SPIKE: 1 days with >50% move
SNAG,GAPS: Missing 2 business days (11.1% of range)
SNDKV,GAPS: Missing 1 business days (14.3% of range)
TBLAW,SPIKE: 2 days with >50% move
TBSAW,SPIKE: 12 days with >50% move
TDIC,SPIKE: 1 days with >50% move
TGE,SPIKE: 2 days with >50% move
TGI,SPIKE: 1 days with >50% move
THAR,SPIKE: 1 days with >50% move
SVAQU,GAPS: Missing 2 business days (13.3% of range)
TIRX,SPIKE: 1 days with >50% move
TLNCW,SPIKE: 1 days with >50% move
TNMG,SPIKE: 1 days with >50% move
TNONW,SPIKE: 1 days with >50% move
TOPW,SPIKE: 1 days with >50% move
TOROV,SPIKE: 1 days with >50% move
TOROV,GAPS: Missing 547 business days (99.1% of range)
TRUE,SPIKE: 1 days with >50% move
TSIBW,SPIKE: 19 days with >50% move
TURB,SPIKE: 1 days with >50% move
TVACW,SPIKE: 1 days with >50% move
TVRD,SPIKE: 1 days with >50% move
TWCBW,SPIKE: 8 days with >50% move
TWG,SPIKE: 2 days with >50% move
UGRO,SPIKE: 1 days with >50% move
UHG,SPIKE: 1 days with >50% move
UHGWW,SPIKE: 3 days with >50% move
UPC,SPIKE: 1 days with >50% move
UKOMW,SPIKE: 4 days with >50% move
USX,SPIKE: 1 days with >50% move
ULY,SPIKE: 1 days with >50% move
VALG,GAPS: Missing 2 business days (11.8% of range)
VANI,SPIKE: 8 days with >50% move
VATE,SPIKE: 3 days with >50% move
VCIG,SPIKE: 9 days with >50% move
VCICW,SPIKE: 1 days with >50% move
VCXAW,SPIKE: 6 days with >50% move
VEEE,SPIKE: 5 days with >50% move
VHCPU,GAPS: Missing 2 business days (11.1% of range)
VGASW,SPIKE: 1 days with >50% move
VINO,SPIKE: 9 days with >50% move
VIVK,SPIKE: 3 days with >50% move
VLCN,SPIKE: 2 days with >50% move
VLN,SPIKE: 1 days with >50% move
VMAR,SPIKE: 2 days with >50% move
VMGAW,SPIKE: 11 days with >50% move
VNCE,SPIKE: 1 days with >50% move
VRAX,SPIKE: 1 days with >50% move
VRME,SPIKE: 1 days with >50% move
VSA,SPIKE: 3 days with >50% move
VSEE,SPIKE: 2 days with >50% move
VSEEW,SPIKE: 4 days with >50% move
VSME,SPIKE: 1 days with >50% move
VSNTV,GAPS: Missing 2 business days (13.3% of range)
VSSYW,SPIKE: 3 days with >50% move
VSTD,SPIKE: 1 days with >50% move
WAFU,SPIKE: 7 days with >50% move
WAI,SPIKE: 7 days with >50% move
WALDW,SPIKE: 7 days with >50% move
WATT,SPIKE: 9 days with >50% move
WBUY,SPIKE: 10 days with >50% move
WBUY,GAPS: Missing 74 business days (12.7% of range)
WBX,SPIKE: 1 days with >50% move
WCT,SPIKE: 3 days with >50% move
WDCVV,GAPS: Missing 1 business days (12.5% of range)
WENA,SPIKE: 2 days with >50% move
WENAW,SPIKE: 5 days with >50% move
WGRX,SPIKE: 2 days with >50% move
WHLR,SPIKE: 3 days with >50% move
WLACW,SPIKE: 1 days with >50% move
WLDS,SPIKE: 2 days with >50% move
WLDSW,SPIKE: 1 days with >50% move
WNS,SPIKE: 1 days with >50% move
WNS,GAPS: Missing 410 business days (80.4% of range)
WOK,SPIKE: 4 days with >50% move
WSTNU,GAPS: Missing 9 business days (18.0% of range)
WTO,SPIKE: 3 days with >50% move
WWACU,SPIKE: 1 days with >50% move
WXM,SPIKE: 1 days with >50% move
WYTC,SPIKE: 1 days with >50% move
XBIO,SPIKE: 1 days with >50% move
XBPEW,SPIKE: 2 days with >50% move
XCH,SPIKE: 1 days with >50% move
XHLD,SPIKE: 2 days with >50% move
XOSWW,SPIKE: 1 days with >50% move
XPDB,SPIKE: 1 days with >50% move
XPDBW,SPIKE: 4 days with >50% move
YAAS,SPIKE: 2 days with >50% move
YDESW,SPIKE: 2 days with >50% move
YDKG,SPIKE: 2 days with >50% move
YHNAR,SPIKE: 1 days with >50% move
YHGJ,SPIKE: 2 days with >50% move
YYGH,SPIKE: 1 days with >50% move
UFG,SPIKE: 3 days with >50% move
VERB,SPIKE: 1 days with >50% move
VERI,SPIKE: 1 days with >50% move
VTGN,SPIKE: 1 days with >50% move
VVOS,SPIKE: 7 days with >50% move
VVPR,SPIKE: 13 days with >50% move
VWAVW,SPIKE: 3 days with >50% move
VYGR,SPIKE: 1 days with >50% move
VYNE,SPIKE: 5 days with >50% move
XTKG,SPIKE: 2 days with >50% move
XTLB,SPIKE: 1 days with >50% move
ZNB,SPIKE: 3 days with >50% move
ZWZZT,SPIKE: 29 days with >50% move
ZWZZT,GAPS: Missing 206 business days (67.3% of range)
ZYNE,SPIKE: 1 days with >50% move
ZYXI,SPIKE: 2 days with >50% move
BPAC,GAPS: Missing 688 business days (66.5% of range)
BVC,SPIKE: 1 days with >50% move
BVC,GAPS: Missing 2 business days (14.3% of range)
VSNT,GAPS: Missing 13 business days (61.9% of range)
WSTN,GAPS: Missing 1 business days (11.1% of range)
WSTNR,GAPS: Missing 1 business days (11.1% of range)
ABNY,SPIKE: 1 days with >50% move
ADX,SPIKE: 1 days with >50% move
AMBO,SPIKE: 1 days with >50% move
AMDY,SPIKE: 1 days with >50% move
AMLP,SPIKE: 1 days with >50% move
APPX,SPIKE: 1 days with >50% move
ARMP,SPIKE: 1 days with >50% move
ATCH,SPIKE: 4 days with >50% move
AWX,SPIKE: 1 days with >50% move
BGI,SPIKE: 1 days with >50% move
BNDD,SPIKE: 1 days with >50% move
BQ,SPIKE: 4 days with >50% move
BRIA,SPIKE: 1 days with >50% move
BTF,SPIKE: 1 days with >50% move
BURU,SPIKE: 1 days with >50% move
BZQ,SPIKE: 1 days with >50% move
CANF,SPIKE: 1 days with >50% move
CHOW,SPIKE: 1 days with >50% move
CNBS,SPIKE: 1 days with >50% move
CONY,SPIKE: 1 days with >50% move
COPRD,SPIKE: 9 days with >50% move
COPRD,GAPS: Missing 613 business days (86.0% of range)
CRSH,SPIKE: 1 days with >50% move
CTEC,SPIKE: 1 days with >50% move
DDM,SPIKE: 1 days with >50% move
DIPS,SPIKE: 1 days with >50% move
DJTU,SPIKE: 1 days with >50% move
DZZ,SPIKE: 1 days with >50% move
EDZ,SPIKE: 1 days with >50% move
EEV,SPIKE: 1 days with >50% move
EONRWS,SPIKE: 3 days with >50% move
ESP,SPIKE: 1 days with >50% move
ESSC,SPIKE: 1 days with >50% move
ESSC,GAPS: Missing 776 business days (51.2% of range)
ETH,SPIKE: 1 days with >50% move
ETHD,SPIKE: 1 days with >50% move
FAZ,SPIKE: 1 days with >50% move
FFC,SPIKE: 1 days with >50% move
FIAT,SPIKE: 1 days with >50% move
FLYX,SPIKE: 1 days with >50% move
FSI,SPIKE: 16 days with >50% move
FTPA,GAPS: Missing 699 business days (87.5% of range)
FXP,SPIKE: 1 days with >50% move
GDXD,SPIKE: 1 days with >50% move
GEMG,SPIKE: 1 days with >50% move
GLL,SPIKE: 1 days with >50% move
GNOM,SPIKE: 1 days with >50% move
GRFX,SPIKE: 2 days with >50% move
GSC,SPIKE: 17 days with >50% move
HEAL,SPIKE: 1 days with >50% move
HOOX,SPIKE: 1 days with >50% move
IAF,SPIKE: 1 days with >50% move
IHE,SPIKE: 1 days with >50% move
IHT,SPIKE: 3 days with >50% move
IJH,SPIKE: 1 days with >50% move
IJJ,SPIKE: 1 days with >50% move
IJK,SPIKE: 1 days with >50% move
IJR,SPIKE: 2 days with >50% move
IJS,SPIKE: 1 days with >50% move
IJT,SPIKE: 2 days with >50% move
ILCB,SPIKE: 1 days with >50% move
ILCG,SPIKE: 1 days with >50% move
ILCV,SPIKE: 1 days with >50% move
ILF,SPIKE: 1 days with >50% move
IONL,SPIKE: 1 days with >50% move
IONZ,SPIKE: 1 days with >50% move
KNW,SPIKE: 2 days with >50% move
KROP,SPIKE: 1 days with >50% move
KULR,SPIKE: 8 days with >50% move
LABD,SPIKE: 1 days with >50% move
LIT,SPIKE: 1 days with >50% move
LODE,SPIKE: 13 days with >50% move
LPA,SPIKE: 6 days with >50% move
LTL,SPIKE: 1 days with >50% move
LUD,SPIKE: 1 days with >50% move
MCRP,SPIKE: 1 days with >50% move
MDYG,SPIKE: 1 days with >50% move
MDYV,SPIKE: 1 days with >50% move
MEXX,SPIKE: 2 days with >50% move
MHY,SPIKE: 1 days with >50% move
MHY,GAPS: Missing 2361 business days (95.9% of range)
MLPI,GAPS: Missing 2 business days (10.5% of range)
MMA,SPIKE: 1 days with >50% move
MRNY,SPIKE: 1 days with >50% move
MRT,GAPS: Missing 1117 business days (46.1% of range)
MSN,SPIKE: 3 days with >50% move
MSOS,SPIKE: 1 days with >50% move
MSOX,SPIKE: 8 days with >50% move
MSTX,SPIKE: 1 days with >50% move
MSTY,SPIKE: 1 days with >50% move
MTA,SPIKE: 1 days with >50% move
NBY,SPIKE: 4 days with >50% move
NCL,SPIKE: 1 days with >50% move
NMBL,SPIKE: 1 days with >50% move
NMBL,GAPS: Missing 2188 business days (95.6% of range)
NVA,SPIKE: 2 days with >50% move
NVDD,SPIKE: 1 days with >50% move
NVDS,SPIKE: 1 days with >50% move
OARK,SPIKE: 1 days with >50% move
OIH,SPIKE: 2 days with >50% move
OILD,SPIKE: 4 days with >50% move
OILD,GAPS: Missing 492 business days (21.4% of range)
OKLL,SPIKE: 1 days with >50% move
OXLC,SPIKE: 1 days with >50% move
PAPL,SPIKE: 2 days with >50% move
PCLN,SPIKE: 1 days with >50% move
PCLN,GAPS: Missing 1998 business days (95.2% of range)
PHD,SPIKE: 1 days with >50% move
PHD,GAPS: Missing 59 business days (37.1% of range)
PHGE,SPIKE: 1 days with >50% move
PLTZ,SPIKE: 1 days with >50% move
PMI,SPIKE: 2 days with >50% move
PTN,SPIKE: 1 days with >50% move
PYPY,SPIKE: 1 days with >50% move
QLD,SPIKE: 1 days with >50% move
REW,SPIKE: 1 days with >50% move
RKLX,SPIKE: 1 days with >50% move
RNRG,SPIKE: 1 days with >50% move
RWK,SPIKE: 1 days with >50% move
SATX,SPIKE: 1 days with >50% move
SBEV,SPIKE: 1 days with >50% move
SCPX,SPIKE: 36 days with >50% move
SDS,SPIKE: 1 days with >50% move
SENS,SPIKE: 1 days with >50% move
SETH,SPIKE: 1 days with >50% move
SGN,SPIKE: 1 days with >50% move
SMCZ,SPIKE: 1 days with >50% move
SOQ,ZERO_PRICE: 95 days with 0.0 price
SOQ,SPIKE: 2 days with >50% move
SPXS,SPIKE: 1 days with >50% move
SPXU,SPIKE: 1 days with >50% move
SQQQ,SPIKE: 1 days with >50% move
SRTY,SPIKE: 1 days with >50% move
SSG,SPIKE: 1 days with >50% move
SSO,SPIKE: 1 days with >50% move
STRN,SPIKE: 11 days with >50% move
STRN,GAPS: Missing 2770 business days (40.5% of range)
SVT,SPIKE: 1 days with >50% move
TFI,SPIKE: 1 days with >50% move
TMDE,SPIKE: 1 days with >50% move
TMQ,SPIKE: 2 days with >50% move
TOPP,SPIKE: 1 days with >50% move
TOVX,SPIKE: 1 days with >50% move
TQQQ,SPIKE: 1 days with >50% move
TSLI,GAPS: Missing 581 business days (85.3% of range)
TSLQ,SPIKE: 1 days with >50% move
TSLY,SPIKE: 1 days with >50% move
TYG,SPIKE: 4 days with >50% move
TZA,SPIKE: 6 days with >50% move
UAVS,SPIKE: 1 days with >50% move
UDOW,SPIKE: 1 days with >50% move
UGL,SPIKE: 1 days with >50% move
ULTY,SPIKE: 1 days with >50% move
UMAC,SPIKE: 2 days with >50% move
UPW,SPIKE: 1 days with >50% move
USAS,SPIKE: 1 days with >50% move
USD,SPIKE: 1 days with >50% move
UUU,SPIKE: 1 days with >50% move
VNTG,SPIKE: 1 days with >50% move
VXF,SPIKE: 1 days with >50% move
WEAT,SPIKE: 1 days with >50% move
XLB,SPIKE: 1 days with >50% move
XLE,SPIKE: 1 days with >50% move
XLU,SPIKE: 1 days with >50% move
XXV,GAPS: Missing 1988 business days (95.2% of range)
XYZY,SPIKE: 1 days with >50% move
YBIT,SPIKE: 1 days with >50% move
YCBD,SPIKE: 3 days with >50% move
YXI,SPIKE: 1 days with >50% move
ZONE,SPIKE: 1 days with >50% move
EPAI,GAPS: Missing 2 business days (11.1% of range)
FJET,SPIKE: 2 days with >50% move
FJET,GAPS: Missing 2 business days (11.8% of range)
KUST,SPIKE: 1 days with >50% move
MATE,GAPS: Missing 2 business days (10.5% of range)
STBQ,GAPS: Missing 2 business days (13.3% of range)
TKNQ,GAPS: Missing 2 business days (13.3% of range)
TMLP,GAPS: Missing 2 business days (13.3% of range)
TNUK,GAPS: Missing 2 business days (10.5% of range)
VGRO,GAPS: Missing 2 business days (13.3% of range)
