indicator,weight,total_trades,wins,losses,timeouts,win_rate,sharpe_ratio,total_pnl,avg_win,avg_loss,statistically_valid,beats_baseline
SUPERTREND,0.5,19,8,11,0,0.42105263157894735,-0.05634007420356105,-0.6400000000000015,2.90875,-2.173636363636364,False,False
SUPERTREND,1.0,61,29,32,0,0.47540983606557374,-0.3702237038956267,-14.570000000000002,2.1072413793103446,-2.365,True,False
SUPERTREND,1.5,80,49,31,0,0.6125,1.2839106873893664,90.27999999999997,3.127959183673469,-2.031935483870968,True,True
SUPERTREND,2.0,73,28,45,0,0.3835616438356164,-1.1570189027993136,-74.86000000000001,1.9846428571428572,-2.8984444444444444,True,False
