indicator,weight,total_trades,wins,losses,timeouts,win_rate,sharpe_ratio,total_pnl,avg_win,avg_loss,statistically_valid,beats_baseline
ADX,0.5,40,6,34,0,0.15,-2.5227742724742246,-127.86,1.1216666666666666,-3.958529411764706,True,False
ADX,1.0,63,36,27,0,0.5714285714285714,1.2516564996864326,73.92,3.358888888888889,-1.7407407407407407,True,True
ADX,1.5,73,24,49,0,0.3287671232876712,-1.6946836462038155,-107.86999999999999,1.7858333333333334,-3.0761224489795915,True,False
ADX,2.0,26,13,13,0,0.5,-0.5970151740425006,-6.129999999999999,1.383076923076923,-1.8546153846153846,False,False
STOCHASTIC,0.5,10,5,5,0,0.5,5.509288376879574,10.070000000000002,3.664,-1.6499999999999997,False,True
STOCHASTIC,1.0,50,20,30,0,0.4,-1.2147693523765306,-30.0,1.0145000000000002,-1.6763333333333335,True,False
STOCHASTIC,1.5,72,37,35,0,0.5138888888888888,-0.8154387585869848,-58.239999999999995,2.228918918918919,-4.020285714285714,True,False
STOCHASTIC,2.0,61,30,31,0,0.4918032786885246,0.14216289120581121,7.0500000000000025,2.5643333333333334,-2.2541935483870965,True,False
