strategy,pair,direction,entry_mode,entry_ts,exit_ts,r
stoch,CAD_CHF,short,mid,2016-04-24 21:00:00,2016-04-28 09:00:00,0.4999999999999928
stoch,CAD_CHF,short,mid,2016-04-26 21:00:00,2016-04-27 17:00:00,0.4999999999999928
stoch,CAD_CHF,short,mid,2016-04-27 09:00:00,2016-04-27 17:00:00,0.5
stoch,CAD_CHF,short,mid,2016-05-05 13:00:00,2016-05-06 09:00:00,0.5000000000000073
stoch,CAD_CHF,short,mid,2016-05-06 09:00:00,2016-05-10 21:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-05-08 21:00:00,2016-05-09 09:00:00,0.4999999999999926
stoch,CAD_CHF,short,mid,2016-05-10 21:00:00,2016-05-24 05:00:00,0.4999999999999927
stoch,CAD_CHF,short,mid,2016-05-11 17:00:00,2016-05-24 05:00:00,0.5
stoch,CAD_CHF,short,mid,2016-05-16 17:00:00,2016-05-17 13:00:00,0.4999999999999927
stoch,CAD_CHF,short,mid,2016-05-17 05:00:00,2016-05-17 13:00:00,0.5000000000000073
stoch,CAD_CHF,short,mid,2016-05-18 17:00:00,2016-05-19 13:00:00,0.5
stoch,CAD_CHF,short,mid,2016-05-25 01:00:00,2016-05-26 05:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-05-25 21:00:00,2016-05-26 09:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-05-26 05:00:00,2016-05-27 09:00:00,0.5000000000000073
stoch,CAD_CHF,short,mid,2016-05-26 13:00:00,2016-05-31 09:00:00,0.5
stoch,CAD_CHF,short,mid,2016-06-01 05:00:00,2016-06-01 13:00:00,0.5
stoch,CAD_CHF,short,mid,2016-06-03 09:00:00,2016-06-06 05:00:00,0.5000000000000073
stoch,CAD_CHF,short,mid,2016-06-07 05:00:00,2016-06-13 17:00:00,0.5
stoch,CAD_CHF,short,mid,2016-06-07 21:00:00,2016-06-13 01:00:00,0.5000000000000073
stoch,CAD_CHF,short,mid,2016-06-08 09:00:00,2016-06-08 17:00:00,0.5000000000000073
stoch,CAD_CHF,short,mid,2016-06-09 21:00:00,2016-06-13 01:00:00,0.5
stoch,CAD_CHF,short,mid,2016-06-10 13:00:00,2016-06-13 21:00:00,0.4999999999999926
stoch,CAD_CHF,short,mid,2016-06-17 01:00:00,2016-06-22 09:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-06-17 13:00:00,2016-06-22 09:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-06-20 17:00:00,2016-06-22 17:00:00,0.5
stoch,CAD_CHF,short,mid,2016-06-21 05:00:00,2016-06-22 13:00:00,0.5
stoch,CAD_CHF,short,mid,2016-06-22 05:00:00,2016-06-22 21:00:00,0.5
stoch,CAD_CHF,short,mid,2016-06-23 13:00:00,2016-06-23 21:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-06-28 09:00:00,2016-07-12 13:00:00,-1.0
stoch,CAD_CHF,short,mid,2016-06-28 21:00:00,2016-07-11 13:00:00,0.5
stoch,CAD_CHF,short,mid,2016-06-29 09:00:00,2016-06-30 13:00:00,0.5
stoch,CAD_CHF,short,mid,2016-06-29 21:00:00,2016-06-30 13:00:00,0.4999999999999927
stoch,CAD_CHF,short,mid,2016-07-04 09:00:00,2016-07-05 05:00:00,0.5
stoch,CAD_CHF,short,mid,2016-07-07 09:00:00,2016-07-08 05:00:00,0.5
stoch,CAD_CHF,short,mid,2016-07-12 13:00:00,2016-07-13 09:00:00,0.5
stoch,CAD_CHF,short,mid,2016-07-13 21:00:00,2016-07-14 09:00:00,0.4999999999999927
stoch,CAD_CHF,short,mid,2016-07-14 05:00:00,2016-07-20 13:00:00,0.5
