drag_pct_per_day,drag_bp_per_day,instrument,family,cell,timeframe,entry_mode,direction,n,mean_r,baseline_mean_r,excess_r,drag_pct_per_day_to_zero_excess,excess_ci_low,excess_ci_high
5e-05,0.5,WTICO_USD,trend,supertrend10x3,D1,market,1,1615,-0.21890278530507973,-0.2716584407270278,0.052755655421948044,0.01233686932853153,nan,nan
5e-05,0.5,WTICO_USD,trend,supertrend10x3,H4,limit,-1,7715,0.13696687721804185,0.12475816079153289,0.012208716426508961,nan,nan,nan
5e-05,0.5,WTICO_USD,trend,supertrend10x3,H4,limit,1,8331,0.1652649687673381,0.14882731367108715,0.016437655096250947,0.004505598712869655,nan,nan
5e-05,0.5,WTICO_USD,trend,supertrend10x3,H4,market,-1,7715,-0.11748558569260713,-0.12215993446360442,0.004674348770997289,nan,nan,nan
5e-05,0.5,WTICO_USD,trend,supertrend10x3,H4,market,1,8331,-0.06926225284115246,-0.08859349617854265,0.019331243337390183,0.005508721404436833,nan,nan
5e-05,0.5,WTICO_USD,trend,tsmom63,D1,limit,1,1696,-0.049362258091974774,-0.08404432538762259,0.034682067295647816,0.01065077146426627,nan,nan
5e-05,0.5,WTICO_USD,trend,tsmom63,D1,market,1,1696,-0.26405052697504666,-0.2716584407270278,0.00760791375198111,0.0017030460989768531,nan,nan
5e-05,0.5,WTICO_USD,trend,tsmom63,H4,limit,1,9021,0.16636338676035622,0.14882731367108715,0.017536073089269077,0.0051651029344947025,nan,nan
5e-05,0.5,WTICO_USD,trend,tsmom63,H4,market,1,9021,-0.07927095854835822,-0.08859349617854265,0.009322537630184424,0.0028185746067703405,nan,nan
5e-05,0.5,XAG_USD,mr_under_limit,atr_range_exp,H4,limit,1,2258,0.14308081959902721,0.11797529294278655,0.025105526656240662,nan,nan,nan
5e-05,0.5,XAG_USD,mr_under_limit,atr_range_exp,H4,market,1,2258,-0.09159095186981094,-0.12789214609379598,0.03630119422398505,nan,nan,nan
5e-05,0.5,XAG_USD,trend,donchian55,D1,market,1,136,-0.18499364495072337,-0.2185931609584371,0.033599516007713714,nan,nan,nan
5e-05,0.5,XAG_USD,trend,supertrend10x3,D1,limit,-1,1467,0.05079623977617521,0.00935565457978179,0.04144058519639342,nan,nan,nan
5e-05,0.5,XAG_USD,trend,supertrend10x3,D1,limit,1,1690,-0.004823697683932508,-0.015320858239854778,0.01049716055592227,nan,nan,nan
5e-05,0.5,XAG_USD,trend,supertrend10x3,D1,market,-1,1467,-0.1880321206809624,-0.21957231446443834,0.031540193783475945,nan,nan,nan
5e-05,0.5,XAG_USD,trend,supertrend10x3,D1,market,1,1690,-0.21531964879475227,-0.2185931609584371,0.003273512163684822,nan,nan,nan
5e-05,0.5,XAG_USD,trend,supertrend10x3,H4,limit,-1,7728,0.1257152191787338,0.11742208567083688,0.008293133507896913,nan,nan,nan
5e-05,0.5,XAG_USD,trend,supertrend10x3,H4,limit,1,8324,0.1270564597684511,0.11797529294278655,0.009081166825664538,nan,nan,nan
5e-05,0.5,XAG_USD,trend,supertrend10x3,H4,market,-1,7728,-0.12895819981265685,-0.14012057728321964,0.011162377470562784,nan,nan,nan
5e-05,0.5,XAG_USD,trend,supertrend10x3,H4,market,1,8324,-0.11885755582034213,-0.12789214609379598,0.009034590273453852,nan,nan,nan
5e-05,0.5,XAG_USD,trend,tsmom63,D1,limit,-1,1310,0.04096753577392655,0.00935565457978179,0.03161188119414476,nan,nan,nan
5e-05,0.5,XAG_USD,trend,tsmom63,D1,limit,1,1793,-0.015163156341747166,-0.015320858239854778,0.00015770189810761226,nan,nan,nan
5e-05,0.5,XAG_USD,trend,tsmom63,D1,market,-1,1310,-0.19440714462327988,-0.21957231446443834,0.025165169841158463,nan,nan,nan
5e-05,0.5,XAG_USD,trend,tsmom63,H4,limit,-1,7223,0.12913568578986676,0.11742208567083688,0.011713600119029874,nan,nan,nan
