tr_n,tr_mean_r,tr_se_r,tr_ci_low_r,tr_ci_high_r,te_n,te_mean_r,te_se_r,te_ci_low_r,te_ci_high_r,pair,period,k,atr_period,direction,total_n
534,0.08646657867329137,0.041711031619366214,0.004712956699333595,0.16822020064724913,229,-0.028049790127996757,0.0644251919967872,-0.1543231664416997,0.09822358618570616,EUR_USD,20,1.0,14,long,763
446,0.08562505762503406,0.045270598678625984,-0.003105315785072865,0.17435543103514098,192,0.050373834126453486,0.07063179087048194,-0.08806447597969111,0.1888121442325981,EUR_USD,20,1.5,14,long,638
303,0.01931891501501333,0.05582866490315507,-0.0901052681951706,0.12874309822519725,130,0.017772177273355422,0.08500778946668147,-0.14884309008134025,0.1843874446280511,EUR_USD,20,2.0,14,long,433
213,0.0219212878509424,0.06667470732051885,-0.10876113849727455,0.15260371419915936,92,0.10898539972358465,0.10122061780017406,-0.08940701116475652,0.3073778106119258,EUR_USD,20,2.5,14,long,305
529,0.03792255447648555,0.04183070319870603,-0.04406562379297826,0.11991073274594935,227,-0.02674336645190222,0.06444571041805261,-0.15305695887128534,0.09957022596748089,EUR_USD,20,1.0,14,short,756
413,0.10272799714637242,0.047326593510662686,0.009967873865473556,0.19548812042727126,177,-0.00022109826798636121,0.0733929632301617,-0.1440713061991033,0.14362910966313058,EUR_USD,20,1.5,14,short,590
326,0.07700923157597864,0.05343287470494241,-0.027719202845708488,0.18173766599766578,141,-0.011868506543265376,0.0803667487597566,-0.16938733411238832,0.14565032102585757,EUR_USD,20,2.0,14,short,467
211,0.09289506816537535,0.0658743829702829,-0.03621872245637914,0.22200885878712984,91,0.03618836077926169,0.10001051169323313,-0.15983224213947525,0.23220896369799862,EUR_USD,20,2.5,14,short,302
378,0.07840603056170271,0.049493404032264626,-0.01860104134153595,0.17541310246494138,162,-0.14516929190375627,0.0770181822014655,-0.29612492901862864,0.005786345211116123,EUR_USD,50,1.0,14,long,540
315,0.06616710326234897,0.05485299132690765,-0.041344759738390024,0.17367896626308796,136,-0.12130340655533738,0.08286918018311218,-0.28372699971423726,0.041120186603562495,EUR_USD,50,1.5,14,long,451
303,-0.01310432815061848,0.05557827937297131,-0.12203775572164223,0.09582909942040528,131,-0.048546160641386595,0.08453782462363527,-0.2142402969037117,0.11714797562093854,EUR_USD,50,2.0,14,long,434
