instrument,family,cell,timeframe,entry_mode,direction,n,mean_r,nw_lag,nw_se,ci_low,ci_high,baseline_n,baseline_mean_r,excess_r,drag_pct_per_day_to_zero_excess,excess_block_len,excess_boot_se,excess_ci_low,excess_ci_high,split
XCU_USD,mr_under_limit,ema100_dist_-0.5%,H4,limit,1,2632,0.2629611044215766,3,0.029588769407954702,0.2049671163819854,0.3209550924611678,7631,0.21805171635757506,0.04490938806400155,,3,0.03223868828889889,-0.01958794924648545,0.11265431504964785,2016-2021
XCU_USD,mr_under_limit,ema100_dist_-0.5%,H4,limit,1,2952,0.24705132656092688,2,0.02469397643118541,0.19865113275580348,0.29545152036605027,8338,0.22226554936177506,0.024785777199151815,,2,0.023342364687920766,-0.019554812325450196,0.06978447890700828,2021-2026
XCU_USD,mr_under_limit,ema100_dist_-0.5%,H4,market,1,2632,0.029064719897604743,3,0.031166197025612602,-0.032021026272595954,0.09015046606780544,7631,-0.02685620942132832,0.05592092931893306,0.11475885691596809,3,0.034128925697359924,-0.005974187669161733,0.12056027084979393,2016-2021
XCU_USD,mr_under_limit,ema100_dist_-0.5%,H4,market,1,2952,0.029011611523657294,2,0.026044695602503037,-0.022035991857248655,0.08005921490456325,8338,-0.008373467833768947,0.03738507935742624,,2,0.025401115168419572,-0.010878290404075347,0.08845877897616045,2021-2026
XCU_USD,mr_under_limit,ema100_dist_-1.0%,H4,limit,1,2004,0.2536624939215381,2,0.03084803363294423,0.19320034800096741,0.3141246398421088,7631,0.21805171635757506,0.03561077756396305,,2,0.02907482981480263,-0.017076725432661685,0.10242922441413599,2016-2021
XCU_USD,mr_under_limit,ema100_dist_-1.0%,H4,limit,1,2383,0.24755892018801495,1,0.02409461524028172,0.20033347431706278,0.29478436605896713,8338,0.22226554936177506,0.02529337082623989,,1,0.02362633889919025,-0.016500937925989057,0.07426552157916799,2021-2026
XCU_USD,mr_under_limit,ema100_dist_-1.0%,H4,market,1,2004,0.02526636163883008,3,0.03548676394169674,-0.04428769568689552,0.09482041896455567,7631,-0.02685620942132832,0.0521225710601584,0.03410281523548274,3,0.0367852486498584,-0.010386415453578848,0.13192043692677893,2016-2021
XCU_USD,mr_under_limit,ema100_dist_-1.0%,H4,market,1,2383,0.02946520123416679,2,0.02865380044016105,-0.02669624762854887,0.08562665009688245,8338,-0.008373467833768947,0.03783866906793574,,2,0.02953449768947649,-0.020428369704981002,0.08823407077145463,2021-2026
XCU_USD,mr_under_limit,ema100_dist_-2.0%,H4,limit,1,1104,0.26987872108285743,2,0.04033615417623722,0.19081985889743247,0.3489375832682824,7631,0.21805171635757506,0.05182700472528237,,2,0.04010834051158051,-0.02148526403532015,0.13083159762950738,2016-2021
XCU_USD,mr_under_limit,ema100_dist_-2.0%,H4,limit,1,1377,0.24674831860483143,1,0.031208139003995602,0.18558036615700005,0.30791627105266284,8338,0.22226554936177506,0.024482769243056368,,1,0.025556762624276377,-0.01564340296741463,0.07908574566370594,2021-2026
XCU_USD,mr_under_limit,ema100_dist_-2.0%,H4,market,1,1104,0.020028299642469098,2,0.042144465056518816,-0.06257485186830777,0.10263145115324598,7631,-0.02685620942132832,0.04688450906379742,0.05092082597543126,2,0.043029228374266336,-0.03159309105079737,0.13183541203860966,2016-2021
XCU_USD,mr_under_limit,ema100_dist_-2.0%,H4,market,1,1377,0.03481518056067953,1,0.03270239969271108,-0.029281522837034196,0.09891188395839326,8338,-0.008373467833768947,0.04318864839444848,,1,0.028740566959884514,-0.006102569814314891,0.09943946069816212,2021-2026
XCU_USD,mr_under_limit,ema200_dist_-0.5%,H4,limit,1,2712,0.22540999335415085,3,0.029581377484246378,0.16743049348502795,0.2833894932232738,7631,0.21805171635757506,0.007358276996575791,,3,0.03175096996451419,-0.05870598727915101,0.06803592868493233,2016-2021
XCU_USD,mr_under_limit,ema200_dist_-0.5%,H4,limit,1,2991,0.24525601783321982,2,0.024607155332514955,0.19702599338149052,0.2934860422849491,8338,0.22226554936177506,0.022990468471444758,,2,0.024634665154912957,-0.021037825917129684,0.06997652570434941,2021-2026
