family,timeframe,entry_mode,n,mean_r,nw_lag,nw_se,ci_low,ci_high
mr_under_limit,H4,limit,128126,-0.10670040354869378,0,0.0035473617182065985,-0.11365323251637871,-0.09974757458100886
mr_under_limit,H4,market,128126,-0.31966252095748493,0,0.0034187777869962035,-0.32636332541999746,-0.3129617164949724
trend,D1,limit,38969,-0.3145231553897788,0,0.0061363130962240305,-0.32655032905837794,-0.3024959817211797
trend,D1,market,38969,-0.4704720269117957,0,0.005800177700201199,-0.48184037520419004,-0.4591036786194013
trend,H4,limit,199059,-0.04821192619477235,1,0.0033276576637401908,-0.054734135215703125,-0.04168971717384158
trend,H4,market,199059,-0.27337911363352346,0,0.0027454632957242555,-0.278760221693143,-0.2679980055739039
