instrument,family,cell,timeframe,entry_mode,direction,n,mean_r,nw_lag,nw_se,ci_low,ci_high,baseline_n,baseline_mean_r,excess_r,drag_pct_per_day_to_zero_excess,excess_block_len,excess_boot_se,excess_ci_low,excess_ci_high
XCU_USD,mr_under_limit,ema100_dist_-0.5%,H4,limit,1,5588,0.25540374287038053,2,0.018219724281376873,0.21969308327888187,0.2911144024618792,16053,0.21995892012553847,0.035444822744842064,,2,0.01783279500651558,-0.005528613445308074,0.06673985092030639
XCU_USD,mr_under_limit,ema100_dist_-1.0%,H4,limit,1,4387,0.25034705826915943,2,0.02037185143769947,0.21041822945126848,0.2902758870870504,16053,0.21995892012553847,0.030388138143620957,,2,0.020757401554640783,-0.008132993883994336,0.068677035164088
XCU_USD,mr_under_limit,ema100_dist_-2.0%,H4,limit,1,2479,0.25647618108609116,2,0.026404677431478913,0.2047230133203925,0.3082293488517898,16053,0.21995892012553847,0.03651726096055269,,2,0.02534684618827712,-0.015083075725197645,0.07925888713820925
XCU_USD,mr_under_limit,ema200_dist_-0.5%,H4,limit,1,5711,0.23681806289552304,2,0.018170180605234367,0.20120450890926367,0.2724316168817824,16053,0.21995892012553847,0.01685914276998457,,2,0.019605585780328474,-0.019326320378707854,0.05542182542591333
XCU_USD,mr_under_limit,ema200_dist_-1.0%,H4,limit,1,4738,0.24154164158060898,2,0.019750003282078512,0.2028316351477351,0.28025164801348285,16053,0.21995892012553847,0.021582721455070508,,2,0.019253556839353213,-0.01326806373996643,0.05730324075617003
XCU_USD,mr_under_limit,ema200_dist_-2.0%,H4,limit,1,3266,0.25432123012237073,2,0.02333769507676521,0.20857934777191092,0.3000631124728306,16053,0.21995892012553847,0.03436230999683226,,2,0.02525637510260336,-0.01447188709294975,0.0806021529171368
XCU_USD,mr_under_limit,ema20_dist_-0.5%,H4,limit,1,4593,0.23987704836513818,2,0.01961325157561717,0.20143507527692853,0.27831902145334786,16053,0.21995892012553847,0.01991812823959971,,2,0.01931294769884461,-0.014666193834253488,0.05263191925560446
XCU_USD,mr_under_limit,ema20_dist_-1.0%,H4,limit,1,2474,0.23649644019468355,2,0.026368738200632826,0.1848137133214432,0.2881791670679239,16053,0.21995892012553847,0.01653752006914508,,2,0.024120906349716878,-0.026278336853138,0.07394635646789918
XCU_USD,mr_under_limit,ema20_dist_-2.0%,H4,limit,1,661,0.18851874874837354,1,0.04330167742580607,0.10364746099379366,0.27339003650295346,16053,0.21995892012553847,-0.03144017137716493,,1,0.03429743591437734,-0.0962489178729216,0.031804529314807796
XCU_USD,mr_under_limit,ema50_dist_-0.5%,H4,limit,1,5411,0.25230771236491384,2,0.018113235808366282,0.21680577018051592,0.28780965454931173,16053,0.21995892012553847,0.03234879223937537,,2,0.01960753061942191,-0.0028963080979099924,0.07181431496398502
XCU_USD,mr_under_limit,ema50_dist_-1.0%,H4,limit,1,3731,0.26842225387100016,2,0.02174818846123085,0.2257958044869877,0.3110487032550126,16053,0.21995892012553847,0.04846333374546169,,2,0.02112505853426666,0.013733350323027775,0.08833198079556066
XCU_USD,mr_under_limit,ema50_dist_-2.0%,H4,limit,1,1645,0.22551938591809603,1,0.028682292104842973,0.1693020933926038,0.28173667844358824,16053,0.21995892012553847,0.005560465792557562,,1,0.023831951539978406,-0.03196679436479397,0.05610066815531272
XCU_USD,mr_under_limit,sma100_dist_-0.5%,H4,limit,1,5915,0.2355798906971375,2,0.017695247427006237,0.20089720574020528,0.27026257565406975,16053,0.21995892012553847,0.01562097057159903,,2,0.018740944221548806,-0.02028757810228632,0.04923616198087697
XCU_USD,mr_under_limit,sma100_dist_-1.0%,H4,limit,1,4774,0.256956216285268,2,0.01947530907882306,0.2187846104907748,0.2951278220797612,16053,0.21995892012553847,0.03699729615972952,,2,0.02131105662987269,0.001012674569722,0.08398200679827923
XCU_USD,mr_under_limit,sma100_dist_-2.0%,H4,limit,1,2976,0.25835597864858106,2,0.024125930111374816,0.21106915563028644,0.3056428016668757,16053,0.21995892012553847,0.03839705852304259,,2,0.026225026734403446,-0.012653180678030783,0.08706805367788129
XCU_USD,mr_under_limit,sma200_dist_-0.5%,H4,limit,1,5971,0.2215447668169144,2,0.0178094478042264,0.18663824912063065,0.25645128451319815,16053,0.21995892012553847,0.0015858466913759306,,2,0.01790106034377915,-0.033741295370238705,0.04105703853327153
XCU_USD,mr_under_limit,sma200_dist_-1.0%,H4,limit,1,5221,0.21731492771895689,2,0.018998410912656315,0.1800780423301505,0.25455181310776326,16053,0.21995892012553847,-0.0026439924065815856,,2,0.019815741255150454,-0.04398218062087116,0.03289230269365639
XCU_USD,mr_under_limit,sma200_dist_-2.0%,H4,limit,1,3777,0.24968171844087597,2,0.021858978152869163,0.20683812126125242,0.29252531562049955,16053,0.21995892012553847,0.0297227983153375,,2,0.022140424581451747,-0.01125572192572345,0.07351397901568586
XCU_USD,mr_under_limit,sma20_dist_-0.5%,H4,limit,1,5089,0.22539143049756058,2,0.018768496407155805,0.1886051775395352,0.26217768345558595,16053,0.21995892012553847,0.005432510372022109,,2,0.02020464926960988,-0.033314536595540664,0.03894576594730669
