subcell,n,mean_R,nw_ci_low,nw_ci_high,sig_neg,sig_pos,h1_n,h1_mean_R,h2_n,h2_mean_R,sign_stable
high (all),14480,-0.011076104400314181,-0.052250478053437174,0.030098269252808812,False,False,6815,-0.014396545987847372,7665,-0.008123878774868813,True
high ∩ NY,2558,-0.07261234099925658,-0.1263044203309883,-0.018920261667524856,True,False,1169,-0.0701963682368487,1389,-0.07464565428885686,True
high ∩ not-NY,11922,0.0021271914577712654,-0.03989157948607812,0.04414596240162065,False,False,5646,-0.002843235288399522,6276,0.006598674792519556,False
high ∩ counter,11232,-0.016563558991062162,-0.061640891728928414,0.02851377374680409,False,False,5258,-0.020910774439659573,5974,-0.012737369029775712,True
high ∩ with-trend,3238,0.008681134286452695,-0.043298318607308775,0.060660587180214165,False,False,1550,0.008281542642935655,1688,0.009048057892762773,True
high ∩ NY ∩ counter,2334,-0.07766907599371473,-0.12997940221773668,-0.025358749769692775,True,False,1064,-0.07038402633571517,1270,-0.08377245617962933,True
CUT set: high ∩ (NY or counter),11456,-0.016629245765919898,-0.06141995563851718,0.028161464106677386,False,False,5363,-0.021838486379154434,6093,-0.012044122278511923,True
KEEP set: high ∩ (not-NY & not-counter),3024,0.009961193048223899,-0.04246483427595771,0.0623872203724055,False,False,1452,0.013090455608970713,1572,0.007070805492114247,True
