bucket,n_with-trend,meanR_with-trend,n_flat,meanR_flat,n_counter-trend,meanR_counter-trend,wt_minus_ct,nw_se,nw_ci_low
low,3072,0.0623224706065599,17,-0.006119716928701283,10766,0.055893514672487064,0.006428955934072833,0.02928745039108498,-0.050974446832453724
mid,2564,0.05462814097104718,11,0.11031065833398991,9248,0.0418328160793377,0.01279532489170948,0.026791216211458354,-0.03971545888274889
high,3238,0.008681134286452697,10,-0.2449609948472898,11232,-0.01656355899106216,0.025244693277514857,0.029876578939274902,-0.03331340144346395
ALL,9045,0.037217324043410806,38,-0.0352691551207087,31791,0.024435659335838314,0.012781664707572492,0.017441081104171814,-0.021402854256604265
