bucket,n_asia,meanR_asia,n_london,meanR_london,n_overlap,meanR_overlap,n_ny,meanR_ny,n_closed,meanR_closed
low,6692,0.06421007874002149,2579,0.044156350583483356,2256,0.0565803653535259,2327,0.0519474835234113,1,1.0
mid,5183,0.04188031042360095,2199,0.028853027088139315,2420,0.07723274008861132,2021,0.03005104764293537,0,
high,6152,0.0063649398198602335,2549,0.005718060031100773,3219,-0.009435249528271829,2558,-0.07261234099925658,2,1.0
ALL,18364,0.03592079632704411,7440,0.025390103459798093,8042,0.03570958306646193,7025,-0.003787021564060235,3,1.0
