group,book_n,book_R,highNY_n,highNY_mean_R,highNY_ci_high,sig_neg,highNY_total_R,recovered_R,recovered_pct,pairs_neg,pairs_total,worst_pair_share
strong4 long,40874,1112.1245140236992,2558,-0.07261234099925658,-0.035267436129075916,True,-185.74236827609832,185.74236827609832,16.7015802577786,15,17,0.1668978396674677
full6 long,52868,1707.902021925648,3337,-0.037148961132716825,0.0022093290250486813,False,-123.96608329987605,123.96608329987605,7.2583837777828215,12,17,0.24234772626259654
strong4 short,42776,167.5850252188259,2317,-0.0033796553670972338,0.038691486945287686,False,-7.83066148556429,7.83066148556429,4.672649883448311,8,17,2.652230728616253
full6 short,55143,179.97921203713193,3130,-0.01246862535220856,0.026040928606633956,False,-39.02679735241279,39.02679735241279,21.684058348005813,11,17,0.8161869264192289
