tr_n,tr_w,tr_l,tr_t,tr_wr,tr_ci_low,tr_ci_high,te_n,te_w,te_l,te_t,te_wr,te_ci_low,te_ci_high,pair,tf,period,k,atr_period,direction,total_n
368,175,187,6,0.48342541436464087,0.4319460657293909,0.5349047629998909,159,72,69,18,0.5106382978723404,0.42812609232187293,0.5931505034228078,NZD_CAD,H4,50,1.5,14,long,527
325,142,177,6,0.445141065830721,0.39060285931000527,0.4996792723514367,140,68,61,11,0.5271317829457365,0.44097472116629227,0.6132888447251807,NZD_CAD,H4,50,2.0,14,long,465
269,131,131,7,0.5,0.4394553978049089,0.5605446021950912,116,51,55,10,0.4811320754716981,0.38601385727591936,0.5762502936674769,NZD_CAD,H4,50,2.5,14,long,385
365,164,197,4,0.45429362880886426,0.40293063784281674,0.5056566197749117,157,81,71,5,0.5328947368421053,0.4535784502668939,0.6122110234173167,NZD_CAD,H4,50,1.0,14,short,522
331,158,168,5,0.48466257668711654,0.43041093863956637,0.5389142147346667,142,64,74,4,0.463768115942029,0.3805642915708358,0.5469719403132222,NZD_CAD,H4,50,1.5,14,short,473
282,137,139,6,0.4963768115942029,0.437389292359807,0.5553643308285987,121,55,64,2,0.46218487394957986,0.372605719036668,0.5517640288624917,NZD_CAD,H4,50,2.0,14,short,403
261,129,123,9,0.5119047619047619,0.4501880654824488,0.5736214583270749,112,53,56,3,0.48623853211009177,0.39240711557392477,0.5800699486462587,NZD_CAD,H4,50,2.5,14,short,373
291,130,156,5,0.45454545454545453,0.39683679362557545,0.5122541154653336,126,51,71,4,0.4180327868852459,0.3305080955707801,0.5055574781997118,NZD_CAD,H4,100,1.0,14,long,417
287,128,151,8,0.45878136200716846,0.40030999802226536,0.5172527259920716,123,55,65,3,0.4583333333333333,0.36918315313368577,0.5474835135329809,NZD_CAD,H4,100,1.5,14,long,410
276,110,150,16,0.4230769230769231,0.3630234648708171,0.48313038128302904,119,58,49,12,0.5420560747663551,0.44765163014841775,0.6364605193842924,NZD_CAD,H4,100,2.0,14,long,395
259,125,124,10,0.5020080321285141,0.4399035564176418,0.5641125078393864,111,49,47,15,0.5104166666666666,0.4104175437683141,0.6104157895650192,NZD_CAD,H4,100,2.5,14,long,370
280,150,125,5,0.5454545454545454,0.48660302782779086,0.6043060630813,121,72,48,1,0.6,0.5123461352820082,0.6876538647179917,NZD_CAD,H4,100,1.0,14,short,401
263,114,144,5,0.4418604651162791,0.38126220093284013,0.502458729299718,114,63,48,3,0.5675675675675675,0.475403316869876,0.6597318182652591,NZD_CAD,H4,100,1.5,14,short,377
222,91,125,6,0.4212962962962963,0.3554469986210861,0.4871455939715065,96,42,50,4,0.45652173913043476,0.3547366930230662,0.5583067852378033,NZD_CAD,H4,100,2.0,14,short,318
200,91,108,1,0.457286432160804,0.38807002847892225,0.5265028358426858,87,34,49,4,0.40963855421686746,0.3038408042977351,0.5154363041359998,NZD_CAD,H4,100,2.5,14,short,287
206,101,103,2,0.4950980392156863,0.4264876126460325,0.5637084657853401,89,35,44,10,0.4430379746835443,0.3334972033141374,0.5525787460529512,NZD_CAD,H4,200,1.0,14,long,295
195,89,103,3,0.4635416666666667,0.39300452712164496,0.5340788062116884,84,36,40,8,0.47368421052631576,0.3614263065619245,0.5859421144907071,NZD_CAD,H4,200,1.5,14,long,279
193,82,109,2,0.4293193717277487,0.3591211362619293,0.4995176071935681,84,30,46,8,0.39473684210526316,0.2848425271444402,0.5046311570660861,NZD_CAD,H4,200,2.0,14,long,277
213,81,129,3,0.38571428571428573,0.3198781254374288,0.4515504459911427,92,37,46,9,0.4457831325301205,0.33884841891678497,0.552717846143456,NZD_CAD,H4,200,2.5,14,long,305
178,92,79,7,0.5380116959064327,0.46328610377880763,0.6127372880340578,77,44,29,4,0.6027397260273972,0.49048694266074966,0.7149925093940448,NZD_CAD,H4,200,1.0,14,short,255
192,99,89,4,0.526595744680851,0.45522308217833296,0.5979684071833691,83,39,36,8,0.52,0.40692991200144935,0.6330700879985507,NZD_CAD,H4,200,1.5,14,short,275
195,100,91,4,0.5235602094240838,0.4527286641345058,0.5943917547136618,84,49,26,9,0.6533333333333333,0.5456251030346506,0.761041563632016,NZD_CAD,H4,200,2.0,14,short,279
183,85,95,3,0.4722222222222222,0.39929014566125215,0.5451542987831923,79,49,24,6,0.6712328767123288,0.563468445246695,0.7789973081779625,NZD_CAD,H4,200,2.5,14,short,262
554,284,258,12,0.5239852398523985,0.4819390967038749,0.5660313830009222,238,114,109,15,0.5112107623318386,0.44560160626853507,0.5768199183951421,NZD_CHF,H4,20,1.0,14,long,792
392,196,188,8,0.5104166666666666,0.46041710521749035,0.5604162281158429,169,73,85,11,0.4620253164556962,0.3842858897021709,0.5397647432092215,NZD_CHF,H4,20,1.5,14,long,561
263,133,123,7,0.51953125,0.45832799788121326,0.5807345021187867,114,44,65,5,0.4036697247706422,0.31156130298942075,0.4957781465518637,NZD_CHF,H4,20,2.0,14,long,377
161,80,78,3,0.5063291139240507,0.4283707464886395,0.5842874813594618,70,20,46,4,0.30303030303030304,0.19215518843242452,0.41390541762818156,NZD_CHF,H4,20,2.5,14,long,231
551,280,263,8,0.5156537753222836,0.47361856576005584,0.5576889848845115,237,130,101,6,0.5627705627705628,0.4988014297738784,0.6267396957672472,NZD_CHF,H4,20,1.0,14,short,788
381,212,164,5,0.5638297872340425,0.5137036592704516,0.6139559151976335,164,95,62,7,0.6050955414012739,0.5286302689770344,0.6815608138255134,NZD_CHF,H4,20,1.5,14,short,545
232,124,102,6,0.5486725663716814,0.4837935374263829,0.6135515953169799,100,58,37,5,0.6105263157894737,0.5124677533193183,0.7085848782596291,NZD_CHF,H4,20,2.0,14,short,332
121,66,52,3,0.559322033898305,0.4697429328245406,0.6489011349720695,52,38,13,1,0.7450980392156863,0.6254889229304939,0.8647071555008787,NZD_CHF,H4,20,2.5,14,short,173
