tr_n,tr_w,tr_l,tr_t,tr_wr,tr_ci_low,tr_ci_high,te_n,te_w,te_l,te_t,te_wr,te_ci_low,te_ci_high,pair,tf,period,k,atr_period,direction,total_n
305,141,157,7,0.47315436241610737,0.41646637249485996,0.5298423523373548,131,66,57,8,0.5365853658536586,0.4484586065998969,0.6247121251074202,GBP_USD,H4,20,2.0,14,long,436
204,104,100,0,0.5098039215686274,0.4412033885931854,0.5784044545440694,88,46,38,4,0.5476190476190477,0.4411783146751712,0.6540597805629241,GBP_USD,H4,20,2.5,14,long,292
525,233,275,17,0.45866141732283466,0.4153298088521333,0.501993025793536,226,98,109,19,0.47342995169082125,0.4054114846268659,0.5414484187547766,GBP_USD,H4,20,1.0,14,short,751
424,191,216,17,0.4692874692874693,0.4208024004304993,0.5177725381444392,182,84,88,10,0.4883720930232558,0.4136680029722686,0.563076183074243,GBP_USD,H4,20,1.5,14,short,606
310,151,147,12,0.5067114093959731,0.44994664805558143,0.5634761707363649,133,59,62,12,0.48760330578512395,0.39853978353396424,0.5766668280362837,GBP_USD,H4,20,2.0,14,short,443
200,100,92,8,0.5208333333333334,0.4501693456105928,0.5914973210560739,86,36,41,9,0.4675324675324675,0.35608680706664153,0.5789781279982935,GBP_USD,H4,20,2.5,14,short,286
371,163,201,7,0.4478021978021978,0.3967169120748721,0.49888748352952356,160,81,68,11,0.5436241610738255,0.46364559111847903,0.623602731029172,GBP_USD,H4,50,1.0,14,long,531
350,161,180,9,0.47214076246334313,0.4191532302703608,0.5251282946563255,150,77,69,4,0.5273972602739726,0.4464137317135804,0.6083807888343647,GBP_USD,H4,50,1.5,14,long,500
306,140,159,7,0.4682274247491639,0.4116671033197511,0.5247877461785767,132,68,60,4,0.53125,0.44479876566544146,0.6177012343345585,GBP_USD,H4,50,2.0,14,long,438
251,116,128,7,0.47540983606557374,0.41274768326448247,0.538071988866665,109,48,56,5,0.46153846153846156,0.365726287520585,0.5573506355563381,GBP_USD,H4,50,2.5,14,long,360
